adep_accuracy,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,ades_accuracy,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,height_ft,n_ground_truth,penalty_nm,radius_nm
0.9889350611030515,0.427572648134909,0.08297237057908238,0.9908236179014667,0.45727093460515456,0.813953488372093,0.08869741510390268,0.4228415829092897,0.009041591320072333,0.9856572586307195,0.5241074056940999,0.08372934101518147,0.9861049579121189,0.5697861208004406,0.49122807017543857,0.02109492717227524,0.5165902687245049,0.003595609571470625,500.0,95116,10.0,40.0
0.9893727512148077,0.5668657218554186,0.08297237057908238,0.9913752518690093,0.6088117949188296,0.8177570093457944,0.08869741510390268,0.5608414988014635,0.008999537406955718,0.9848749700995455,0.5713760040371757,0.08372934101518147,0.9853554939981533,0.6213282540848173,0.49122807017543857,0.02109492717227524,0.5627339248917111,0.003595609571470625,1000.0,95116,10.0,40.0
0.9897763979051024,0.6704865637747592,0.08297237057908238,0.9920869482314806,0.7215215995597541,0.8500619578686494,0.08692346680182464,0.6636317759367509,0.008484376971277177,0.9835282925798041,0.5967870810378906,0.08372934101518147,0.9843316179461333,0.6488319258307325,0.49266862170087977,0.02109492717227524,0.5869569788468817,0.0035850960931914713,2000.0,95116,10.0,40.0
0.9874117979113746,0.7449850708608436,0.08297237057908238,0.990650865581176,0.8019925708520591,0.858793324775353,0.08476938672072985,0.7356070482358383,0.008189999579460868,0.9783597587104855,0.6378947811093822,0.08372934101518147,0.9801791657697339,0.6929387736368643,0.49262536873156343,0.020969362129583124,0.6240905841288532,0.0035640691366331636,5000.0,95116,10.0,40.0
0.9860175087475663,0.772204466125573,0.08297237057908238,0.989698683031097,0.8313652205814913,0.8685258964143426,0.08286872782564622,0.7614071239328819,0.007916649144202868,0.9719041172254519,0.6600887337566761,0.08372934101518147,0.9743499423594211,0.7166330089957775,0.4940828402366864,0.020969362129583124,0.6415429580722486,0.0035535556583540097,8000.0,95116,10.0,40.0
0.9843126792503168,0.7881428991967703,0.08297237057908238,0.9884066587395958,0.8484820691552784,0.8670284938941656,0.08096806893056259,0.7757790487404853,0.007748433491736406,0.9654979485266691,0.6764792463938769,0.08372934101518147,0.9682596736888166,0.7342114925647145,0.4940828402366864,0.020969362129583124,0.6531393246141554,0.0035535556583540097,10000.0,95116,10.0,40.0
0.979761750615046,0.8119559274990538,0.08297237057908238,0.9840537138061267,0.8742547922590113,0.8944365192582026,0.07944754181449569,0.7955233609487363,0.007369948273686867,0.9509549067632342,0.6996824929559695,0.08372934101518147,0.9544774201351617,0.7589384064622728,0.5516014234875445,0.01946258161727775,0.6653664998528113,0.002954287396442239,15000.0,95116,10.0,40.0
0.9733583298261723,0.8243723453467345,0.08297237057908238,0.9780564668199313,0.8876685315968083,0.967479674796748,0.07539280283831729,0.8024096892215821,0.006465789141679633,0.9347042643013694,0.7147377938517179,0.08372934101518147,0.9389658848614072,0.7749219753993024,0.5726872246696035,0.016323455549974886,0.6680684637705538,0.00238655956936793,20000.0,95116,10.0,40.0
0.9089804234632478,0.8823646915345473,0.08297237057908238,0.9347473655768711,0.9334816105658993,0.9944444444444445,0.022681196147997972,0.8020522309600908,0.0018924260902476976,0.8505909921973579,0.8165398040287649,0.08372934101518147,0.8796607457193151,0.8604277583991188,0.7480916030534351,0.012305374183827222,0.6945414020774633,0.0013772656545691577,1000000000.0,95116,10.0,40.0
0.9881802262931034,0.31220825097775345,0.08297237057908238,0.9897722953595246,0.33180088049160783,0.813953488372093,0.08869741510390268,0.3085180201017705,0.009041591320072333,0.9804344656655489,0.3605597375835822,0.08372934101518147,0.9809406521229181,0.391316320910593,0.44854881266490765,0.02134605725765947,0.3535051936582699,0.003984608267799319,0.0,95116,10.0,60.0
