airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio
EGKK,1223,1216,1216,1218,departures,0.9942763695829926,0.9959116925592805
EGKK,1220,1001,993,994,arrivals,0.8139344262295082,0.8147540983606557
EIDW,1188,979,964,965,arrivals,0.8114478114478114,0.8122895622895623
EIDW,1185,1164,1163,1166,departures,0.9814345991561182,0.9839662447257383
LSZH,1178,1171,1164,1168,departures,0.9881154499151104,0.9915110356536503
LSZH,1160,985,974,978,arrivals,0.8396551724137931,0.843103448275862
LOWW,1156,1135,1134,1142,departures,0.9809688581314879,0.9878892733564014
EKCH,1152,1035,1007,1007,arrivals,0.8741319444444444,0.8741319444444444
LOWW,1145,901,895,896,arrivals,0.7816593886462883,0.7825327510917031
EKCH,1140,1132,1132,1133,departures,0.9929824561403509,0.993859649122807
LTFJ,1138,946,918,925,arrivals,0.8066783831282952,0.812829525483304
LTFJ,1137,1102,1101,1115,departures,0.9683377308707124,0.980650835532102
LPPT,1010,1001,1001,1001,departures,0.9910891089108911,0.9910891089108911
LPPT,1001,772,764,764,arrivals,0.7632367632367633,0.7632367632367633
LFPO,992,982,982,990,departures,0.9899193548387096,0.9979838709677419
LFPO,991,888,887,888,arrivals,0.8950554994954592,0.8960645812310797
LIMC,973,960,959,964,departures,0.9856115107913669,0.9907502569373073
LIMC,967,759,750,757,arrivals,0.7755946225439504,0.7828335056876939
ENGM,940,876,871,877,arrivals,0.926595744680851,0.9329787234042554
ENGM,932,923,922,927,departures,0.9892703862660944,0.9946351931330472
EGCC,926,903,902,902,departures,0.9740820734341252,0.9740820734341252
EGCC,924,631,619,619,arrivals,0.6699134199134199,0.6699134199134199
EGSS,888,779,768,773,arrivals,0.8648648648648649,0.8704954954954955
EGSS,885,882,882,883,departures,0.9966101694915255,0.9977401129943503
EPWA,880,759,702,705,arrivals,0.7977272727272727,0.8011363636363636
EPWA,875,871,870,874,departures,0.9942857142857143,0.9988571428571429
EBBR,872,869,869,886,departures,0.9965596330275229,1.0160550458715596
EBBR,871,733,727,733,arrivals,0.8346727898966705,0.8415614236509759
EDDB,870,852,850,864,departures,0.9770114942528736,0.993103448275862
LEMG,861,796,789,789,arrivals,0.9163763066202091,0.9163763066202091
LEMG,850,847,847,849,departures,0.9964705882352941,0.9988235294117647
ESSA,841,713,705,709,arrivals,0.8382877526753865,0.8430439952437574
