airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio
LEAS,69,68,68,68,departures,0.9855072463768116,0.9855072463768116
UGSB,69,35,35,36,arrivals,0.5072463768115942,0.5217391304347826
EDLV,69,68,68,68,arrivals,0.9855072463768116,0.9855072463768116
EDLV,68,68,68,68,departures,1.0,1.0
LEAS,68,61,61,61,arrivals,0.8970588235294118,0.8970588235294118
LRIA,68,44,14,65,arrivals,0.20588235294117646,0.9558823529411765
LERS,68,66,66,66,arrivals,0.9705882352941176,0.9705882352941176
UGSB,67,59,59,64,departures,0.8805970149253731,0.9552238805970149
LERS,67,66,66,66,departures,0.9850746268656716,0.9850746268656716
URSS,67,2,0,0,arrivals,0.0,0.0
LFMD,65,60,60,61,departures,0.9230769230769231,0.9384615384615385
LFKF,65,64,62,66,arrivals,0.9538461538461539,1.0153846153846153
GMME,64,58,43,50,departures,0.671875,0.78125
GMME,63,56,28,30,arrivals,0.4444444444444444,0.47619047619047616
LGKF,62,62,61,61,departures,0.9838709677419355,0.9838709677419355
LIEA,62,62,62,62,departures,1.0,1.0
LIEA,62,56,56,56,arrivals,0.9032258064516129,0.9032258064516129
LIPQ,61,57,57,57,departures,0.9344262295081968,0.9344262295081968
LFKF,61,61,61,66,departures,1.0,1.0819672131147542
EDDG,60,59,59,59,departures,0.9833333333333333,0.9833333333333333
EPRZ,60,57,56,56,departures,0.9333333333333333,0.9333333333333333
LGKF,60,54,54,62,arrivals,0.9,1.0333333333333334
DTNH,59,0,0,0,departures,0.0,0.0
LRTR,59,39,33,33,departures,0.559322033898305,0.559322033898305
LIPQ,59,57,57,57,arrivals,0.9661016949152542,0.9661016949152542
LTBA,58,58,58,65,departures,1.0,1.1206896551724137
DTNH,58,0,0,1,arrivals,0.0,0.017241379310344827
EPRZ,58,48,46,46,arrivals,0.7931034482758621,0.7931034482758621
LFQQ,57,56,56,56,arrivals,0.9824561403508771,0.9824561403508771
LFBZ,57,56,56,60,arrivals,0.9824561403508771,1.0526315789473684
LRTR,57,28,15,15,arrivals,0.2631578947368421,0.2631578947368421
LFQQ,56,56,56,56,departures,1.0,1.0
LOWG,56,56,53,54,departures,0.9464285714285714,0.9642857142857143
EDDG,56,47,47,47,arrivals,0.8392857142857143,0.8392857142857143
LTCC,56,2,0,0,arrivals,0.0,0.0
LTCC,55,2,0,0,departures,0.0,0.0
LFBZ,55,55,55,56,departures,1.0,1.018181818181818
LDPL,55,48,48,62,arrivals,0.8727272727272727,1.1272727272727272
LFTH,55,55,55,75,arrivals,1.0,1.3636363636363635
EYKA,54,53,50,50,departures,0.9259259259259259,0.9259259259259259
LOWG,53,50,49,49,arrivals,0.9245283018867925,0.9245283018867925
URSS,52,1,0,0,departures,0.0,0.0
LKTB,52,52,49,49,departures,0.9423076923076923,0.9423076923076923
GMFF,52,46,45,46,departures,0.8653846153846154,0.8846153846153846
LKTB,52,49,46,47,arrivals,0.8846153846153846,0.9038461538461539
GMFF,52,48,46,48,arrivals,0.8846153846153846,0.9230769230769231
LTBA,52,47,46,75,arrivals,0.8846153846153846,1.4423076923076923
LFTH,51,51,51,62,departures,1.0,1.2156862745098038
EGPE,51,48,48,49,departures,0.9411764705882353,0.9607843137254902
EHKD,50,49,49,90,departures,0.98,1.8
EYKA,50,37,13,22,arrivals,0.26,0.44
LFST,50,48,48,48,arrivals,0.96,0.96
LDPL,49,46,46,49,departures,0.9387755102040817,1.0
UGKO,49,2,2,4,departures,0.04081632653061224,0.08163265306122448
LFST,49,47,47,47,departures,0.9591836734693877,0.9591836734693877
UGKO,49,2,1,2,arrivals,0.02040816326530612,0.04081632653061224
DAOO,49,48,47,51,arrivals,0.9591836734693877,1.0408163265306123
EGFF,49,41,39,39,arrivals,0.7959183673469388,0.7959183673469388
EGPE,49,45,45,45,arrivals,0.9183673469387755,0.9183673469387755
UBBN,48,0,0,0,departures,0.0,0.0
DAOO,48,44,44,44,departures,0.9166666666666666,0.9166666666666666
EGFF,48,47,47,48,departures,0.9791666666666666,1.0
ENCN,48,48,48,48,departures,1.0,1.0
UBBN,48,1,0,0,arrivals,0.0,0.0
ORBI,48,5,0,0,arrivals,0.0,0.0
EHKD,48,47,46,84,arrivals,0.9583333333333334,1.75
ENAL,48,33,1,1,arrivals,0.020833333333333332,0.020833333333333332
LFRB,47,41,41,41,departures,0.8723404255319149,0.8723404255319149
ENKB,46,4,4,4,departures,0.08695652173913043,0.08695652173913043
ENAL,46,11,3,3,departures,0.06521739130434782,0.06521739130434782
LGPZ,46,38,18,37,arrivals,0.391304347826087,0.8043478260869565
LGPZ,45,32,25,27,departures,0.5555555555555556,0.6
EDDC,45,44,44,44,departures,0.9777777777777777,0.9777777777777777
LGPA,45,21,0,0,departures,0.0,0.0
LTFH,45,11,11,12,departures,0.24444444444444444,0.26666666666666666
EDDC,45,43,43,43,arrivals,0.9555555555555556,0.9555555555555556
LTFH,45,7,7,8,arrivals,0.15555555555555556,0.17777777777777778
LIRI,44,30,29,33,departures,0.6590909090909091,0.75
ESSB,44,39,38,40,departures,0.8636363636363636,0.9090909090909091
GEML,44,44,44,46,departures,1.0,1.0454545454545454
BIRK,44,44,44,57,departures,1.0,1.2954545454545454
ORER,44,1,0,0,departures,0.0,0.0
LFRB,44,39,39,39,arrivals,0.8863636363636364,0.8863636363636364
LKMT,44,38,38,39,arrivals,0.8636363636363636,0.8863636363636364
ENKB,44,10,8,9,arrivals,0.18181818181818182,0.20454545454545456
GEML,44,42,42,42,arrivals,0.9545454545454546,0.9545454545454546
LEJR,44,43,42,42,arrivals,0.9545454545454546,0.9545454545454546
BIRK,44,41,41,49,arrivals,0.9318181818181818,1.1136363636363635
ORER,44,0,0,0,arrivals,0.0,0.0
LKMT,43,40,40,40,departures,0.9302325581395349,0.9302325581395349
LIBP,43,34,34,36,arrivals,0.7906976744186046,0.8372093023255814
ENCN,43,36,36,36,arrivals,0.8372093023255814,0.8372093023255814
LOWI,43,38,36,37,arrivals,0.8372093023255814,0.8604651162790697
ENEV,42,13,0,0,departures,0.0,0.0
ORBI,42,4,0,0,departures,0.0,0.0
EPMO,42,42,42,45,departures,1.0,1.0714285714285714
ESMS,42,36,33,33,arrivals,0.7857142857142857,0.7857142857142857
LGSM,42,40,39,51,arrivals,0.9285714285714286,1.2142857142857142
ENEV,42,14,0,0,arrivals,0.0,0.0
LIRI,42,32,26,76,arrivals,0.6190476190476191,1.8095238095238095
UMMS,42,10,2,6,arrivals,0.047619047619047616,0.14285714285714285
LIBP,41,40,40,43,departures,0.975609756097561,1.048780487804878
ESMS,41,38,38,39,departures,0.926829268292683,0.9512195121951219
LGSM,41,40,39,51,departures,0.9512195121951219,1.2439024390243902
LIRZ,41,39,35,35,arrivals,0.8536585365853658,0.8536585365853658
LEJR,40,40,40,40,departures,1.0,1.0
UMMS,40,21,18,18,departures,0.45,0.45
GMMW,40,40,40,40,arrivals,1.0,1.0
LEAM,40,37,37,37,arrivals,0.925,0.925
UWKD,40,0,0,0,arrivals,0.0,0.0
LGPA,40,32,0,0,arrivals,0.0,0.0
EPMO,40,30,24,40,arrivals,0.6,1.0
LICT,40,16,15,17,arrivals,0.375,0.425
LEVX,40,37,37,37,arrivals,0.925,0.925
GMMW,39,39,37,37,departures,0.9487179487179487,0.9487179487179487
LEVT,39,39,37,47,departures,0.9487179487179487,1.205128205128205
LEXJ,39,36,36,36,departures,0.9230769230769231,0.9230769230769231
LIRZ,39,39,35,35,departures,0.8974358974358975,0.8974358974358975
LICT,39,10,9,13,departures,0.23076923076923078,0.3333333333333333
LEZG,39,18,14,15,arrivals,0.358974358974359,0.38461538461538464
LEVT,39,39,39,125,arrivals,1.0,3.2051282051282053
EGPB,39,0,0,0,arrivals,0.0,0.0
EDLP,39,34,34,35,arrivals,0.8717948717948718,0.8974358974358975
LEZG,38,15,15,15,departures,0.39473684210526316,0.39473684210526316
UWKD,38,11,2,2,departures,0.05263157894736842,0.05263157894736842
ESPA,38,19,19,19,departures,0.5,0.5
EGPB,38,2,0,0,departures,0.0,0.0
LEAM,37,36,36,36,departures,0.972972972972973,0.972972972972973
LIPY,37,37,37,37,departures,1.0,1.0
LGSK,37,31,31,31,departures,0.8378378378378378,0.8378378378378378
LOWL,37,36,36,36,departures,0.972972972972973,0.972972972972973
LEVX,37,36,36,36,departures,0.972972972972973,0.972972972972973
ESSB,37,32,31,34,arrivals,0.8378378378378378,0.918918918918919
LEXJ,37,32,17,18,arrivals,0.4594594594594595,0.4864864864864865
LGSK,37,31,31,31,arrivals,0.8378378378378378,0.8378378378378378
EGTE,36,34,34,34,departures,0.9444444444444444,0.9444444444444444
LECO,36,34,34,34,departures,0.9444444444444444,0.9444444444444444
EGTE,36,30,29,29,arrivals,0.8055555555555556,0.8055555555555556
LTFO,36,23,22,23,arrivals,0.6111111111111112,0.6388888888888888
LIPY,36,31,31,31,arrivals,0.8611111111111112,0.8611111111111112
LTFO,35,33,33,33,departures,0.9428571428571428,0.9428571428571428
LZKZ,35,35,35,35,departures,1.0,1.0
EGMC,35,35,35,35,departures,1.0,1.0
EDLP,35,32,32,32,departures,0.9142857142857143,0.9142857142857143
LECO,35,34,34,34,arrivals,0.9714285714285714,0.9714285714285714
LTFG,35,32,31,31,arrivals,0.8857142857142857,0.8857142857142857
ESPA,35,29,26,26,arrivals,0.7428571428571429,0.7428571428571429
LEGR,34,34,34,34,departures,1.0,1.0
LTFG,34,34,34,34,departures,1.0,1.0
GMFO,34,34,34,34,departures,1.0,1.0
LZKZ,34,30,30,30,arrivals,0.8823529411764706,0.8823529411764706
LEGR,34,34,33,33,arrivals,0.9705882352941176,0.9705882352941176
LGMT,34,32,31,31,arrivals,0.9117647058823529,0.9117647058823529
GMFO,34,33,32,33,arrivals,0.9411764705882353,0.9705882352941176
LOWL,34,32,32,33,arrivals,0.9411764705882353,0.9705882352941176
LICR,34,4,4,13,arrivals,0.11764705882352941,0.38235294117647056
LGMT,33,32,31,31,departures,0.9393939393939394,0.9393939393939394
LTCI,33,0,0,0,departures,0.0,0.0
LICR,33,5,5,9,departures,0.15151515151515152,0.2727272727272727
LOWI,33,32,31,31,departures,0.9393939393939394,0.9393939393939394
EGMC,33,30,30,32,arrivals,0.9090909090909091,0.9696969696969697
EKAH,33,30,29,29,arrivals,0.8787878787878788,0.8787878787878788
LFRN,32,32,32,32,departures,1.0,1.0
EGWU,32,32,0,0,departures,0.0,0.0
EKAH,32,32,32,33,departures,1.0,1.03125
LTCB,32,12,11,14,departures,0.34375,0.4375
LEMI,32,31,30,30,arrivals,0.9375,0.9375
LTCI,32,0,0,0,arrivals,0.0,0.0
EDMO,31,30,27,27,departures,0.8709677419354839,0.8709677419354839
LEMI,31,31,31,31,departures,1.0,1.0
ENHD,31,29,27,34,departures,0.8709677419354839,1.096774193548387
EIKN,31,30,30,30,departures,0.967741935483871,0.967741935483871
LFRN,31,31,31,31,arrivals,1.0,1.0
LTCE,31,0,0,2,arrivals,0.0,0.06451612903225806
LGNX,30,16,0,0,departures,0.0,0.0
URMM,30,5,4,4,departures,0.13333333333333333,0.13333333333333333
EGPK,30,30,30,31,departures,1.0,1.0333333333333334
LGNX,30,26,0,0,arrivals,0.0,0.0
LTCB,30,21,21,24,arrivals,0.7,0.8
EIKN,30,29,29,29,arrivals,0.9666666666666667,0.9666666666666667
LTAZ,29,0,0,0,departures,0.0,0.0
EBAW,29,29,28,29,departures,0.9655172413793104,1.0
LTCE,29,0,0,0,departures,0.0,0.0
EGPA,29,15,0,0,departures,0.0,0.0
ENHD,29,26,23,38,arrivals,0.7931034482758621,1.3103448275862069
LTAZ,29,1,0,0,arrivals,0.0,0.0
URMM,29,1,0,3,arrivals,0.0,0.10344827586206896
EGPK,29,21,20,21,arrivals,0.6896551724137931,0.7241379310344828
EGHQ,28,27,27,27,departures,0.9642857142857143,0.9642857142857143
ESNU,28,11,11,11,departures,0.39285714285714285,0.39285714285714285
EGHQ,28,27,27,27,arrivals,0.9642857142857143,0.9642857142857143
ENBN,27,10,5,10,departures,0.18518518518518517,0.37037037037037035
LICD,27,26,26,26,departures,0.9629629629629629,0.9629629629629629
LTCA,27,0,0,0,departures,0.0,0.0
LFKC,27,27,27,27,arrivals,1.0,1.0
EGWU,27,22,0,0,arrivals,0.0,0.0
LTAN,27,0,0,0,arrivals,0.0,0.0
LICD,27,27,27,27,arrivals,1.0,1.0
LIPB,27,26,16,16,arrivals,0.5925925925925926,0.5925925925925926
LTCA,27,0,0,0,arrivals,0.0,0.0
LFKC,26,26,26,26,departures,1.0,1.0
LTAT,26,1,0,0,departures,0.0,0.0
LTAN,26,0,0,0,departures,0.0,0.0
LIPB,26,26,25,25,departures,0.9615384615384616,0.9615384615384616
LRBS,26,26,26,27,departures,1.0,1.0384615384615385
LTCS,26,0,0,0,departures,0.0,0.0
LPCS,26,26,23,24,departures,0.8846153846153846,0.9230769230769231
ENBN,26,13,0,13,arrivals,0.0,0.5
EGPA,26,16,0,0,arrivals,0.0,0.0
LTCS,26,0,0,0,arrivals,0.0,0.0
LGHI,26,24,24,27,arrivals,0.9230769230769231,1.0384615384615385
ESNU,26,18,1,1,arrivals,0.038461538461538464,0.038461538461538464
LFMP,25,25,25,25,departures,1.0,1.0
EHBK,25,22,21,22,departures,0.84,0.88
LGML,25,1,0,0,departures,0.0,0.0
EGSH,25,25,25,25,departures,1.0,1.0
EFOU,25,1,1,3,departures,0.04,0.12
LGKL,25,25,25,25,departures,1.0,1.0
LGHI,25,24,24,26,departures,0.96,1.04
LPCS,25,25,20,20,arrivals,0.8,0.8
EBAW,25,24,23,26,arrivals,0.92,1.04
EGSH,25,24,24,25,arrivals,0.96,1.0
EFOU,25,24,18,19,arrivals,0.72,0.76
LGKL,25,23,23,23,arrivals,0.92,0.92
LFRK,24,24,23,24,departures,0.9583333333333334,1.0
LICG,24,17,12,13,departures,0.5,0.5416666666666666
LIPR,24,24,24,26,departures,1.0,1.0833333333333333
EKVG,24,0,0,0,departures,0.0,0.0
ENAT,24,18,0,0,departures,0.0,0.0
ENFL,24,16,16,33,departures,0.6666666666666666,1.375
LFMP,24,24,23,28,arrivals,0.9583333333333334,1.1666666666666667
EHBK,24,16,14,14,arrivals,0.5833333333333334,0.5833333333333334
LESO,24,24,18,52,arrivals,0.75,2.1666666666666665
LTAT,24,0,0,0,arrivals,0.0,0.0
LIPR,24,22,22,23,arrivals,0.9166666666666666,0.9583333333333334
EKVG,24,0,0,0,arrivals,0.0,0.0
ENAT,24,19,0,0,arrivals,0.0,0.0
ENFL,24,12,12,13,arrivals,0.5,0.5416666666666666
ENLK,23,19,0,0,departures,0.0,0.0
ENKR,23,6,0,0,departures,0.0,0.0
LESO,23,23,19,21,departures,0.8260869565217391,0.9130434782608695
ESSV,23,21,21,22,departures,0.9130434782608695,0.9565217391304348
ENOV,23,4,3,10,departures,0.13043478260869565,0.43478260869565216
EDDR,23,17,17,18,departures,0.7391304347826086,0.782608695652174
LFBT,23,23,23,23,departures,1.0,1.0
ENKR,23,7,0,0,arrivals,0.0,0.0
LICG,23,17,15,18,arrivals,0.6521739130434783,0.782608695652174
EGPO,23,10,7,7,arrivals,0.30434782608695654,0.30434782608695654
LLER,22,11,1,1,departures,0.045454545454545456,0.045454545454545456
EIKY,22,22,22,22,departures,1.0,1.0
LGKP,22,9,3,3,departures,0.13636363636363635,0.13636363636363635
LFBP,22,22,22,22,departures,1.0,1.0
GCHI,22,16,0,0,departures,0.0,0.0
EGNV,22,19,19,19,departures,0.8636363636363636,0.8636363636363636
EGPO,22,5,4,4,departures,0.18181818181818182,0.18181818181818182
LRSB,22,16,16,16,departures,0.7272727272727273,0.7272727272727273
LSGS,22,21,21,23,departures,0.9545454545454546,1.0454545454545454
EDXW,22,21,19,19,departures,0.8636363636363636,0.8636363636363636
LRCV,22,1,1,1,departures,0.045454545454545456,0.045454545454545456
EPSC,22,20,20,20,departures,0.9090909090909091,0.9090909090909091
LLER,22,14,1,1,arrivals,0.045454545454545456,0.045454545454545456
EDMO,22,22,19,19,arrivals,0.8636363636363636,0.8636363636363636
ENLK,22,18,0,0,arrivals,0.0,0.0
LGKP,22,9,5,7,arrivals,0.22727272727272727,0.3181818181818182
LFRK,22,21,20,21,arrivals,0.9090909090909091,0.9545454545454546
LFBP,22,22,22,22,arrivals,1.0,1.0
ESSV,22,20,20,23,arrivals,0.9090909090909091,1.0454545454545454
GCHI,22,17,0,0,arrivals,0.0,0.0
ENOV,22,18,18,44,arrivals,0.8181818181818182,2.0
EDDR,22,15,15,19,arrivals,0.6818181818181818,0.8636363636363636
LFBT,22,21,21,21,arrivals,0.9545454545454546,0.9545454545454546
LRSB,22,6,6,10,arrivals,0.2727272727272727,0.45454545454545453
EDXW,22,21,19,19,arrivals,0.8636363636363636,0.8636363636363636
EPSC,22,17,13,19,arrivals,0.5909090909090909,0.8636363636363636
LRSV,21,15,15,17,departures,0.7142857142857143,0.8095238095238095
ENSG,21,5,0,0,departures,0.0,0.0
BIAR,21,0,0,0,departures,0.0,0.0
LDRI,21,18,18,19,departures,0.8571428571428571,0.9047619047619048
ENSG,21,6,0,0,arrivals,0.0,0.0
LFLC,21,21,21,21,arrivals,1.0,1.0
LRBS,21,20,19,20,arrivals,0.9047619047619048,0.9523809523809523
EGNV,21,18,18,18,arrivals,0.8571428571428571,0.8571428571428571
LSZB,21,20,19,22,arrivals,0.9047619047619048,1.0476190476190477
LDRI,21,17,17,31,arrivals,0.8095238095238095,1.4761904761904763
BIAR,21,0,0,0,arrivals,0.0,0.0
LRCV,21,3,3,3,arrivals,0.14285714285714285,0.14285714285714285
EIKY,21,19,19,19,arrivals,0.9047619047619048,0.9047619047619048
LGML,21,12,0,0,arrivals,0.0,0.0
DABC,20,1,1,1,departures,0.05,0.05
LSZB,20,19,18,20,departures,0.9,1.0
LTCR,20,0,0,0,departures,0.0,0.0
LRSV,20,16,13,41,arrivals,0.65,2.05
HLLM,20,4,4,4,arrivals,0.2,0.2
EGNJ,20,15,15,15,arrivals,0.75,0.75
DABC,20,2,2,3,arrivals,0.1,0.15
GMTN,20,20,19,19,arrivals,0.95,0.95
LSGS,20,16,16,17,arrivals,0.8,0.85
LTCR,20,0,0,0,arrivals,0.0,0.0
ENSK,19,17,0,0,departures,0.0,0.0
HLLM,19,3,3,3,departures,0.15789473684210525,0.15789473684210525
ENVD,19,8,0,0,departures,0.0,0.0
LTCJ,19,0,0,0,departures,0.0,0.0
LSZR,19,19,19,21,departures,1.0,1.105263157894737
LRBC,19,19,19,30,departures,1.0,1.5789473684210527
EGTK,19,19,19,20,departures,1.0,1.0526315789473684
GMTN,19,18,18,18,departures,0.9473684210526315,0.9473684210526315
LOWK,19,19,19,19,departures,1.0,1.0
EFTU,19,17,17,17,departures,0.8947368421052632,0.8947368421052632
ENSK,19,18,0,0,arrivals,0.0,0.0
LTCJ,19,0,0,0,arrivals,0.0,0.0
LSZR,19,19,18,18,arrivals,0.9473684210526315,0.9473684210526315
LFTZ,19,18,0,0,arrivals,0.0,0.0
LRBC,19,18,16,21,arrivals,0.8421052631578947,1.105263157894737
LFLC,18,18,18,18,departures,1.0,1.0
EBOS,18,16,16,16,departures,0.8888888888888888,0.8888888888888888
EYPA,18,17,16,17,departures,0.8888888888888888,0.9444444444444444
EGJA,18,16,16,16,departures,0.8888888888888888,0.8888888888888888
EGJA,18,18,18,18,arrivals,1.0,1.0
LIPO,18,18,14,14,arrivals,0.7777777777777778,0.7777777777777778
LOWK,18,17,16,16,arrivals,0.8888888888888888,0.8888888888888888
EFTU,18,15,14,14,arrivals,0.7777777777777778,0.7777777777777778
LGAL,17,17,17,17,departures,1.0,1.0
EBKT,17,17,17,18,departures,1.0,1.0588235294117647
EPLL,17,17,17,17,departures,1.0,1.0
EFRO,17,0,0,0,departures,0.0,0.0
LPAZ,17,17,17,18,departures,1.0,1.0588235294117647
LQBK,17,17,17,17,departures,1.0,1.0
ENML,17,5,4,4,departures,0.23529411764705882,0.23529411764705882
EBOS,17,14,13,15,arrivals,0.7647058823529411,0.8823529411764706
EYPA,17,14,9,11,arrivals,0.5294117647058824,0.6470588235294118
EFRO,17,0,0,0,arrivals,0.0,0.0
LQBK,17,15,14,18,arrivals,0.8235294117647058,1.0588235294117647
LTCF,16,0,0,0,departures,0.0,0.0
EPLB,16,15,15,17,departures,0.9375,1.0625
LFBL,16,11,11,11,departures,0.6875,0.6875
EGNJ,16,12,12,12,departures,0.75,0.75
EDDE,16,16,16,16,departures,1.0,1.0
LFLY,16,16,0,0,departures,0.0,0.0
EPBY,16,15,15,15,departures,0.9375,0.9375
EKRN,16,16,16,17,departures,1.0,1.0625
LECH,16,14,14,15,departures,0.875,0.9375
LYNI,16,1,0,0,departures,0.0,0.0
LEPP,16,16,16,18,departures,1.0,1.125
LFBE,16,16,16,16,departures,1.0,1.0
EKEB,16,13,13,22,departures,0.8125,1.375
LXGB,16,15,15,15,departures,0.9375,0.9375
LGAL,16,15,15,15,arrivals,0.9375,0.9375
LFBE,16,16,16,16,arrivals,1.0,1.0
EPLB,16,14,14,18,arrivals,0.875,1.125
EDVE,16,16,16,18,arrivals,1.0,1.125
EPLL,16,15,15,28,arrivals,0.9375,1.75
LFBL,16,12,11,12,arrivals,0.6875,0.75
ENSH,16,15,0,0,arrivals,0.0,0.0
EGTK,16,16,16,17,arrivals,1.0,1.0625
LFLY,16,15,0,0,arrivals,0.0,0.0
LFMK,16,16,16,17,arrivals,1.0,1.0625
LYNI,16,4,0,6,arrivals,0.0,0.375
LXGB,16,15,15,15,arrivals,0.9375,0.9375
LTCF,16,0,0,0,arrivals,0.0,0.0
HESX,15,8,7,8,departures,0.4666666666666667,0.5333333333333333
ENRA,15,9,7,10,departures,0.4666666666666667,0.6666666666666666
EDNY,15,13,12,12,departures,0.8,0.8
LTCK,15,0,0,0,departures,0.0,0.0
LFMK,15,15,15,15,departures,1.0,1.0
UWGG,15,0,0,0,departures,0.0,0.0
EGAE,15,5,5,5,departures,0.3333333333333333,0.3333333333333333
HESX,15,5,5,23,arrivals,0.3333333333333333,1.5333333333333334
LGLM,15,0,0,0,arrivals,0.0,0.0
EKEB,15,13,13,25,arrivals,0.8666666666666667,1.6666666666666667
EDNY,15,11,10,11,arrivals,0.6666666666666666,0.7333333333333333
ENVD,15,4,0,0,arrivals,0.0,0.0
LFRM,15,15,14,16,arrivals,0.9333333333333333,1.0666666666666667
EPBY,15,13,10,28,arrivals,0.6666666666666666,1.8666666666666667
EKRN,15,14,14,19,arrivals,0.9333333333333333,1.2666666666666666
LTCK,15,0,0,0,arrivals,0.0,0.0
ENML,15,12,7,24,arrivals,0.4666666666666667,1.6
LECH,15,12,12,12,arrivals,0.8,0.8
LLHA,15,13,13,13,arrivals,0.8666666666666667,0.8666666666666667
EDDE,15,12,12,12,arrivals,0.8,0.8
LFSD,15,15,15,16,arrivals,1.0,1.0666666666666667
ETSI,14,13,13,13,departures,0.9285714285714286,0.9285714285714286
LTAR,14,0,0,0,departures,0.0,0.0
LGLM,14,0,0,0,departures,0.0,0.0
EDVE,14,14,14,14,departures,1.0,1.0
LROD,14,4,3,3,departures,0.21428571428571427,0.21428571428571427
LLHA,14,14,14,14,departures,1.0,1.0
ENSH,14,14,0,0,departures,0.0,0.0
EFKU,14,14,14,14,departures,1.0,1.0
LTAY,14,3,3,3,departures,0.21428571428571427,0.21428571428571427
LTAR,14,0,0,0,arrivals,0.0,0.0
ENRA,14,8,7,12,arrivals,0.5,0.8571428571428571
LROD,14,3,0,8,arrivals,0.0,0.5714285714285714
EGAE,14,4,4,4,arrivals,0.2857142857142857,0.2857142857142857
LPAZ,14,13,13,15,arrivals,0.9285714285714286,1.0714285714285714
LEPP,14,14,3,58,arrivals,0.21428571428571427,4.142857142857143
LFBH,14,14,12,13,arrivals,0.8571428571428571,0.9285714285714286
LPPS,13,6,5,5,departures,0.38461538461538464,0.38461538461538464
LTDA,13,0,0,0,departures,0.0,0.0
EFVA,13,13,13,13,departures,1.0,1.0
LFRZ,13,13,10,10,departures,0.7692307692307693,0.7692307692307693
LFRM,13,13,13,14,departures,1.0,1.0769230769230769
LIBC,13,3,2,2,departures,0.15384615384615385,0.15384615384615385
EDMA,13,13,13,13,departures,1.0,1.0
LTCT,13,0,0,0,departures,0.0,0.0
LGKV,13,13,13,14,departures,1.0,1.0769230769230769
LFBH,13,13,13,13,departures,1.0,1.0
LPPS,13,6,6,20,arrivals,0.46153846153846156,1.5384615384615385
LBPD,13,4,3,3,arrivals,0.23076923076923078,0.23076923076923078
LFRZ,13,13,10,10,arrivals,0.7692307692307693,0.7692307692307693
EFKU,13,13,13,13,arrivals,1.0,1.0
LTAY,13,2,0,7,arrivals,0.0,0.5384615384615384
LTCT,13,0,0,0,arrivals,0.0,0.0
LGKV,13,12,12,12,arrivals,0.9230769230769231,0.9230769230769231
UWGG,13,1,0,0,arrivals,0.0,0.0
LIRS,12,12,12,13,departures,1.0,1.0833333333333333
LFTW,12,12,12,12,departures,1.0,1.0
HLLB,12,0,0,0,departures,0.0,0.0
LFMU,12,12,12,12,departures,1.0,1.0
ESNS,12,12,12,12,departures,1.0,1.0
ENSD,12,1,0,0,departures,0.0,0.0
LTFD,12,11,11,11,departures,0.9166666666666666,0.9166666666666666
GCGM,12,6,0,0,departures,0.0,0.0
EKRK,12,12,12,12,departures,1.0,1.0
LTCP,12,0,0,0,departures,0.0,0.0
LTCN,12,0,0,0,departures,0.0,0.0
ENST,12,6,3,4,departures,0.25,0.3333333333333333
LFTZ,12,11,0,0,departures,0.0,0.0
EDFM,12,11,11,18,departures,0.9166666666666666,1.5
ENBL,12,12,0,0,departures,0.0,0.0
LTCD,12,0,0,0,arrivals,0.0,0.0
HLLB,12,0,0,0,arrivals,0.0,0.0
EKSB,12,12,12,12,arrivals,1.0,1.0
ETSI,12,11,11,12,arrivals,0.9166666666666666,1.0
EFVA,12,12,12,12,arrivals,1.0,1.0
LGRX,12,4,2,2,arrivals,0.16666666666666666,0.16666666666666666
LFMU,12,12,12,12,arrivals,1.0,1.0
LIBC,12,2,1,1,arrivals,0.08333333333333333,0.08333333333333333
LIBF,12,3,0,11,arrivals,0.0,0.9166666666666666
LTFD,12,10,10,10,arrivals,0.8333333333333334,0.8333333333333334
GCGM,12,6,0,0,arrivals,0.0,0.0
LTCN,12,0,0,0,arrivals,0.0,0.0
LGIO,12,10,10,10,arrivals,0.8333333333333334,0.8333333333333334
LGRX,11,1,1,1,departures,0.09090909090909091,0.09090909090909091
EGPN,11,11,11,12,departures,1.0,1.0909090909090908
LTCV,11,0,0,0,departures,0.0,0.0
LIPO,11,11,11,13,departures,1.0,1.1818181818181819
ENAN,11,10,0,0,departures,0.0,0.0
LFSD,11,11,11,12,departures,1.0,1.0909090909090908
GMML,11,2,0,0,departures,0.0,0.0
LTCD,11,0,0,0,departures,0.0,0.0
LRBV,11,10,10,10,departures,0.9090909090909091,0.9090909090909091
LIRS,11,10,8,8,arrivals,0.7272727272727273,0.7272727272727273
LFTW,11,10,10,10,arrivals,0.9090909090909091,0.9090909090909091
LTDA,11,0,0,0,arrivals,0.0,0.0
ENBL,11,0,0,0,arrivals,0.0,0.0
EGPN,11,11,11,11,arrivals,1.0,1.0
EDMA,11,11,11,11,arrivals,1.0,1.0
ESNS,11,10,10,13,arrivals,0.9090909090909091,1.1818181818181819
ENSD,11,6,0,0,arrivals,0.0,0.0
ENST,11,11,3,5,arrivals,0.2727272727272727,0.45454545454545453
EDFM,11,10,10,16,arrivals,0.9090909090909091,1.4545454545454546
LFMV,11,10,10,10,arrivals,0.9090909090909091,0.9090909090909091
LTCP,11,0,0,0,arrivals,0.0,0.0
GMML,11,3,0,0,arrivals,0.0,0.0
LICB,11,11,11,12,arrivals,1.0,1.0909090909090908
