AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;CONFIGURATION;SHARE_PCT
EDDG;EDDG;FMO;Münster - Osnabrück;Germany;Münster - Osnabrück (EDDG);Münster - Osnabrück (FMO);2025;ARR:25 - DEP:25;0,6241081487044686
EDDG;EDDG;FMO;Münster - Osnabrück;Germany;Münster - Osnabrück (EDDG);Münster - Osnabrück (FMO);2025;ARR:07 - DEP:07;0,3730754787833270
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2025;ARR:23 - DEP:33;0,4651309742647058
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2025;ARR:15 - DEP:23;0,2156479779411764
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2025;ARR:15 - DEP:05;0,0486557904411765
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2025;ARR:05 - DEP:33;0,1101217830882352
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2025;ARR:23 - DEP:23;0,0695082720588235
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2025;ARR:33 - DEP:33;0,0574448529411765
EDDK;EDDK;CGN;Cologne-Bonn;Germany;Cologne-Bonn (EDDK);Cologne-Bonn (CGN);2025;ARR:13L - DEP:13L;0,5458946192515360
EDDK;EDDK;CGN;Cologne-Bonn;Germany;Cologne-Bonn (EDDK);Cologne-Bonn (CGN);2025;ARR:31R - DEP:31R;0,3420219698380189
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2025;ARR:05R - DEP:05R;0,2700160000000000
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2025;ARR:23L - DEP:23L;0,6115200000000000
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2025;ARR:23R - DEP:23L;0,0687360000000000
