AIRPORT;APT_ICAO;PHASE;YEAR;MONTH_NUM;PUNCT_CAT;NB_FLT;MONTHLY_TRAFIC
LTFJ;LTFJ;ARR;2020;9;[- 4, + 4];NA;NA
LGRP;LGRP;DEP;2024;12;[>+61];NA;NA
LFBD;LFBD;DEP;2023;10;[- 5, -15];NA;NA
EHEH;EHEH;DEP;2019;4;[+31, +60];NA;NA
LIEO;LIEO;ARR;2023;12;[>+61];NA;NA
ENBO;ENBO;DEP;2022;2;[+ 5, +15];NA;NA
EBLG;EBLG;DEP;2025;2;[+31, +60];NA;NA
GMMN;GMMN;ARR;2020;7;[- 4, + 4];NA;NA
BIKF;BIKF;ARR;2021;5;[+16, +30];NA;NA
LICJ;LICJ;DEP;2026;5;[<-31];NA;NA
EPGD;EPGD;DEP;2021;1;[- 5, -15];NA;NA
LBBG;LBBG;DEP;2022;3;[>+61];NA;NA
GMMX;GMMX;ARR;2019;9;[+31, +60];NA;NA
LLBG;LLBG;ARR;2019;12;[- 4, + 4];NA;NA
EHEH;EHEH;ARR;2023;8;[>+61];NA;NA
UKBB;UKBB;ARR;2019;10;[>+61];NA;NA
LUKK;LUKK;ARR;2025;9;[>+61];NA;NA
EPGD;EPGD;ARR;2023;6;[+31, +60];NA;NA
EPKK;EPKK;DEP;2020;8;[-16, -30];NA;NA
LBWN;LBWN;ARR;2022;9;[+ 5, +15];NA;NA
LUKK;LUKK;DEP;2021;12;[- 5, -15];NA;NA
GMMN;GMMN;ARR;2019;6;[-16, -30];NA;NA
EPKT;EPKT;DEP;2022;12;[+16, +30];NA;NA
UGSB;UGSB;DEP;2021;8;[+16, +30];NA;NA
LFPB;LFPB;DEP;2021;1;[<-31];NA;NA
ENTC;ENTC;ARR;2019;1;[- 5, -15];NA;NA
LTFJ;LTFJ;DEP;2025;1;[<-31];NA;NA
EGAA;EGAA;DEP;2019;2;[+ 5, +15];NA;NA
UDYZ;UDYZ;ARR;2026;2;[- 4, + 4];NA;NA
LBWN;LBWN;DEP;2024;9;[+31, +60];NA;NA
LTAC;LTAC;ARR;2025;12;[-16, -30];NA;NA
ENVA;ENVA;ARR;2021;10;[<-31];NA;NA
ENZV;ENZV;ARR;2019;12;[- 4, + 4];NA;NA
LIEO;LIEO;ARR;2019;5;[<-31];NA;NA
EGAA;EGAA;ARR;2024;4;[-16, -30];NA;NA
EBLG;EBLG;DEP;2022;3;[- 4, + 4];NA;NA
ENTC;ENTC;ARR;2026;3;[+31, +60];NA;NA
UGSB;UGSB;DEP;2023;1;[- 4, + 4];NA;NA
LTAC;LTAC;ARR;2022;9;[- 5, -15];NA;NA
EGPD;EGPD;ARR;2026;4;[-16, -30];NA;NA
LWSK;LWSK;DEP;2024;6;[-16, -30];NA;NA
EGAA;EGAA;ARR;2024;6;[+31, +60];NA;NA
LUKK;LUKK;DEP;2023;3;[<-31];NA;NA
LIPE;LIPE;ARR;2020;4;[>+61];NA;NA
LICJ;LICJ;ARR;2024;1;[+31, +60];NA;NA
EHEH;EHEH;ARR;2021;6;[+16, +30];NA;NA
LIEO;LIEO;DEP;2024;4;[>+61];NA;NA
LFBD;LFBD;ARR;2020;2;[>+61];NA;NA
LIPE;LIPE;ARR;2022;2;[<-31];NA;NA
ESSB;ESSB;DEP;2023;7;[<-31];NA;NA
ENZV;ENZV;ARR;2019;12;[+16, +30];NA;NA
ENBO;ENBO;ARR;2019;4;[+31, +60];NA;NA
BIKF;BIKF;DEP;2023;2;[-16, -30];NA;NA
EHEH;EHEH;DEP;2019;10;[>+61];NA;NA
LICJ;LICJ;DEP;2021;7;[+16, +30];NA;NA
LBBG;LBBG;DEP;2021;8;[+16, +30];NA;NA
GMMX;GMMX;ARR;2024;3;[- 5, -15];NA;NA
LLBG;LLBG;DEP;2019;1;[+16, +30];NA;NA
UGTB;UGTB;DEP;2022;12;[+31, +60];NA;NA
GMMN;GMMN;ARR;2020;12;[-16, -30];NA;NA
LLBG;LLBG;ARR;2024;11;[<-31];NA;NA
EGAA;EGAA;ARR;2025;2;[+ 5, +15];NA;NA
LWSK;LWSK;ARR;2026;2;[<-31];NA;NA
LTFJ;LTFJ;DEP;2019;4;[+ 5, +15];NA;NA
LIBD;LIBD;ARR;2024;3;[-16, -30];NA;NA
EYVI;EYVI;DEP;2025;1;[+ 5, +15];NA;NA
LGRP;LGRP;DEP;2021;6;[- 5, -15];NA;NA
LCLK;LCLK;DEP;2025;2;[>+61];NA;NA
LLBG;LLBG;DEP;2025;12;[+16, +30];NA;NA
LTAC;LTAC;DEP;2020;1;[+ 5, +15];NA;NA
LTBA;LTBA;DEP;2023;8;[+ 5, +15];NA;NA
LLBG;LLBG;ARR;2021;7;[+16, +30];NA;NA
ENBR;ENBR;DEP;2022;5;[- 4, + 4];NA;NA
ENZV;ENZV;ARR;2020;11;[<-31];NA;NA
UGTB;UGTB;ARR;2019;10;[- 5, -15];NA;NA
UGSB;UGSB;ARR;2021;4;[+31, +60];NA;NA
UGSB;UGSB;ARR;2022;10;[<-31];NA;NA
EGNX;EGNX;DEP;2026;3;[-16, -30];NA;NA
EBLG;EBLG;ARR;2026;5;[+16, +30];NA;NA
EGAA;EGAA;DEP;2021;6;[+31, +60];NA;NA
UDYZ;UDYZ;DEP;2021;3;[+31, +60];NA;NA
ENBR;ENBR;DEP;2021;12;[-16, -30];NA;NA
LBBG;LBBG;ARR;2020;2;[+ 5, +15];NA;NA
EHEH;EHEH;DEP;2026;5;[- 5, -15];NA;NA
ENBO;ENBO;DEP;2024;11;[<-31];NA;NA
LATI;LATI;DEP;2025;5;[-16, -30];NA;NA
ESSB;ESSB;ARR;2023;7;[+16, +30];NA;NA
ENZV;ENZV;ARR;2019;12;[>+61];NA;NA
