airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run
LGMK,104,49,47,50,arrivals,0.4519230769230769,0.4807692307692308,legacy
EDJA,104,102,102,102,arrivals,0.9807692307692307,0.9807692307692307,legacy
EDJA,102,101,101,101,departures,0.9901960784313726,0.9901960784313726,legacy
OKKK,102,41,41,42,arrivals,0.4019607843137255,0.4117647058823529,legacy
EGJJ,101,97,95,101,departures,0.9405940594059405,1.0,legacy
EHRD,100,100,99,101,arrivals,0.99,1.01,legacy
EHRD,99,98,96,101,departures,0.9696969696969697,1.02020202020202,legacy
LBBG,97,82,82,82,arrivals,0.845360824742268,0.845360824742268,legacy
LOWS,96,94,94,97,departures,0.9791666666666666,1.0104166666666667,legacy
LOWS,95,92,90,90,arrivals,0.9473684210526315,0.9473684210526315,legacy
DTTJ,94,1,0,0,arrivals,0.0,0.0,legacy
LJLJ,94,86,85,86,arrivals,0.9042553191489362,0.9148936170212766,legacy
LBBG,93,23,23,23,departures,0.24731182795698925,0.24731182795698925,legacy
LQSA,93,0,0,0,departures,0.0,0.0,legacy
LQSA,93,0,0,0,arrivals,0.0,0.0,legacy
GMAD,92,0,0,0,departures,0.0,0.0,legacy
EGKB,92,91,81,84,departures,0.8804347826086957,0.9130434782608695,legacy
EINN,91,61,60,60,departures,0.6593406593406593,0.6593406593406593,legacy
GMAD,91,0,0,0,arrivals,0.0,0.0,legacy
EGKB,91,90,88,100,arrivals,0.967032967032967,1.098901098901099,legacy
LJLJ,90,60,60,61,departures,0.6666666666666666,0.6777777777777778,legacy
DTTJ,89,0,0,0,departures,0.0,0.0,legacy
UUDD,89,5,5,5,departures,0.056179775280898875,0.056179775280898875,legacy
EDDW,88,87,86,88,departures,0.9772727272727273,1.0,legacy
GMTT,88,88,88,88,departures,1.0,1.0,legacy
EDLW,87,85,85,86,departures,0.9770114942528736,0.9885057471264368,legacy
EDDW,87,87,86,88,arrivals,0.9885057471264368,1.0114942528735633,legacy
GMTT,87,86,86,87,arrivals,0.9885057471264368,1.0,legacy
EDLW,87,84,84,84,arrivals,0.9655172413793104,0.9655172413793104,legacy
EINN,86,80,80,82,arrivals,0.9302325581395349,0.9534883720930233,legacy
LIMJ,86,86,85,85,arrivals,0.9883720930232558,0.9883720930232558,legacy
EGHI,86,78,78,79,arrivals,0.9069767441860465,0.9186046511627907,legacy
LIPH,85,85,85,85,departures,1.0,1.0,legacy
GCLA,85,0,0,0,departures,0.0,0.0,legacy
LIPH,85,85,84,84,arrivals,0.9882352941176471,0.9882352941176471,legacy
EDSB,85,78,78,78,arrivals,0.9176470588235294,0.9176470588235294,legacy
LFKB,84,5,4,4,departures,0.047619047619047616,0.047619047619047616,legacy
LFKB,84,20,20,20,arrivals,0.23809523809523808,0.23809523809523808,legacy
GCLA,84,0,0,0,arrivals,0.0,0.0,legacy
EGHI,83,74,74,75,departures,0.891566265060241,0.9036144578313253,legacy
EGJB,83,60,55,57,departures,0.6626506024096386,0.6867469879518072,legacy
LYTV,83,2,0,0,arrivals,0.0,0.0,legacy
LYTV,82,1,0,0,departures,0.0,0.0,legacy
EDSB,81,76,76,77,departures,0.9382716049382716,0.9506172839506173,legacy
EGNS,81,73,72,72,arrivals,0.8888888888888888,0.8888888888888888,legacy
DTMB,81,0,0,0,arrivals,0.0,0.0,legacy
EGNS,80,44,44,44,departures,0.55,0.55,legacy
LFKJ,80,78,78,78,arrivals,0.975,0.975,legacy
LIMJ,79,42,41,41,departures,0.5189873417721519,0.5189873417721519,legacy
DTMB,79,1,0,0,departures,0.0,0.0,legacy
LFKJ,78,76,76,76,departures,0.9743589743589743,0.9743589743589743,legacy
EDFH,77,18,17,17,departures,0.22077922077922077,0.22077922077922077,legacy
LYPG,77,0,0,0,departures,0.0,0.0,legacy
LYPG,77,1,0,0,arrivals,0.0,0.0,legacy
EKYT,75,72,72,72,departures,0.96,0.96,legacy
LBWN,75,14,14,14,arrivals,0.18666666666666668,0.18666666666666668,legacy
LFMT,75,54,54,54,arrivals,0.72,0.72,legacy
UUDD,75,0,0,0,arrivals,0.0,0.0,legacy
LFMT,74,69,68,68,departures,0.918918918918919,0.918918918918919,legacy
EDFH,74,71,71,72,arrivals,0.9594594594594594,0.972972972972973,legacy
LTAJ,74,0,0,0,arrivals,0.0,0.0,legacy
EGJB,74,64,63,84,arrivals,0.8513513513513513,1.135135135135135,legacy
LTAU,73,0,0,0,arrivals,0.0,0.0,legacy
LTAJ,72,0,0,0,departures,0.0,0.0,legacy
LFMD,72,69,68,72,arrivals,0.9444444444444444,1.0,legacy
EGHH,72,67,66,68,arrivals,0.9166666666666666,0.9444444444444444,legacy
ENTO,72,55,54,54,arrivals,0.75,0.75,legacy
LBWN,71,2,1,1,departures,0.014084507042253521,0.014084507042253521,legacy
LRIA,71,1,0,0,departures,0.0,0.0,legacy
EGHH,71,69,68,68,departures,0.9577464788732394,0.9577464788732394,legacy
ENTO,71,2,1,2,departures,0.014084507042253521,0.028169014084507043,legacy
EKYT,71,69,69,69,arrivals,0.971830985915493,0.971830985915493,legacy
LTAU,70,0,0,0,departures,0.0,0.0,legacy
LEAS,69,2,2,2,departures,0.028985507246376812,0.028985507246376812,legacy
UGSB,69,49,49,50,arrivals,0.7101449275362319,0.7246376811594203,legacy
EDLV,69,69,69,69,arrivals,1.0,1.0,legacy
EDLV,68,68,68,69,departures,1.0,1.0147058823529411,legacy
LERS,68,44,44,44,arrivals,0.6470588235294118,0.6470588235294118,legacy
LEAS,68,1,0,0,arrivals,0.0,0.0,legacy
LRIA,68,0,0,0,arrivals,0.0,0.0,legacy
UGSB,67,47,47,47,departures,0.7014925373134329,0.7014925373134329,legacy
LERS,67,4,4,4,departures,0.05970149253731343,0.05970149253731343,legacy
URSS,67,0,0,0,arrivals,0.0,0.0,legacy
LFMD,65,60,59,61,departures,0.9076923076923077,0.9384615384615385,legacy
LFKF,65,50,49,49,arrivals,0.7538461538461538,0.7538461538461538,legacy
GMME,64,3,3,3,departures,0.046875,0.046875,legacy
GMME,63,18,18,18,arrivals,0.2857142857142857,0.2857142857142857,legacy
LIEA,62,62,62,62,departures,1.0,1.0,legacy
LGKF,62,59,58,59,departures,0.9354838709677419,0.9516129032258065,legacy
LIEA,62,62,62,62,arrivals,1.0,1.0,legacy
LIPQ,61,58,58,58,departures,0.9508196721311475,0.9508196721311475,legacy
LFKF,61,5,5,5,departures,0.08196721311475409,0.08196721311475409,legacy
EDDG,60,60,60,60,departures,1.0,1.0,legacy
EPRZ,60,57,56,56,departures,0.9333333333333333,0.9333333333333333,legacy
LGKF,60,56,55,58,arrivals,0.9166666666666666,0.9666666666666667,legacy
DTNH,59,0,0,0,departures,0.0,0.0,legacy
LRTR,59,0,0,0,departures,0.0,0.0,legacy
LIPQ,59,59,58,58,arrivals,0.9830508474576272,0.9830508474576272,legacy
LTBA,58,54,54,61,departures,0.9310344827586207,1.0517241379310345,legacy
DTNH,58,0,0,0,arrivals,0.0,0.0,legacy
EPRZ,58,55,54,54,arrivals,0.9310344827586207,0.9310344827586207,legacy
LFBZ,57,54,54,55,arrivals,0.9473684210526315,0.9649122807017544,legacy
LRTR,57,0,0,1,arrivals,0.0,0.017543859649122806,legacy
LFQQ,57,56,56,56,arrivals,0.9824561403508771,0.9824561403508771,legacy
LOWG,56,55,52,53,departures,0.9285714285714286,0.9464285714285714,legacy
LFQQ,56,54,54,54,departures,0.9642857142857143,0.9642857142857143,legacy
LTCC,56,0,0,0,arrivals,0.0,0.0,legacy
EDDG,56,54,54,54,arrivals,0.9642857142857143,0.9642857142857143,legacy
LFBZ,55,1,1,1,departures,0.01818181818181818,0.01818181818181818,legacy
LTCC,55,1,0,0,departures,0.0,0.0,legacy
LDPL,55,47,46,51,arrivals,0.8363636363636363,0.9272727272727272,legacy
LFTH,55,39,36,37,arrivals,0.6545454545454545,0.6727272727272727,legacy
EYKA,54,52,51,51,departures,0.9444444444444444,0.9444444444444444,legacy
LOWG,53,53,53,57,arrivals,1.0,1.0754716981132075,legacy
LKTB,52,50,47,51,departures,0.9038461538461539,0.9807692307692307,legacy
URSS,52,0,0,0,departures,0.0,0.0,legacy
GMFF,52,0,0,0,departures,0.0,0.0,legacy
LTBA,52,47,46,346,arrivals,0.8846153846153846,6.653846153846154,legacy
LKTB,52,51,50,52,arrivals,0.9615384615384616,1.0,legacy
GMFF,52,0,0,0,arrivals,0.0,0.0,legacy
LFTH,51,8,5,6,departures,0.09803921568627451,0.11764705882352941,legacy
EGPE,51,35,35,35,departures,0.6862745098039216,0.6862745098039216,legacy
EHKD,50,44,41,51,departures,0.82,1.02,legacy
LFST,50,48,48,48,arrivals,0.96,0.96,legacy
EYKA,50,13,9,9,arrivals,0.18,0.18,legacy
LDPL,49,17,17,17,departures,0.3469387755102041,0.3469387755102041,legacy
UGKO,49,0,0,0,departures,0.0,0.0,legacy
LFST,49,47,47,47,departures,0.9591836734693877,0.9591836734693877,legacy
DAOO,49,19,6,6,arrivals,0.12244897959183673,0.12244897959183673,legacy
UGKO,49,0,0,0,arrivals,0.0,0.0,legacy
