adep_accuracy,adep_correct,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,adep_score,adep_wrong,ades_accuracy,ades_correct,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,ades_score,ades_wrong,datum,fl_cap,k,legacy,margin,n_ground_truth,penalty_nm,radius_nm,stage,stage2_role
0.9931780901718508,64786,0.6858047016274864,0.08297237057908238,0.9942450238639677,0.7470535632394754,0.0,0.0,0.6811262037932629,0.0,63896.0,445,0.9819409547738693,62530,0.6694982968165187,0.08372934101518147,0.9824500762015491,0.730298788323848,0.0,0.0,0.6574077967954918,0.0,60230.0,1150,field,3000,2.0,,0,95116,10.0,15.0,1,
0.9922961465416896,64789,0.6864460238025148,0.08297237057908238,0.9933915976694265,0.7477299825736036,0.0,0.0,0.6811577442281004,0.0,63783.0,503,0.9803230405288966,62575,0.671085832036671,0.08372934101518147,0.9808762442197665,0.73199697080962,0.0,0.0,0.6578809033180537,0.0,60063.0,1256,field,3000,2.0,,0,95116,10.0,20.0,1,
0.9882401391049693,64791,0.6892846629378864,0.08297237057908238,0.9893266147503436,0.7508254608823259,0.0,0.0,0.6811787711846587,0.0,63249.0,771,0.9777569509528272,62596,0.6730728794314311,0.08372934101518147,0.9784141175735029,0.7340852762988801,0.0,0.0,0.658101686361916,0.0,59748.0,1424,field,3000,2.0,,0,95116,10.0,30.0,1,
0.9861497952909304,64793,0.6907670633752471,0.08297237057908238,0.9872316435830629,0.7524419884435476,0.0,0.0,0.681199798141217,0.0,62973.0,910,0.9749427685982589,62604,0.6751019807393078,0.08372934101518147,0.9756568899417137,0.7362539012300349,0.0,0.0,0.6581857941881492,0.0,59386.0,1609,field,3000,2.0,,0,95116,10.0,40.0,1,
0.9779780233049569,64793,0.6965389629505025,0.08297237057908238,0.9790715947898093,0.7587131982023296,0.0,0.0,0.681199798141217,0.0,61875.0,1459,0.9696453461359764,62610,0.6788552924849657,0.08372934101518147,0.9704569409138818,0.7402698733247659,0.0,0.0,0.6582488750578241,0.0,58690.0,1960,field,3000,2.0,,0,95116,10.0,60.0,1,
0.9640965361266516,64795,0.7065898481853736,0.08297237057908238,0.9655187828756202,0.7693868660001835,0.0,0.0,0.6812208250977754,0.0,59969.0,2413,0.9651169960230601,62611,0.6820513898818285,0.08372934101518147,0.9660849573361725,0.743631815678355,0.0,0.0,0.6582593885361033,0.0,58085.0,2263,field,3000,2.0,,0,95116,10.0,80.0,1,
0.9955544384925934,63376,0.6692775137726565,0.08297237057908238,0.9965563330450508,0.7290997890488856,0.0,0.0,0.666302199419656,0.0,62810.0,283,0.987324707777796,60056,0.6395033432860928,0.08372934101518147,0.9876819340514761,0.6976890949146319,0.0,0.0,0.6313974515328651,0.0,58514.0,771,field,3000,2.0,,2,95116,10.0,5.0,1,
0.993626593351662,63608,0.6730308255183145,0.08297237057908238,0.9946831800838181,0.7331468403191782,0.0,0.0,0.6687413263804197,0.0,62792.0,408,0.9846190325640215,62287,0.6650826359392742,0.08372934101518147,0.9850706140975155,0.7255255186341105,0.0,0.0,0.6548530215736574,0.0,60341.0,973,field,3000,2.0,,2,95116,10.0,10.0,1,
0.9928041832513853,63604,0.6735459859539931,0.08297237057908238,0.9938590871447099,0.7337086123085389,0.0,0.0,0.6686992724673031,0.0,62682.0,461,0.982793092048299,62428,0.6678266537701333,0.08372934101518147,0.9832574695626152,0.7285088121901965,0.0,0.0,0.6563354220110181,0.0,60242.0,1093,field,3000,2.0,,2,95116,10.0,15.0,1,
0.9915505253640133,63604,0.6743975776946045,0.08297237057908238,0.9926027653796935,0.7346372558011557,0.0,0.0,0.6686992724673031,0.0,62520.0,542,0.9813368941952714,62467,0.6692354598595399,0.08372934101518147,0.981815038350308,0.7300348815861942,0.0,0.0,0.6567454476639051,0.0,60091.0,1188,field,3000,2.0,,2,95116,10.0,20.0,1,
0.9863383317567882,63606,0.677982673787796,0.08297237057908238,0.9873794998370046,0.7385467302577272,0.0,0.0,0.6687202994238614,0.0,61844.0,881,0.9791875626880642,62480,0.6708440220362505,0.08372934101518147,0.9796788760662318,0.731778960895906,0.0,0.0,0.6568821228815341,0.0,59824.0,1328,field,3000,2.0,,2,95116,10.0,30.0,1,
0.9839433220926276,63608,0.6796543168341814,0.08297237057908238,0.9849946575406104,0.7403581583050537,0.0,0.0,0.6687413263804197,0.0,61532.0,1038,0.9766638531995373,62485,0.6726313133437066,0.08372934101518147,0.9771525975041441,0.7337295759133468,0.0,0.0,0.6569346902729299,0.0,59499.0,1493,field,3000,2.0,,2,95116,10.0,40.0,1,
0.975478092842793,63608,0.6855523781487868,0.08297237057908238,0.9765114065522429,0.7467898743465101,0.0,0.0,0.6687413263804197,0.0,60410.0,1599,0.9714583300946725,62491,0.6763005172631313,0.08372934101518147,0.9719720653881448,0.737711125390123,0.0,0.0,0.6569977711426048,0.0,58819.0,1836,field,3000,2.0,,2,95116,10.0,60.0,1,
0.9615431128310558,63608,0.6954876151225872,0.08297237057908238,0.9627364915998183,0.7574750068788407,0.0,0.0,0.6687413263804197,0.0,58520.0,2544,0.9676680086714153,62492,0.6789604272677573,0.08372934101518147,0.9682377366675963,0.7405682026803745,0.0,0.0,0.657008284620884,0.0,58316.0,2088,field,3000,2.0,,2,95116,10.0,80.0,1,
0.9956624037645854,62206,0.6568505824466967,0.08297237057908238,0.9966674143621623,0.7155599376318444,0.0,0.0,0.654001429833046,0.0,61664.0,271,0.9875556288116037,59915,0.6378527271962656,0.08372934101518147,0.9878975745684183,0.6958991187809803,0.0,0.0,0.6299150510955044,0.0,58405.0,755,field,3000,2.0,,4,95116,10.0,5.0,1,
