airport,role,n_truth,n_correct_msl,n_correct_field,delta_correct,elevation_ft,band
GCXO,arrivals,320,2,41,39,2076.0,1500-3000
LGAV,arrivals,1317,747,771,24,308.0,<500
LEVT,arrivals,39,1,24,23,1682.0,1500-3000
LEVX,arrivals,40,23,34,11,856.0,500-1500
LOWK,arrivals,18,9,16,7,1472.0,500-1500
LBSF,arrivals,267,1,7,6,1742.0,1500-3000
GMMX,arrivals,279,12,18,6,1545.0,1500-3000
LEGE,arrivals,105,49,55,6,468.0,<500
LEGR,arrivals,34,1,7,6,1860.0,1500-3000
GMFO,arrivals,34,27,32,5,1535.0,1500-3000
LIRQ,arrivals,198,117,122,5,142.0,<500
LESA,arrivals,5,0,5,5,2595.0,1500-3000
LQBK,arrivals,17,8,13,5,400.0,<500
LOWI,arrivals,43,30,34,4,1907.0,1500-3000
ESNQ,arrivals,7,2,6,4,1508.0,1500-3000
OJAI,arrivals,116,0,4,4,2395.0,1500-3000
LRBC,arrivals,19,3,6,3,607.0,500-1500
LICJ,arrivals,314,154,157,3,65.0,<500
LZTT,arrivals,4,1,4,3,2356.0,1500-3000
LBWN,arrivals,75,65,68,3,230.0,<500
LGMK,arrivals,104,77,80,3,405.0,<500
LIEO,arrivals,252,103,105,2,37.0,<500
LTBY,arrivals,2,0,2,2,2588.0,1500-3000
HECA,arrivals,231,59,61,2,322.0,<500
ESSV,arrivals,22,11,13,2,164.0,<500
LZKZ,arrivals,34,27,29,2,755.0,500-1500
LEVD,arrivals,4,0,2,2,2776.0,1500-3000
LRTM,arrivals,5,0,2,2,963.0,500-1500
LQSA,arrivals,93,0,2,2,1708.0,1500-3000
DAAG,arrivals,184,116,118,2,82.0,<500
GMMW,arrivals,40,36,38,2,574.0,500-1500
EGSS,arrivals,888,831,832,1,348.0,<500
LEAS,arrivals,68,5,6,1,416.0,<500
LRTR,arrivals,57,3,4,1,348.0,<500
OLBA,arrivals,144,39,40,1,87.0,<500
LFLC,arrivals,21,20,21,1,1090.0,500-1500
DAON,arrivals,9,0,1,1,814.0,500-1500
LTAI,arrivals,1437,929,930,1,177.0,<500
EIDW,arrivals,1188,1082,1083,1,242.0,<500
LGKO,arrivals,177,167,168,1,412.0,<500
EPSC,arrivals,22,11,12,1,154.0,<500
LRCL,arrivals,129,0,1,1,1039.0,500-1500
EBLG,arrivals,126,74,75,1,659.0,500-1500
LSGS,arrivals,20,0,1,1,1582.0,1500-3000
LGKZ,arrivals,1,0,1,1,2059.0,1500-3000
ESNS,arrivals,11,8,9,1,157.0,<500
ENCN,arrivals,43,12,13,1,57.0,<500
LFSG,arrivals,1,0,1,1,1084.0,500-1500
EFJY,arrivals,4,2,3,1,459.0,<500
ESDF,arrivals,4,2,3,1,191.0,<500
LGKP,departures,22,0,0,0,66.0,<500
LGKP,arrivals,22,0,0,0,66.0,<500
LGKC,departures,5,0,0,0,1045.0,500-1500
LGKF,arrivals,60,55,55,0,59.0,<500
LGKO,departures,178,171,171,0,412.0,<500
LGKJ,departures,2,0,0,0,489.0,<500
LGKL,arrivals,25,22,22,0,26.0,<500
LGKL,departures,25,21,21,0,26.0,<500
LGKF,departures,62,61,61,0,59.0,<500
LGKY,departures,5,0,0,0,771.0,500-1500
LGKY,arrivals,4,0,0,0,771.0,500-1500
LGKZ,departures,1,1,1,0,2059.0,1500-3000
LGLE,arrivals,6,0,0,0,39.0,<500
LFRS,arrivals,257,246,246,0,90.0,<500
LFRS,departures,256,247,247,0,90.0,<500
LGKV,departures,13,13,13,0,18.0,<500
LGKC,arrivals,5,0,0,0,1045.0,500-1500
LFRT,departures,4,3,3,0,453.0,<500
LGKV,arrivals,13,13,13,0,18.0,<500
LFRV,arrivals,2,2,2,0,446.0,<500
LFRV,departures,2,2,2,0,446.0,<500
LGKS,departures,4,0,0,0,35.0,<500
LGKS,arrivals,4,0,0,0,35.0,<500
LGKR,departures,244,201,201,0,6.0,<500
LGKR,arrivals,247,27,27,0,6.0,<500
LFRT,arrivals,2,0,0,0,453.0,<500
LFSL,departures,8,8,8,0,1016.0,500-1500
LFSL,arrivals,8,4,4,0,1016.0,500-1500
LFSG,departures,1,1,1,0,1084.0,500-1500
LFSD,departures,11,11,11,0,726.0,500-1500
LFSD,arrivals,15,14,14,0,726.0,500-1500
LFSB,departures,354,349,349,0,885.0,500-1500
LFSB,arrivals,352,339,339,0,885.0,500-1500
LFMN,arrivals,710,677,677,0,12.0,<500
LFML,departures,444,440,440,0,74.0,<500
LFML,arrivals,445,439,439,0,74.0,<500
LFMK,departures,15,15,15,0,433.0,<500
LGBL,arrivals,4,2,2,0,83.0,<500
LFMH,departures,1,1,1,0,1325.0,500-1500
LFMH,arrivals,1,1,1,0,1325.0,500-1500
LFMU,departures,12,12,12,0,56.0,<500
LFRO,departures,1,1,1,0,290.0,<500
LFRO,arrivals,1,1,1,0,290.0,<500
LFRN,departures,32,32,32,0,124.0,<500
LFRN,arrivals,31,31,31,0,124.0,<500
LFRM,departures,13,13,13,0,194.0,<500
LFRM,arrivals,15,14,14,0,194.0,<500
LFRK,departures,24,23,23,0,256.0,<500
LFMN,departures,707,691,691,0,12.0,<500
LFRI,departures,1,1,1,0,299.0,<500
LFMK,arrivals,16,16,16,0,433.0,<500
LGKA,departures,1,0,0,0,2167.0,1500-3000
LGKA,arrivals,1,0,0,0,2167.0,1500-3000
LFPT,departures,2,2,2,0,325.0,<500
LFPT,arrivals,2,2,2,0,325.0,<500
LFPO,departures,992,982,982,0,291.0,<500
LFPO,arrivals,991,941,941,0,291.0,<500
LFPN,departures,4,0,0,0,538.0,500-1500
LFPN,arrivals,1,0,0,0,538.0,500-1500
LFPG,departures,2084,2061,2061,0,392.0,<500
LFPG,arrivals,2066,1713,1713,0,392.0,<500
LGBL,departures,4,4,4,0,83.0,<500
LFSN,arrivals,2,0,0,0,751.0,500-1500
LGAV,departures,1306,1238,1238,0,308.0,<500
LGAL,departures,17,16,16,0,24.0,<500
LGAL,arrivals,16,16,16,0,24.0,<500
LFTZ,departures,12,0,0,0,59.0,<500
LFTZ,arrivals,19,0,0,0,59.0,<500
LFTW,departures,12,11,11,0,309.0,<500
LFTW,arrivals,11,11,11,0,309.0,<500
LFTH,departures,51,45,45,0,7.0,<500
LFTH,arrivals,55,52,52,0,7.0,<500
LFTF,arrivals,1,0,0,0,266.0,<500
LFST,departures,49,47,47,0,505.0,500-1500
LFST,arrivals,50,48,48,0,505.0,500-1500
LFRZ,arrivals,13,10,10,0,13.0,<500
LICD,departures,27,25,25,0,70.0,<500
LICD,arrivals,27,11,11,0,70.0,<500
LIEO,departures,228,175,175,0,37.0,<500
LIEE,departures,191,112,112,0,13.0,<500
LIEE,arrivals,195,3,3,0,13.0,<500
LIEA,departures,62,62,62,0,87.0,<500
LIEA,arrivals,62,62,62,0,87.0,<500
LGMT,arrivals,34,34,34,0,60.0,<500
LGML,departures,25,0,0,0,10.0,<500
LGML,arrivals,21,0,0,0,10.0,<500
LGMK,departures,105,89,89,0,405.0,<500
LGRP,departures,340,321,321,0,17.0,<500
LGLM,arrivals,15,0,0,0,14.0,<500
LGLE,departures,5,0,0,0,39.0,<500
LIBD,arrivals,229,0,0,0,193.0,<500
LICC,departures,390,348,348,0,39.0,<500
LICB,departures,9,9,9,0,756.0,500-1500
LICB,arrivals,11,10,10,0,756.0,500-1500
LICA,departures,108,2,2,0,39.0,<500
LICA,arrivals,112,0,0,0,39.0,<500
LIBR,departures,130,0,0,0,47.0,<500
LIBR,arrivals,125,0,0,0,47.0,<500
LHBP,arrivals,577,514,514,0,495.0,<500
LGLM,departures,14,0,0,0,14.0,<500
LIMJ,arrivals,86,83,83,0,13.0,<500
LGZA,departures,126,126,126,0,12.0,<500
LGZA,arrivals,126,119,119,0,12.0,<500
LGTS,departures,279,259,259,0,22.0,<500
LGTS,arrivals,281,263,263,0,22.0,<500
LGTG,departures,1,1,1,0,495.0,<500
LGSY,departures,3,0,0,0,44.0,<500
LGSY,arrivals,3,0,0,0,44.0,<500
LIMC,departures,973,963,963,0,768.0,500-1500
LIMZ,arrivals,6,6,6,0,1267.0,500-1500
LIMW,arrivals,1,0,0,0,1791.0,1500-3000
LIME,arrivals,460,444,444,0,782.0,500-1500
LIMP,arrivals,7,5,5,0,161.0,<500
LIML,departures,458,451,451,0,353.0,<500
LIML,arrivals,465,457,457,0,353.0,<500
LIMJ,departures,79,77,77,0,13.0,<500
LICT,departures,39,8,8,0,25.0,<500
LICT,arrivals,40,6,6,0,25.0,<500
LIMG,departures,1,1,1,0,148.0,<500
LIMG,arrivals,1,1,1,0,148.0,<500
LIMF,departures,157,154,154,0,989.0,500-1500
LIMF,arrivals,157,154,154,0,989.0,500-1500
LIME,departures,453,450,450,0,782.0,500-1500
LIMP,departures,10,10,10,0,161.0,<500
LGSR,arrivals,139,0,0,0,127.0,<500
LGSO,departures,4,0,0,0,236.0,<500
LGSO,arrivals,4,0,0,0,236.0,<500
LGSM,departures,41,39,39,0,19.0,<500
LGSM,arrivals,42,23,23,0,19.0,<500
LGSK,departures,37,24,24,0,54.0,<500
LGSK,arrivals,37,31,31,0,54.0,<500
LGSA,departures,196,182,182,0,490.0,<500
LGSA,arrivals,199,60,60,0,490.0,<500
LGRX,departures,11,1,1,0,46.0,<500
LGRX,arrivals,12,1,1,0,46.0,<500
LIBP,departures,41,41,41,0,48.0,<500
LGRP,arrivals,346,315,315,0,17.0,<500
LGPZ,departures,45,24,24,0,11.0,<500
LGPZ,arrivals,46,0,0,0,11.0,<500
LGPL,departures,2,0,0,0,165.0,<500
LGPL,arrivals,4,0,0,0,165.0,<500
LGPA,departures,45,0,0,0,131.0,<500
LGPA,arrivals,40,0,0,0,131.0,<500
LGNX,departures,30,0,0,0,10.0,<500
LGNX,arrivals,30,0,0,0,10.0,<500
LGMT,departures,33,31,31,0,60.0,<500
LFRZ,departures,13,10,10,0,13.0,<500
LFRI,arrivals,1,0,0,0,299.0,<500
LIBP,arrivals,43,42,42,0,48.0,<500
LIBG,departures,2,0,0,0,215.0,<500
LIBG,arrivals,2,0,0,0,215.0,<500
LIBF,departures,7,0,0,0,265.0,<500
LIBF,arrivals,12,0,0,0,265.0,<500
LIBD,departures,228,0,0,0,193.0,<500
LGST,departures,8,0,0,0,376.0,<500
LIBC,departures,13,0,0,0,522.0,500-1500
LIBC,arrivals,12,0,0,0,522.0,500-1500
LHPR,departures,1,1,1,0,424.0,<500
LHPR,arrivals,1,1,1,0,424.0,<500
LGSR,departures,139,3,3,0,127.0,<500
LHDC,arrivals,6,0,0,0,359.0,<500
LHBP,departures,578,553,553,0,495.0,<500
LGIR,departures,424,0,0,0,115.0,<500
LGIR,arrivals,430,0,0,0,115.0,<500
LGIO,departures,10,9,9,0,1558.0,1500-3000
LGIO,arrivals,12,10,10,0,1558.0,1500-3000
LGIK,departures,10,0,0,0,79.0,<500
LGIK,arrivals,9,0,0,0,79.0,<500
LGHI,departures,25,24,24,0,15.0,<500
LGHI,arrivals,26,4,4,0,15.0,<500
LGST,arrivals,8,0,0,0,376.0,<500
LHDC,departures,7,6,6,0,359.0,<500
LFAT,departures,3,2,2,0,36.0,<500
LFAT,arrivals,2,1,1,0,36.0,<500
LFAQ,departures,1,0,0,0,364.0,<500
LFAQ,arrivals,1,0,0,0,364.0,<500
LFBL,arrivals,16,0,0,0,1300.0,500-1500
LFBI,departures,3,3,3,0,423.0,<500
LEZL,departures,275,274,274,0,112.0,<500
LEZL,arrivals,276,264,264,0,112.0,<500
LEZG,departures,38,14,14,0,863.0,500-1500
LEZG,arrivals,39,13,13,0,863.0,500-1500
LEXJ,departures,39,36,36,0,16.0,<500
LFQG,arrivals,2,0,0,0,602.0,500-1500
LFBD,departures,225,222,222,0,162.0,<500
LFBD,arrivals,219,215,215,0,162.0,<500
LDZA,departures,215,210,210,0,353.0,<500
LDZA,arrivals,215,207,207,0,353.0,<500
LDSP,departures,216,0,0,0,79.0,<500
LDSP,arrivals,215,0,0,0,79.0,<500
LEBA,departures,1,1,1,0,297.0,<500
LEBA,arrivals,1,1,1,0,297.0,<500
LEAS,departures,69,62,62,0,416.0,<500
LESO,departures,23,15,15,0,16.0,<500
LESO,arrivals,24,0,0,0,16.0,<500
LEXJ,arrivals,37,0,0,0,16.0,<500
LFCK,departures,4,4,4,0,788.0,500-1500
LFCK,arrivals,4,4,4,0,788.0,500-1500
LFCI,departures,1,1,1,0,564.0,500-1500
LFCI,arrivals,1,1,1,0,564.0,500-1500
LFCH,departures,1,1,1,0,52.0,<500
LFBZ,departures,55,51,51,0,245.0,<500
LFHS,departures,1,0,0,0,857.0,500-1500
LFHP,departures,3,0,0,0,2731.0,1500-3000
LEIB,departures,495,484,484,0,24.0,<500
LEIB,arrivals,509,499,499,0,24.0,<500
LEGT,departures,2,2,2,0,2034.0,1500-3000
LFBA,arrivals,1,1,1,0,204.0,<500
LEGR,departures,34,32,32,0,1860.0,1500-3000
LEMH,departures,222,212,212,0,302.0,<500
LEMH,arrivals,226,220,220,0,302.0,<500
LFBI,arrivals,3,2,2,0,423.0,<500
LFBH,departures,13,13,13,0,74.0,<500
LFBH,arrivals,14,9,9,0,74.0,<500
LFBF,departures,1,0,0,0,535.0,500-1500
LFBE,departures,16,15,15,0,171.0,<500
LFBE,arrivals,16,16,16,0,171.0,<500
LEJR,departures,40,40,40,0,93.0,<500
LEJR,arrivals,44,43,43,0,93.0,<500
LFBA,departures,1,1,1,0,204.0,<500
LEGT,arrivals,2,1,1,0,2034.0,1500-3000
LCLK,departures,368,352,352,0,8.0,<500
LCLK,arrivals,367,348,348,0,8.0,<500
LBWN,departures,71,61,61,0,230.0,<500
LECU,departures,4,3,3,0,2269.0,1500-3000
LECU,arrivals,3,0,0,0,2269.0,1500-3000
LECO,departures,36,34,34,0,326.0,<500
LECO,arrivals,35,35,35,0,326.0,<500
LBPD,arrivals,13,0,0,0,597.0,500-1500
LBBG,departures,93,91,91,0,135.0,<500
LBBG,arrivals,97,92,92,0,135.0,<500
LATI,departures,316,0,0,0,126.0,<500
LESA,departures,4,4,4,0,2595.0,1500-3000
LEBL,arrivals,1597,1494,1494,0,12.0,<500
LEBB,departures,234,169,169,0,138.0,<500
LEBB,arrivals,235,0,0,0,138.0,<500
LEGE,departures,104,103,103,0,468.0,<500
LEDA,departures,2,1,1,0,1152.0,500-1500
LEDA,arrivals,2,0,0,0,1152.0,500-1500
LEAM,departures,37,36,36,0,70.0,<500
LEAM,arrivals,40,39,39,0,70.0,<500
LEAL,departures,599,597,597,0,142.0,<500
LEAL,arrivals,599,588,588,0,142.0,<500
LECH,departures,16,14,14,0,1182.0,500-1500
LEBL,departures,1591,1577,1577,0,12.0,<500
LEAB,departures,2,2,2,0,2302.0,1500-3000
LEAB,arrivals,2,2,2,0,2302.0,1500-3000
LDZD,departures,114,49,49,0,289.0,<500
LDZD,arrivals,118,12,12,0,289.0,<500
LEPP,arrivals,14,2,2,0,1504.0,1500-3000
LEPA,departures,1417,1360,1360,0,27.0,<500
LEPA,arrivals,1436,1414,1414,0,27.0,<500
LEMI,departures,31,31,31,0,644.0,500-1500
LEMI,arrivals,32,31,31,0,644.0,500-1500
LESU,departures,4,4,4,0,2625.0,1500-3000
LESU,arrivals,2,0,0,0,2625.0,1500-3000
LCPH,arrivals,107,99,99,0,41.0,<500
LEMG,departures,850,846,846,0,53.0,<500
LEMG,arrivals,861,834,834,0,53.0,<500
LEMD,departures,1773,1757,1757,0,1998.0,1500-3000
LELN,departures,3,3,3,0,3006.0,>3000
LELN,arrivals,3,3,3,0,3006.0,>3000
LERS,departures,67,62,62,0,233.0,<500
LERS,arrivals,68,61,61,0,233.0,<500
LEPP,departures,16,16,16,0,1504.0,1500-3000
LATI,arrivals,323,0,0,0,126.0,<500
HLMS,departures,2,0,0,0,60.0,<500
HLMS,arrivals,2,0,0,0,60.0,<500
HLLM,departures,19,2,2,0,36.0,<500
LEST,departures,105,95,95,0,1213.0,500-1500
LFOT,arrivals,8,8,8,0,357.0,<500
LFOP,departures,1,0,0,0,512.0,500-1500
LFOP,arrivals,1,1,1,0,512.0,500-1500
LFLB,departures,5,5,5,0,779.0,500-1500
LFLB,arrivals,8,7,7,0,779.0,500-1500
LFOK,arrivals,2,0,0,0,587.0,500-1500
LFOH,departures,2,0,0,0,313.0,<500
LFOH,arrivals,3,2,2,0,313.0,<500
LFOB,departures,181,180,180,0,359.0,<500
LFOB,arrivals,181,176,176,0,359.0,<500
LFMV,departures,10,9,9,0,124.0,<500
LFKC,arrivals,27,27,27,0,209.0,<500
LFPB,departures,230,227,227,0,218.0,<500
LFMU,arrivals,12,11,11,0,56.0,<500
LFMT,departures,74,73,73,0,17.0,<500
LFMT,arrivals,75,75,75,0,17.0,<500
LFMQ,departures,2,2,2,0,1391.0,500-1500
LFMQ,arrivals,3,0,0,0,1391.0,500-1500
LFMP,departures,25,24,24,0,144.0,<500
LFMP,arrivals,24,21,21,0,144.0,<500
LFOK,departures,2,2,2,0,587.0,500-1500
LFBT,arrivals,22,22,22,0,1260.0,500-1500
LFBP,departures,22,18,18,0,616.0,500-1500
LFMV,arrivals,11,11,11,0,124.0,<500
LFRH,departures,4,4,4,0,160.0,<500
LFRH,arrivals,4,4,4,0,160.0,<500
LFRG,departures,8,8,8,0,479.0,<500
LFRG,arrivals,5,5,5,0,479.0,<500
LFRD,departures,4,4,4,0,219.0,<500
LFRD,arrivals,3,3,3,0,219.0,<500
LFRC,departures,2,2,2,0,459.0,<500
LFRC,arrivals,3,2,2,0,459.0,<500
LFRB,departures,47,41,41,0,325.0,<500
LFRB,arrivals,44,39,39,0,325.0,<500
LFQQ,departures,56,56,56,0,157.0,<500
LFOT,departures,8,8,8,0,357.0,<500
LFQG,departures,2,1,1,0,602.0,500-1500
LIPQ,departures,61,58,58,0,39.0,<500
LFLA,departures,1,1,1,0,523.0,500-1500
LFLA,arrivals,1,0,0,0,523.0,500-1500
LFKJ,departures,78,78,78,0,18.0,<500
LFKJ,arrivals,80,79,79,0,18.0,<500
LFKF,departures,61,60,60,0,85.0,<500
LFKF,arrivals,65,57,57,0,85.0,<500
LFLI,departures,5,0,0,0,1620.0,1500-3000
LFLI,arrivals,6,0,0,0,1620.0,1500-3000
LFOZ,departures,4,0,0,0,396.0,<500
LFOZ,arrivals,3,0,0,0,396.0,<500
LFQQ,arrivals,57,56,56,0,157.0,<500
LFLC,departures,18,18,18,0,1090.0,500-1500
LFLU,departures,2,2,2,0,525.0,500-1500
LFLU,arrivals,3,3,3,0,525.0,500-1500
LEVT,departures,39,37,37,0,1682.0,1500-3000
LEVD,departures,4,3,3,0,2776.0,1500-3000
LEVC,departures,355,336,336,0,240.0,<500
LEVC,arrivals,357,348,348,0,240.0,<500
LFAC,departures,2,2,2,0,12.0,<500
LFAC,arrivals,2,1,1,0,12.0,<500
LFKB,departures,84,77,77,0,26.0,<500
LFKB,arrivals,84,74,74,0,26.0,<500
LFBP,arrivals,22,22,22,0,616.0,500-1500
LFJR,arrivals,2,2,2,0,194.0,<500
LFJL,departures,5,4,4,0,870.0,500-1500
LFJL,arrivals,5,5,5,0,870.0,500-1500
LEVX,departures,37,36,36,0,856.0,500-1500
LFHP,arrivals,3,0,0,0,2731.0,1500-3000
LFGF,departures,1,0,0,0,656.0,500-1500
LFGA,departures,2,1,1,0,628.0,500-1500
LFGA,arrivals,1,1,1,0,628.0,500-1500
LFEC,departures,5,0,0,0,142.0,<500
LFEC,arrivals,6,0,0,0,142.0,<500
LFKC,departures,26,26,26,0,209.0,<500
LFJR,departures,1,1,1,0,194.0,<500
LFBO,departures,293,288,288,0,499.0,<500
LFBO,arrivals,290,288,288,0,499.0,<500
LFBL,departures,16,11,11,0,1300.0,500-1500
LFCR,departures,9,9,9,0,1910.0,1500-3000
LFCR,arrivals,10,10,10,0,1910.0,1500-3000
LFLY,departures,16,0,0,0,659.0,500-1500
LFLY,arrivals,16,0,0,0,659.0,500-1500
LFLX,departures,2,2,2,0,529.0,500-1500
LFLX,arrivals,4,0,0,0,529.0,500-1500
LFLW,departures,4,0,0,0,2096.0,1500-3000
LFLW,arrivals,4,0,0,0,2096.0,1500-3000
LFLD,arrivals,1,0,0,0,529.0,500-1500
LFBT,departures,23,23,23,0,1260.0,500-1500
LFLS,departures,3,3,3,0,1302.0,500-1500
LFLS,arrivals,3,3,3,0,1302.0,500-1500
LFLO,departures,1,1,1,0,1106.0,500-1500
LFLO,arrivals,1,0,0,0,1106.0,500-1500
LFLL,departures,411,402,402,0,821.0,500-1500
LFLL,arrivals,412,397,397,0,821.0,500-1500
LFMD,departures,65,60,60,0,13.0,<500
LFMD,arrivals,72,13,13,0,13.0,<500
LFLH,departures,1,0,0,0,623.0,500-1500
LFLH,arrivals,1,0,0,0,623.0,500-1500
LFLD,departures,1,1,1,0,529.0,500-1500
LFBZ,arrivals,57,57,57,0,245.0,<500
LTFM,departures,2282,2166,2166,0,325.0,<500
LTFM,arrivals,2258,1777,1777,0,325.0,<500
LTFJ,departures,1137,1091,1091,0,312.0,<500
LTFJ,arrivals,1138,985,985,0,312.0,<500
LTFH,departures,45,7,7,0,18.0,<500
LTFH,arrivals,45,4,4,0,18.0,<500
LTFG,departures,34,34,34,0,92.0,<500
LTFG,arrivals,35,32,32,0,92.0,<500
LTFE,departures,220,191,191,0,21.0,<500
LTFE,arrivals,232,198,198,0,21.0,<500
LTFD,departures,12,11,11,0,50.0,<500
LIRA,departures,154,152,152,0,427.0,<500
LTFC,departures,4,0,0,0,2835.0,1500-3000
LTFC,arrivals,4,0,0,0,2835.0,1500-3000
LTDB,departures,133,1,1,0,35.0,<500
LTDB,arrivals,129,0,0,0,35.0,<500
LTDA,departures,13,0,0,0,269.0,<500
LTDA,arrivals,11,0,0,0,269.0,<500
LTCW,departures,7,0,0,0,6400.0,>3000
LTCW,arrivals,7,0,0,0,6400.0,>3000
LTCV,departures,11,0,0,0,2038.0,1500-3000
LTCV,arrivals,11,0,0,0,2038.0,1500-3000
LTCU,departures,6,0,0,0,3506.0,>3000
LTFD,arrivals,12,12,12,0,50.0,<500
LZPP,departures,2,2,2,0,545.0,500-1500
LZPP,arrivals,4,3,3,0,545.0,500-1500
LZKZ,departures,35,35,35,0,755.0,500-1500
LZIB,departures,105,101,101,0,436.0,<500
LZIB,arrivals,105,101,101,0,436.0,<500
LYTV,departures,82,0,0,0,20.0,<500
LYTV,arrivals,83,0,0,0,20.0,<500
LYPG,departures,77,0,0,0,141.0,<500
LYPG,arrivals,77,0,0,0,141.0,<500
LYNI,departures,16,0,0,0,648.0,500-1500
LYNI,arrivals,16,0,0,0,648.0,500-1500
LTFO,arrivals,36,22,22,0,16.0,<500
LYKV,arrivals,1,0,0,0,686.0,500-1500
LYBE,departures,394,388,388,0,335.0,<500
LYBE,arrivals,395,364,364,0,335.0,<500
LXGB,departures,16,15,15,0,12.0,<500
LXGB,arrivals,16,15,15,0,12.0,<500
LWSK,departures,106,8,8,0,781.0,500-1500
LWSK,arrivals,105,0,0,0,781.0,500-1500
LWOH,departures,5,1,1,0,2313.0,1500-3000
LWOH,arrivals,6,0,0,0,2313.0,1500-3000
LUKK,departures,217,5,5,0,399.0,<500
LUKK,arrivals,217,0,0,0,399.0,<500
LTFO,departures,35,32,32,0,16.0,<500
LYKV,departures,1,0,0,0,686.0,500-1500
LTCF,arrivals,16,0,0,0,5889.0,>3000
LTCE,departures,29,0,0,0,5763.0,>3000
LTCE,arrivals,31,0,0,0,5763.0,>3000
LTCD,departures,11,0,0,0,3783.0,>3000
LTCD,arrivals,12,0,0,0,3783.0,>3000
LTCC,departures,55,0,0,0,2251.0,1500-3000
LTCC,arrivals,56,0,0,0,2251.0,1500-3000
LTCB,departures,32,11,11,0,11.0,<500
LTCB,arrivals,30,12,12,0,11.0,<500
LTCA,departures,27,0,0,0,2927.0,1500-3000
LTCA,arrivals,27,0,0,0,2927.0,1500-3000
LTCU,arrivals,6,0,0,0,3506.0,>3000
LTBZ,arrivals,2,0,0,0,3327.0,>3000
LTBY,departures,2,1,1,0,2588.0,1500-3000
LTBU,departures,2,2,2,0,574.0,500-1500
LTBU,arrivals,2,1,1,0,574.0,500-1500
LTBS,departures,273,205,205,0,20.0,<500
LTBS,arrivals,280,8,8,0,20.0,<500
LTBR,departures,9,9,9,0,764.0,500-1500
LTBR,arrivals,9,7,7,0,764.0,500-1500
LTBJ,departures,346,229,229,0,412.0,<500
LTBJ,arrivals,341,13,13,0,412.0,<500
LTBH,departures,3,3,3,0,23.0,<500
LTBH,arrivals,3,2,2,0,23.0,<500
LTBZ,departures,2,0,0,0,3327.0,>3000
LTCT,departures,13,0,0,0,3101.0,>3000
LTCT,arrivals,13,0,0,0,3101.0,>3000
LTCS,departures,26,0,0,0,2708.0,1500-3000
LTCS,arrivals,26,0,0,0,2708.0,1500-3000
LTCR,departures,20,0,0,0,1729.0,1500-3000
LTCR,arrivals,20,0,0,0,1729.0,1500-3000
LTCP,departures,12,0,0,0,2216.0,1500-3000
LTCP,arrivals,11,0,0,0,2216.0,1500-3000
LTCO,departures,9,0,0,0,5462.0,>3000
LTCO,arrivals,9,0,0,0,5462.0,>3000
LTCN,departures,12,0,0,0,1723.0,1500-3000
LTCF,departures,16,0,0,0,5889.0,>3000
LTCM,departures,5,0,0,0,20.0,<500
LTCM,arrivals,5,0,0,0,20.0,<500
LTCL,departures,5,0,0,0,2001.0,1500-3000
LTCL,arrivals,5,0,0,0,2001.0,1500-3000
LTCK,departures,15,0,0,0,4157.0,>3000
LTCK,arrivals,15,0,0,0,4157.0,>3000
LTCJ,departures,19,0,0,0,1822.0,1500-3000
LTCJ,arrivals,19,0,0,0,1822.0,1500-3000
LTCI,departures,33,0,0,0,5480.0,>3000
LTCI,arrivals,32,0,0,0,5480.0,>3000
LTCG,departures,133,122,122,0,104.0,<500
LTCG,arrivals,138,89,89,0,104.0,<500
LTCN,arrivals,12,0,0,0,1723.0,1500-3000
ULPB,arrivals,1,0,0,0,151.0,<500
ULMM,departures,1,0,0,0,266.0,<500
ULMM,arrivals,1,0,0,0,266.0,<500
URML,departures,6,0,0,0,12.0,<500
URML,arrivals,9,0,0,0,12.0,<500
URWA,departures,1,0,0,0,-65.0,<500
EBBR,arrivals,871,767,767,0,175.0,<500
EBAW,departures,29,28,28,0,39.0,<500
EBAW,arrivals,25,24,24,0,39.0,<500
DTTZ,departures,1,0,0,0,287.0,<500
DTTZ,arrivals,2,0,0,0,287.0,<500
LZTT,departures,4,4,4,0,2356.0,1500-3000
DTTX,arrivals,3,0,0,0,85.0,<500
DTTJ,departures,89,0,0,0,19.0,<500
DTTJ,arrivals,94,0,0,0,19.0,<500
DTTA,departures,185,1,1,0,22.0,<500
DTTA,arrivals,186,0,0,0,22.0,<500
DTNH,departures,59,0,0,0,21.0,<500
DTNH,arrivals,58,0,0,0,21.0,<500
DTMB,departures,79,0,0,0,9.0,<500
DTMB,arrivals,81,0,0,0,9.0,<500
DAUH,departures,1,0,0,0,463.0,<500
DAUH,arrivals,1,0,0,0,463.0,<500
DTTX,departures,3,0,0,0,85.0,<500
BIVO,arrivals,2,0,0,0,16.0,<500
BITN,departures,2,0,0,0,65.0,<500
BITN,arrivals,2,0,0,0,65.0,<500
BIRK,departures,44,44,44,0,48.0,<500
BIRK,arrivals,44,37,37,0,48.0,<500
BIKF,departures,297,294,294,0,171.0,<500
BIKF,arrivals,296,89,89,0,171.0,<500
DAAS,departures,5,0,0,0,3360.0,>3000
DAAS,arrivals,5,0,0,0,3360.0,>3000
DAAG,departures,186,82,82,0,82.0,<500
DAAE,departures,10,1,1,0,20.0,<500
ULPB,departures,1,0,0,0,151.0,<500
BKPR,departures,120,0,0,0,1789.0,1500-3000
BKPR,arrivals,120,0,0,0,1789.0,1500-3000
