n_ground_truth,adep_coverage,ades_coverage,adep_accuracy,ades_accuracy,adep_overall,ades_overall,k,adep_correct,adep_wrong,adep_score,ades_correct,ades_wrong,ades_score,adep_gt_ooa_share,adep_pred_ooa_share,adep_ooa_recall,adep_ooa_precision,adep_inarea_coverage,adep_inarea_accuracy,ades_gt_ooa_share,ades_pred_ooa_share,ades_ooa_recall,ades_ooa_precision,ades_inarea_coverage,ades_inarea_accuracy,run,adep_mode,ades_mode,trend_max_fl,trend_radius_nm,trend_vote_margin,trend_sched_penalty_nm,trend_rank_by,trend_max_fl_v,trend_max_datum,trend_max_height_ft,trend_ceiling,endpoint_radius_nm,endpoint_height_ft,endpoint_sched_penalty_nm
95116,0.7229277934311787,0.6919761133773498,0.9884383816642913,0.9781214865234434,0.7145695781992515,0.6768367046553682,2.0,67967,795,66377.0,64378,1440,61498.0,0.08297237057908238,0.0,0.0,0.0,0.7873635696597266,0.9896617499308357,0.08372934101518147,0.0,0.0,0.0,0.7548076923076923,0.9786418983627989,grid_h6100_r30_m4,trend,trend,40,30.0,4,10.0,haversine,40,field,6100.0,6100.0,40.0,15000.0,10.0
95116,0.7464569578199252,0.6990096303461037,0.9888169014084507,0.9705807150269977,0.738109256066277,0.6784452668320787,2.0,70206,794,68618.0,64531,1956,60619.0,0.08297237057908238,0.0,0.0,0.0,0.8128726038704943,0.9901836337479902,0.08372934101518147,0.0,0.0,0.0,0.7624724619056361,0.9711065296233314,grid_h8000_r20_m0,trend,trend,40,20.0,0,10.0,haversine,40,field,8000.0,8000.0,40.0,15000.0,10.0
95116,0.7424092686824509,0.6964863955591067,0.989067478581038,0.9708817003034099,0.7342928634509441,0.6762058959586189,2.0,69843,772,68299.0,64318,1929,60460.0,0.08297237057908238,0.0,0.0,0.0,0.8085503989727598,0.9903296703296703,0.08372934101518147,0.0,0.0,0.0,0.7597645492931889,0.9713509023635128,grid_h8000_r20_m2,trend,trend,40,20.0,2,10.0,haversine,40,field,8000.0,8000.0,40.0,15000.0,10.0
95116,0.7384982547626057,0.6939421338155516,0.9894224335520977,0.9709718960684797,0.7306867404011943,0.6737983094326927,2.0,69500,743,68014.0,64089,1916,60257.0,0.08297237057908238,0.0,0.0,0.0,0.8043543061542695,0.9906070497013926,0.08372934101518147,0.0,0.0,0.0,0.7570222140627868,0.9713986904328847,grid_h8000_r20_m4,trend,trend,40,20.0,4,10.0,haversine,40,field,8000.0,8000.0,40.0,15000.0,10.0
95116,0.7477816560830985,0.7056015812271332,0.9865450046396536,0.9697231576124207,0.7377202573699483,0.6842381933638925,2.0,70169,957,68255.0,65082,2032,61018.0,0.08297237057908238,0.0,0.0,0.0,0.8140076125836926,0.9882818551851382,0.08372934101518147,0.0,0.0,0.0,0.7695979438222875,0.9703303912213741,grid_h8000_r30_m0,trend,trend,40,30.0,0,10.0,haversine,40,field,8000.0,8000.0,40.0,15000.0,10.0
95116,0.7432082930316666,0.7034147777450692,0.9874807259764327,0.9701969927958628,0.7339038647546154,0.6824509020564363,2.0,69806,885,68036.0,64912,1994,60924.0,0.08297237057908238,0.0,0.0,0.0,0.809272677244795,0.9889216297387659,0.08372934101518147,0.0,0.0,0.0,0.7672686800073435,0.9707338228476574,grid_h8000_r30_m2,trend,trend,40,30.0,2,10.0,haversine,40,field,8000.0,8000.0,40.0,15000.0,10.0
95116,0.7392236847638672,0.701143866436772,0.9879252474684265,0.9704453441295546,0.7302977417048656,0.6804218007485596,2.0,69463,849,67765.0,64719,1971,60777.0,0.08297237057908238,0.0,0.0,0.0,0.8051224433642117,0.9891350781761741,0.08372934101518147,0.0,0.0,0.0,0.7648246741325501,0.970940350456073,grid_h8000_r30_m4,trend,trend,40,30.0,4,10.0,haversine,40,field,8000.0,8000.0,40.0,15000.0,10.0
95116,0.7627423356743345,0.7059380125320661,0.9876497263918179,0.956378637595687,0.7533222591362126,0.6751440346524245,2.0,71653,896,69861.0,64217,2929,58359.0,0.08297237057908238,0.0,0.0,0.0,0.8305053654957352,0.9891358365543899,0.08372934101518147,0.0,0.0,0.0,0.7700110152377455,0.9569201883531024,grid_h10000_r20_m0,trend,trend,40,20.0,0,10.0,haversine,40,field,10000.0,10000.0,40.0,15000.0,10.0
95116,0.7591887800159804,0.7032255351360444,0.9881181537438894,0.9569130486783878,0.7501682156524665,0.6729256907355229,2.0,71353,858,69637.0,64006,2882,58242.0,0.08297237057908238,0.0,0.0,0.0,0.826802256259745,0.9894061039699378,0.08372934101518147,0.0,0.0,0.0,0.7670965669175693,0.957399706823825,grid_h10000_r20_m2,trend,trend,40,20.0,2,10.0,haversine,40,field,10000.0,10000.0,40.0,15000.0,10.0
95116,0.7557718995752555,0.7005866520879768,0.9885374064490999,0.9570959076789172,0.7471087934732327,0.6705286176878759,2.0,71062,824,69414.0,63778,2859,58060.0,0.08297237057908238,0.0,0.0,0.0,0.8231564706961387,0.9897352330812407,0.08372934101518147,0.0,0.0,0.0,0.7642394896273178,0.9575557390586292,grid_h10000_r20_m4,trend,trend,40,20.0,4,10.0,haversine,40,field,10000.0,10000.0,40.0,15000.0,10.0
95116,0.7653601917658438,0.7173661634215064,0.9847111184373197,0.9546700276992072,0.7536586904411455,0.6848479751040835,2.0,71685,1113,69459.0,65140,3093,58954.0,0.08297237057908238,0.0,0.0,0.0,0.8331307896909108,0.9864591503942534,0.08372934101518147,0.0,0.0,0.0,0.7824720029373967,0.9552160014077484,grid_h10000_r30_m0,trend,trend,40,30.0,0,10.0,haversine,40,field,10000.0,10000.0,40.0,15000.0,10.0
95116,0.7613755834980445,0.7145275242861349,0.9858048302241125,0.9554169180289275,0.7505677278270743,0.6826716851002986,2.0,71391,1028,69335.0,64933,3030,58873.0,0.08297237057908238,0.0,0.0,0.0,0.8290722736861414,0.9872225679319643,0.08372934101518147,0.0,0.0,0.0,0.779442812557371,0.9558810540262035,grid_h10000_r30_m2,trend,trend,40,30.0,2,10.0,haversine,40,field,10000.0,10000.0,40.0,15000.0,10.0
95116,0.7576853526220615,0.7120463434122545,0.9863739801298773,0.9557635802560279,0.7473611169519324,0.6805479624879095,2.0,71086,982,69122.0,64731,2996,58739.0,0.08297237057908238,0.0,0.0,0.0,0.8252430523709071,0.9875661632930912,0.08372934101518147,0.0,0.0,0.0,0.7767463741509087,0.956215377797474,grid_h10000_r30_m4,trend,trend,40,30.0,4,10.0,haversine,40,field,10000.0,10000.0,40.0,15000.0,10.0
