airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run
GCRR,269,0,0,0,departures,0.0,0.0,path0_legacy
GCRR,269,0,0,0,arrivals,0.0,0.0,path0_legacy
EGNX,267,264,264,265,departures,0.9887640449438202,0.9925093632958801,path0_legacy
LBSF,267,4,0,0,arrivals,0.0,0.0,path0_legacy
EDDP,261,245,244,245,arrivals,0.9348659003831418,0.9386973180076629,path0_legacy
EPKT,259,241,240,240,departures,0.9266409266409267,0.9266409266409267,path0_legacy
HEGN,258,0,0,0,arrivals,0.0,0.0,path0_legacy
HEGN,257,0,0,0,departures,0.0,0.0,path0_legacy
UGTB,257,1,0,0,departures,0.0,0.0,path0_legacy
LFRS,257,251,248,249,arrivals,0.9649805447470817,0.9688715953307393,path0_legacy
UGTB,257,29,26,27,arrivals,0.10116731517509728,0.10505836575875487,path0_legacy
EPKT,257,237,236,236,arrivals,0.9182879377431906,0.9182879377431906,path0_legacy
LFRS,256,184,184,184,departures,0.71875,0.71875,path0_legacy
EDDP,256,251,251,253,departures,0.98046875,0.98828125,path0_legacy
EGNX,255,240,235,235,arrivals,0.9215686274509803,0.9215686274509803,path0_legacy
LIEO,252,28,25,25,arrivals,0.0992063492063492,0.0992063492063492,path0_legacy
EPGD,248,6,6,6,departures,0.024193548387096774,0.024193548387096774,path0_legacy
LGKR,247,4,0,0,arrivals,0.0,0.0,path0_legacy
EGAA,246,239,205,205,arrivals,0.8333333333333334,0.8333333333333334,path0_legacy
LGKR,244,0,0,0,departures,0.0,0.0,path0_legacy
HECA,244,4,4,4,departures,0.01639344262295082,0.01639344262295082,path0_legacy
EPGD,244,1,0,0,arrivals,0.0,0.0,path0_legacy
EGAA,239,148,148,149,departures,0.6192468619246861,0.6234309623430963,path0_legacy
ENZV,236,71,69,77,departures,0.2923728813559322,0.326271186440678,path0_legacy
ENZV,236,64,61,61,arrivals,0.2584745762711864,0.2584745762711864,path0_legacy
LEBB,235,1,0,0,arrivals,0.0,0.0,path0_legacy
LEBB,234,1,0,0,departures,0.0,0.0,path0_legacy
LTFE,232,179,174,178,arrivals,0.75,0.7672413793103449,path0_legacy
HECA,231,39,2,2,arrivals,0.008658008658008658,0.008658008658008658,path0_legacy
LFPB,230,221,221,238,departures,0.9608695652173913,1.0347826086956522,path0_legacy
LIBD,229,1,0,0,arrivals,0.0,0.0,path0_legacy
LIBD,228,2,0,0,departures,0.0,0.0,path0_legacy
LIEO,228,15,9,9,departures,0.039473684210526314,0.039473684210526314,path0_legacy
LIRP,228,148,145,145,arrivals,0.6359649122807017,0.6359649122807017,path0_legacy
UUWW,227,7,4,4,arrivals,0.01762114537444934,0.01762114537444934,path0_legacy
LEMH,226,191,191,191,arrivals,0.8451327433628318,0.8451327433628318,path0_legacy
LFBD,225,222,222,224,departures,0.9866666666666667,0.9955555555555555,path0_legacy
LFPB,225,218,167,170,arrivals,0.7422222222222222,0.7555555555555555,path0_legacy
LEMH,222,174,174,174,departures,0.7837837837837838,0.7837837837837838,path0_legacy
LTFE,220,6,3,3,departures,0.013636363636363636,0.013636363636363636,path0_legacy
LIRP,220,42,41,41,departures,0.18636363636363637,0.18636363636363637,path0_legacy
ENVA,219,208,208,230,arrivals,0.9497716894977168,1.0502283105022832,path0_legacy
LFBD,219,215,215,217,arrivals,0.9817351598173516,0.9908675799086758,path0_legacy
LUKK,217,2,0,0,departures,0.0,0.0,path0_legacy
ENVA,217,210,199,202,departures,0.9170506912442397,0.9308755760368663,path0_legacy
LUKK,217,3,0,0,arrivals,0.0,0.0,path0_legacy
