n_events,rung,type
74847,L04_field_elevation,last-xing-fl245
83947,L04_field_elevation,last-xing-fl50
83375,L04_field_elevation,last-xing-fl70
166617,L04_field_elevation,last_seen
295425,L04_field_elevation,level-end
368790,L04_field_elevation,level-start
371,L04_field_elevation,take-off
86622,L04_field_elevation,top-of-climb
85970,L04_field_elevation,top-of-descent
83286,L05_ordered_airport,first-xing-fl100
74847,L05_ordered_airport,first-xing-fl245
83947,L05_ordered_airport,first-xing-fl50
83375,L05_ordered_airport,first-xing-fl70
166617,L05_ordered_airport,first_seen
639,L05_ordered_airport,landing
83286,L05_ordered_airport,last-xing-fl100
74847,L05_ordered_airport,last-xing-fl245
83947,L05_ordered_airport,last-xing-fl50
83375,L05_ordered_airport,last-xing-fl70
166617,L05_ordered_airport,last_seen
295425,L05_ordered_airport,level-end
368790,L05_ordered_airport,level-start
371,L05_ordered_airport,take-off
86622,L05_ordered_airport,top-of-climb
85970,L05_ordered_airport,top-of-descent
83286,L06_deterministic_ids,first-xing-fl100
74847,L06_deterministic_ids,first-xing-fl245
83947,L06_deterministic_ids,first-xing-fl50
83375,L06_deterministic_ids,first-xing-fl70
166617,L06_deterministic_ids,first_seen
639,L06_deterministic_ids,landing
83286,L06_deterministic_ids,last-xing-fl100
74847,L06_deterministic_ids,last-xing-fl245
83947,L06_deterministic_ids,last-xing-fl50
83375,L06_deterministic_ids,last-xing-fl70
166617,L06_deterministic_ids,last_seen
295425,L06_deterministic_ids,level-end
368790,L06_deterministic_ids,level-start
371,L06_deterministic_ids,take-off
86622,L06_deterministic_ids,top-of-climb
85970,L06_deterministic_ids,top-of-descent
166617,L07_all_crossings,first_seen
639,L07_all_crossings,landing
166617,L07_all_crossings,last_seen
295425,L07_all_crossings,level-end
368790,L07_all_crossings,level-start
371,L07_all_crossings,take-off
86622,L07_all_crossings,top-of-climb
85970,L07_all_crossings,top-of-descent
159305,L07_all_crossings,xing-fl100
146781,L07_all_crossings,xing-fl245
158377,L07_all_crossings,xing-fl50
158235,L07_all_crossings,xing-fl70
166617,L08_interpolated,first_seen
639,L08_interpolated,landing
166617,L08_interpolated,last_seen
295425,L08_interpolated,level-end
368790,L08_interpolated,level-start
371,L08_interpolated,take-off
86622,L08_interpolated,top-of-climb
85970,L08_interpolated,top-of-descent
159305,L08_interpolated,xing-fl100
146781,L08_interpolated,xing-fl245
158377,L08_interpolated,xing-fl50
158235,L08_interpolated,xing-fl70
166617,L09_rings,first_seen
639,L09_rings,landing
166617,L09_rings,last_seen
295425,L09_rings,level-end
368790,L09_rings,level-start
371,L09_rings,take-off
86622,L09_rings,top-of-climb
85970,L09_rings,top-of-descent
159305,L09_rings,xing-fl100
146781,L09_rings,xing-fl245
158377,L09_rings,xing-fl50
158235,L09_rings,xing-fl70
166617,L10_runway,first_seen
639,L10_runway,landing
166617,L10_runway,last_seen
295425,L10_runway,level-end
368790,L10_runway,level-start
371,L10_runway,take-off
86622,L10_runway,top-of-climb
85970,L10_runway,top-of-descent
159305,L10_runway,xing-fl100
146781,L10_runway,xing-fl245
158377,L10_runway,xing-fl50
158235,L10_runway,xing-fl70
166617,L11_blocks,first_seen
639,L11_blocks,landing
166617,L11_blocks,last_seen
295425,L11_blocks,level-end
368790,L11_blocks,level-start
371,L11_blocks,take-off
86622,L11_blocks,top-of-climb
85970,L11_blocks,top-of-descent
159305,L11_blocks,xing-fl100
146781,L11_blocks,xing-fl245
158377,L11_blocks,xing-fl50
158235,L11_blocks,xing-fl70
166617,L12_level_offs,first_seen
639,L12_level_offs,landing
166617,L12_level_offs,last_seen
295425,L12_level_offs,level-end
13540,L12_level_offs,level-off-climb-end
13540,L12_level_offs,level-off-climb-start
92917,L12_level_offs,level-off-descent-end
92917,L12_level_offs,level-off-descent-start
368790,L12_level_offs,level-start
371,L12_level_offs,take-off
86622,L12_level_offs,top-of-climb
85970,L12_level_offs,top-of-descent
159305,L12_level_offs,xing-fl100
146781,L12_level_offs,xing-fl245
158377,L12_level_offs,xing-fl50
158235,L12_level_offs,xing-fl70
166617,L13_shipped,first_seen
639,L13_shipped,landing
166617,L13_shipped,last_seen
295425,L13_shipped,level-end
13540,L13_shipped,level-off-climb-end
13540,L13_shipped,level-off-climb-start
92917,L13_shipped,level-off-descent-end
92917,L13_shipped,level-off-descent-start
368790,L13_shipped,level-start
371,L13_shipped,take-off
86622,L13_shipped,top-of-climb
85970,L13_shipped,top-of-descent
159305,L13_shipped,xing-fl100
146781,L13_shipped,xing-fl245
158377,L13_shipped,xing-fl50
158235,L13_shipped,xing-fl70
