n_events,rung,type
18587,L13_shipped,entry-taxiway
9,L13_shipped,entry-threshold
1679,L13_shipped,exit-apron
21,L13_shipped,exit-hangar
3077,L13_shipped,exit-parking_position
26787,L13_shipped,exit-runway
18029,L13_shipped,exit-taxiway
9,L13_shipped,exit-threshold
236899,L13_shipped,first_seen
3835,L13_shipped,landing
236899,L13_shipped,last_seen
301044,L13_shipped,level-end
13945,L13_shipped,level-off-climb-end
13945,L13_shipped,level-off-climb-start
103769,L13_shipped,level-off-descent-end
103769,L13_shipped,level-off-descent-start
370466,L13_shipped,level-start
2570,L13_shipped,take-off
100925,L13_shipped,top-of-climb
100801,L13_shipped,top-of-descent
138512,L13_shipped,xing-100nm
151526,L13_shipped,xing-40nm
215959,L13_shipped,xing-fl100
194128,L13_shipped,xing-fl245
213382,L13_shipped,xing-fl50
220883,L13_shipped,xing-fl70
