bias_s,coverage_pct,det_type,mad_s,milestone,n_detected,n_truth,p90_abs_s,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
,0.0,take-off,,AIBT,0,57362,,L01_clean_tracks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6.0,6.49,landing,12.0,ALDT,3724,57363,74.0,L02_smoothing,1769,3.08,3637,6.34,3697,6.44,2678,4.67,3206,5.59
,0.0,landing,,AOBT,0,57363,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,1.2,take-off,12.0,ATOT,688,57364,49.0,L02_smoothing,295,0.51,666,1.16,667,1.16,547,0.95,658,1.15
,0.0,take-off,,AIBT,0,57362,,L02_smoothing,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
22.0,0.69,landing,22.0,ALDT,393,57363,34.0,L03_complete_rules,11,0.02,392,0.68,392,0.68,333,0.58,383,0.67
,0.0,landing,,AOBT,0,57363,,L03_complete_rules,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L03_complete_rules,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L03_complete_rules,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L03_complete_rules,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L03_complete_rules,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-21.0,0.03,take-off,23.0,ATOT,20,57364,43.0,L03_complete_rules,2,0.0,20,0.03,20,0.03,16,0.03,20,0.03
,0.0,take-off,,AIBT,0,57362,,L03_complete_rules,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21.0,1.86,landing,21.0,ALDT,1066,57363,49.0,L04_field_elevation,160,0.28,1064,1.85,1065,1.86,804,1.4,1022,1.78
,0.0,landing,,AOBT,0,57363,,L04_field_elevation,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L04_field_elevation,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L04_field_elevation,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L04_field_elevation,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L04_field_elevation,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,0.39,take-off,16.0,ATOT,223,57364,39.0,L04_field_elevation,74,0.13,222,0.39,223,0.39,186,0.32,220,0.38
,0.0,take-off,,AIBT,0,57362,,L04_field_elevation,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21.0,1.86,landing,21.0,ALDT,1066,57363,49.0,L05_ordered_airport,160,0.28,1064,1.85,1065,1.86,804,1.4,1022,1.78
,0.0,landing,,AOBT,0,57363,,L05_ordered_airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L05_ordered_airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L05_ordered_airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L05_ordered_airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L05_ordered_airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,0.39,take-off,16.0,ATOT,223,57364,39.0,L05_ordered_airport,74,0.13,222,0.39,223,0.39,186,0.32,220,0.38
,0.0,take-off,,AIBT,0,57362,,L05_ordered_airport,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21.0,1.86,landing,21.0,ALDT,1066,57363,49.0,L06_deterministic_ids,160,0.28,1064,1.85,1065,1.86,804,1.4,1022,1.78
,0.0,landing,,AOBT,0,57363,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,0.39,take-off,16.0,ATOT,223,57364,39.0,L06_deterministic_ids,74,0.13,222,0.39,223,0.39,186,0.32,220,0.38
,0.0,take-off,,AIBT,0,57362,,L06_deterministic_ids,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21.0,1.86,landing,21.0,ALDT,1066,57363,49.0,L07_all_crossings,160,0.28,1064,1.85,1065,1.86,804,1.4,1022,1.78
,0.0,landing,,AOBT,0,57363,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,0.39,take-off,16.0,ATOT,223,57364,39.0,L07_all_crossings,74,0.13,222,0.39,223,0.39,186,0.32,220,0.38
,0.0,take-off,,AIBT,0,57362,,L07_all_crossings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21.0,1.86,landing,21.0,ALDT,1066,57363,49.0,L08_interpolated,160,0.28,1064,1.85,1065,1.86,804,1.4,1022,1.78
,0.0,landing,,AOBT,0,57363,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,0.39,take-off,16.0,ATOT,223,57364,39.0,L08_interpolated,74,0.13,222,0.39,223,0.39,186,0.32,220,0.38
,0.0,take-off,,AIBT,0,57362,,L08_interpolated,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21.0,1.86,landing,21.0,ALDT,1066,57363,49.0,L09_rings,160,0.28,1064,1.85,1065,1.86,804,1.4,1022,1.78
,0.0,landing,,AOBT,0,57363,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,0.39,take-off,16.0,ATOT,223,57364,39.0,L09_rings,74,0.13,222,0.39,223,0.39,186,0.32,220,0.38
,0.0,take-off,,AIBT,0,57362,,L09_rings,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-2.0,86.06,ALDT,19.0,ALDT,49366,57363,52.0,L10_runway,16639,29.01,49012,85.44,49204,85.78,34753,60.58,46108,80.38
,0.0,ALDT,,AOBT,0,57363,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ALDT,,ATOT,0,57364,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ALDT,,AIBT,0,57362,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ATOT,,ALDT,0,57363,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ATOT,,AOBT,0,57363,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19.0,63.3,ATOT,21.0,ATOT,36313,57364,59.0,L10_runway,11493,20.04,36081,62.9,36147,63.01,23322,40.66,33630,58.63
,0.0,ATOT,,AIBT,0,57362,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21.0,1.86,landing,21.0,ALDT,1066,57363,49.0,L10_runway,160,0.28,1064,1.85,1065,1.86,804,1.4,1022,1.78
,0.0,landing,,AOBT,0,57363,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,0.39,take-off,16.0,ATOT,223,57364,39.0,L10_runway,74,0.13,222,0.39,223,0.39,186,0.32,220,0.38
,0.0,take-off,,AIBT,0,57362,,L10_runway,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,ALDT,0,57363,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,AOBT,0,57363,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,ATOT,0,57364,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-323.0,2.65,AIBT,323.0,AIBT,1520,57362,610.0,L11_blocks,0,0.0,21,0.04,645,1.12,0,0.0,5,0.01
-2.0,86.06,ALDT,19.0,ALDT,49366,57363,52.0,L11_blocks,16639,29.01,49012,85.44,49204,85.78,34753,60.58,46108,80.38
,0.0,ALDT,,AOBT,0,57363,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ALDT,,ATOT,0,57364,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ALDT,,AIBT,0,57362,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AOBT,,ALDT,0,57363,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
744.0,2.63,AOBT,748.0,AOBT,1509,57363,1191.0,L11_blocks,0,0.0,0,0.0,29,0.05,0,0.0,0,0.0
,0.0,AOBT,,ATOT,0,57364,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AOBT,,AIBT,0,57362,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ATOT,,ALDT,0,57363,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ATOT,,AOBT,0,57363,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19.0,63.3,ATOT,21.0,ATOT,36313,57364,59.0,L11_blocks,11493,20.04,36081,62.9,36147,63.01,23322,40.66,33630,58.63
,0.0,ATOT,,AIBT,0,57362,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21.0,1.86,landing,21.0,ALDT,1066,57363,49.0,L11_blocks,160,0.28,1064,1.85,1065,1.86,804,1.4,1022,1.78
,0.0,landing,,AOBT,0,57363,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,0.39,take-off,16.0,ATOT,223,57364,39.0,L11_blocks,74,0.13,222,0.39,223,0.39,186,0.32,220,0.38
,0.0,take-off,,AIBT,0,57362,,L11_blocks,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,ALDT,0,57363,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,AOBT,0,57363,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,ATOT,0,57364,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-323.0,2.65,AIBT,323.0,AIBT,1520,57362,610.0,L12_level_offs,0,0.0,21,0.04,645,1.12,0,0.0,5,0.01
-2.0,86.06,ALDT,19.0,ALDT,49366,57363,52.0,L12_level_offs,16639,29.01,49012,85.44,49204,85.78,34753,60.58,46108,80.38
,0.0,ALDT,,AOBT,0,57363,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ALDT,,ATOT,0,57364,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ALDT,,AIBT,0,57362,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AOBT,,ALDT,0,57363,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
744.0,2.63,AOBT,748.0,AOBT,1509,57363,1191.0,L12_level_offs,0,0.0,0,0.0,29,0.05,0,0.0,0,0.0
,0.0,AOBT,,ATOT,0,57364,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AOBT,,AIBT,0,57362,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ATOT,,ALDT,0,57363,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ATOT,,AOBT,0,57363,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19.0,63.3,ATOT,21.0,ATOT,36313,57364,59.0,L12_level_offs,11493,20.04,36081,62.9,36147,63.01,23322,40.66,33630,58.63
,0.0,ATOT,,AIBT,0,57362,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21.0,1.86,landing,21.0,ALDT,1066,57363,49.0,L12_level_offs,160,0.28,1064,1.85,1065,1.86,804,1.4,1022,1.78
,0.0,landing,,AOBT,0,57363,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,0.39,take-off,16.0,ATOT,223,57364,39.0,L12_level_offs,74,0.13,222,0.39,223,0.39,186,0.32,220,0.38
,0.0,take-off,,AIBT,0,57362,,L12_level_offs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,ALDT,0,57363,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,AOBT,0,57363,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AIBT,,ATOT,0,57364,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-323.0,2.65,AIBT,323.0,AIBT,1520,57362,610.0,L13_shipped,0,0.0,21,0.04,645,1.12,0,0.0,5,0.01
-2.0,86.06,ALDT,19.0,ALDT,49366,57363,52.0,L13_shipped,16639,29.01,49012,85.44,49204,85.78,34753,60.58,46108,80.38
,0.0,ALDT,,AOBT,0,57363,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ALDT,,ATOT,0,57364,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ALDT,,AIBT,0,57362,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AOBT,,ALDT,0,57363,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
744.0,2.63,AOBT,748.0,AOBT,1509,57363,1191.0,L13_shipped,0,0.0,0,0.0,29,0.05,0,0.0,0,0.0
,0.0,AOBT,,ATOT,0,57364,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,AOBT,,AIBT,0,57362,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ATOT,,ALDT,0,57363,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ATOT,,AOBT,0,57363,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19.0,63.3,ATOT,21.0,ATOT,36313,57364,59.0,L13_shipped,11493,20.04,36081,62.9,36147,63.01,23322,40.66,33630,58.63
,0.0,ATOT,,AIBT,0,57362,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21.0,1.86,landing,21.0,ALDT,1066,57363,49.0,L13_shipped,160,0.28,1064,1.85,1065,1.86,804,1.4,1022,1.78
,0.0,landing,,AOBT,0,57363,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,ATOT,0,57364,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,landing,,AIBT,0,57362,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,ALDT,0,57363,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,take-off,,AOBT,0,57363,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.0,0.39,take-off,16.0,ATOT,223,57364,39.0,L13_shipped,74,0.13,222,0.39,223,0.39,186,0.32,220,0.38
,0.0,take-off,,AIBT,0,57362,,L13_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
