adep_accuracy,adep_correct,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,adep_wrong,ades_accuracy,ades_correct,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,ades_wrong,fl_cap,legacy,margin,n_ground_truth,penalty_nm,radius_nm,stage,stage2_role
0.9938769060598878,50318,0.5322763783170024,0.08297237057908238,0.9950364848029425,0.5797601577547464,0.0,0.0,0.5290172000504647,0.0,310,0.982988201494585,60903,0.6513835737415367,0.08372934101518147,0.9833532470048761,0.7106434734716358,0.0,0.0,0.6403023676353085,0.0,1054,30,,8,95116,10.0,20.0,1,
0.9925242124780559,50318,0.533001808318264,0.08297237057908238,0.9936806350961729,0.5805512244336422,0.0,0.0,0.5290172000504647,0.0,379,0.9818952731024698,60905,0.6521300306993566,0.08372934101518147,0.9822594952019998,0.7114581420965669,0.0,0.0,0.6403233945918668,0.0,1123,30,,8,95116,10.0,30.0,1,
0.9921526874088095,50320,0.5332225913621262,0.08297237057908238,0.9933081979510058,0.5807919838576538,0.0,0.0,0.529038227007023,0.0,398,0.9812785976670748,60906,0.6525505698305227,0.08372934101518147,0.981642356354259,0.7119171103359647,0.0,0.0,0.6403339080701459,0.0,1162,30,,8,95116,10.0,40.0,1,
0.9904342006849585,50320,0.5341477774506918,0.08297237057908238,0.991585709500069,0.5818008804916078,0.0,0.0,0.529038227007023,0.0,486,0.9803637534202478,60910,0.6532024054838302,0.08372934101518147,0.9807268101824271,0.7126285111070314,0.0,0.0,0.6403759619832625,0.0,1220,30,,8,95116,10.0,60.0,1,
0.9846009352926214,50320,0.5373123344127171,0.08297237057908238,0.9857968459202664,0.5852173713656792,0.0,0.0,0.529038227007023,0.0,787,0.979859401895018,60911,0.6535493502670423,0.08372934101518147,0.9802220791760541,0.7130071599045346,0.0,0.0,0.6403864754615417,0.0,1252,30,,8,95116,10.0,80.0,1,
0.9915137751748043,16591,0.1759220320450818,0.08297237057908238,0.993651554171408,0.19142667155828672,0.0,0.0,0.17442911812944195,0.0,142,0.9840858561374768,58869,0.628926784137264,0.08372934101518147,0.984382054411986,0.6861919405177161,0.0,0.0,0.6189179528155094,0.0,952,30,,16,95116,10.0,20.0,1,
0.9897393068066576,16591,0.1762374363934564,0.08297237057908238,0.9918694326537932,0.1917706135925892,0.0,0.0,0.17442911812944195,0.0,172,0.98306726337586,58870,0.6295891332688507,0.08372934101518147,0.9833628436842281,0.6869148154947677,0.0,0.0,0.6189284662937886,0.0,1014,30,,16,95116,10.0,30.0,1,
0.9893261776982707,16591,0.1763110307414105,0.08297237057908238,0.9914545237241544,0.19185086673392643,0.0,0.0,0.17442911812944195,0.0,179,0.9823457758347378,58871,0.6300622397914126,0.08372934101518147,0.9826409173607518,0.6874311547640903,0.0,0.0,0.6189389797720678,0.0,1058,30,,16,95116,10.0,40.0,1,
0.9873832053799917,16591,0.17665797552462256,0.08297237057908238,0.9895031907914356,0.19222920297165919,0.0,0.0,0.17442911812944195,0.0,212,0.9811191841087855,58875,0.6308928045754657,0.08372934101518147,0.9814135689281547,0.688337617036901,0.0,0.0,0.6189810336851844,0.0,1133,30,,16,95116,10.0,60.0,1,
0.9786468471656934,16591,0.17823499726649564,0.08297237057908238,0.9807874201938993,0.19393744840869487,0.0,0.0,0.17442911812944195,0.0,362,0.9806455911256204,58876,0.6312082089238403,0.08372934101518147,0.9809396867710763,0.6886818432164494,0.0,0.0,0.6189915471634636,0.0,1162,30,,16,95116,10.0,80.0,1,
