adep_accuracy,adep_correct,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,adep_score,adep_wrong,ades_accuracy,ades_correct,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,ades_score,ades_wrong,height_ft,k,n_ground_truth,penalty_nm,radius_nm
0.9664130609383899,66179,0.737928210433302,0.07942973523421588,0.9695401449061067,0.7916608137847075,0.9269406392694064,0.08262108262108261,0.7131434605976358,0.007079817670449035,61579.0,2300,0.9388984942843235,55933,0.6419573486783263,0.07982844642722443,0.9419713831478538,0.6924148914991041,0.72782874617737,0.03212742980561555,0.6027327880688369,0.003523744867940387,48653.0,3640,30000.0,2.0,92799,10.0,20.0
0.958679841210049,66170,0.7437795665901572,0.07942973523421588,0.9631071098121576,0.7970337594231399,0.9397781299524565,0.08045041378374712,0.713046476793931,0.006799642237524111,60466.0,2852,0.922614452091923,56166,0.6560092242373301,0.07982844642722443,0.9310597360230356,0.7035987399140424,0.7346278317152104,0.03064254859611231,0.6052435909869719,0.0033297772605308247,46744.0,4711,35000.0,2.0,92799,10.0,20.0
0.9543730075155432,66160,0.7470231360251727,0.07942973523421588,0.9605330599692465,0.799328089151098,0.957983193277311,0.07733007733007732,0.7129387170120368,0.006411707022704986,59834.0,3163,0.9116288832913518,56459,0.6673778812271683,0.07982844642722443,0.9236099707707971,0.7131664929559322,0.7447552447552448,0.028752699784017278,0.608400952596472,0.003081929762174161,45513.0,5473,40000.0,2.0,92799,10.0,20.0
0.9540937738869579,66154,0.7471739997198246,0.07942973523421588,0.9604346043460434,0.799410029498525,0.9575551782682513,0.07651607651607652,0.7128740611429002,0.0063470511535684655,59788.0,3183,0.9110692006383287,56520,0.6685093589370575,0.07982844642722443,0.923355689290458,0.7141619140190418,0.7429577464788732,0.028482721382289418,0.6090582872660266,0.003060377805795321,45486.0,5517,1000000000.0,2.0,92799,10.0,20.0
0.9836246550137995,26730,0.2928372072974924,0.07942973523421588,0.984956153613547,0.30968769021866366,0.8115942028985508,0.09116809116809117,0.2880418970032005,0.00892250994083988,25840.0,445,0.9680800381133873,30480,0.33928167329389325,0.07982844642722443,0.969333033621271,0.36468714501528265,0.6805555555555556,0.03968682505399568,0.328451815213526,0.004655222577829503,28470.0,1005,0.0,2.0,92799,10.0,30.0
0.9865643483581481,38697,0.42267696850181574,0.07942973523421588,0.9879705889994543,0.4505431474458023,0.8658064516129033,0.0910324243657577,0.41699802799599134,0.008351383096800611,37643.0,527,0.9711407504813788,41357,0.4589058071746463,0.07982844642722443,0.9722044652792575,0.49463058167722596,0.6821345707656613,0.03968682505399568,0.44566212997984894,0.004644446599640082,38899.0,1229,500.0,2.0,92799,10.0,30.0
0.9872308834446919,46543,0.5080334917402127,0.07942973523421588,0.9888134497251859,0.5430889169827223,0.8811096433289299,0.09048975715642382,0.5015463528701818,0.00815741548939105,45339.0,602,0.9712684252187493,45400,0.5037015485080658,0.07982844642722443,0.972531263475636,0.5431485753767962,0.6821345707656613,0.03968682505399568,0.48922940979967455,0.004644446599640082,42714.0,1343,1000.0,2.0,92799,10.0,30.0
0.9869311080067642,53693,0.5862563174172135,0.07942973523421588,0.988815777210282,0.62797911691717,0.8837209302325582,0.08764075430742098,0.5785945969245359,0.007877240056466126,52271.0,711,0.9705085705045278,48013,0.5331091929869934,0.07982844642722443,0.9717753431352584,0.5750723144125259,0.6813953488372093,0.039551835853131746,0.5173870408086294,0.004633670621450662,45095.0,1459,2000.0,2.0,92799,10.0,30.0
0.9858984103368533,60965,0.6663541632991735,0.07942973523421588,0.9878178573182912,0.7149061197733764,0.8845618915159944,0.08628408628408628,0.6569575103179991,0.007747928318193084,59221.0,872,0.9693118412895226,53159,0.5909761958641796,0.07982844642722443,0.970792333676017,0.6379126605848392,0.6714975845410628,0.037526997840172785,0.5728402245713855,0.00446125497041994,49793.0,1683,5000.0,2.0,92799,10.0,30.0
0.9849403207758299,63375,0.6933695406200497,0.07942973523421588,0.9869292354153232,0.7442173526244322,0.8834269662921348,0.085334418667752,0.6829276177545016,0.007672496470867143,61437.0,969,0.9649125877185307,55138,0.6157717216780353,0.07982844642722443,0.9665850522273696,0.6648358726329473,0.6616541353383458,0.035637149028077755,0.5941658854082479,0.004299615297578638,51128.0,2005,8000.0,2.0,92799,10.0,30.0
0.9842202450898103,64493,0.7061175228181338,0.07942973523421588,0.9861795271699687,0.7580535655756895,0.8834269662921348,0.085334418667752,0.6949751613702734,0.007672496470867143,62425.0,1034,0.9599795204368974,56250,0.6314184420090734,0.07982844642722443,0.9617485400206115,0.6818048740499584,0.6556122448979592,0.03469222462203024,0.6061487731548831,0.0042241834502526965,51560.0,2345,10000.0,2.0,92799,10.0,30.0
0.977139920716488,66553,0.7339518744814061,0.07942973523421588,0.979239062639223,0.7882427307206068,0.9122023809523809,0.0831637498304165,0.7171736764404789,0.007241457343290337,63439.0,1557,0.9475031798734658,57359,0.6523453916529273,0.07982844642722443,0.9496126608371845,0.7044536309447131,0.7087087087087087,0.03185745140388769,0.6180993329669501,0.003588400737076908,51003.0,3178,15000.0,2.0,92799,10.0,30.0
0.9680826536787803,67183,0.7478313343893792,0.07942973523421588,0.9703460837887068,0.8033080488832701,0.9472843450479234,0.08045041378374712,0.7239625426998135,0.006745762346577011,62753.0,2215,0.935769963059999,57504,0.6621946357180573,0.07982844642722443,0.938143823389725,0.7150753592298954,0.7333333333333333,0.029697624190064796,0.619661849804416,0.0032327934568260434,49610.0,3947,20000.0,2.0,92799,10.0,30.0
0.9610499092688642,67261,0.7541783855429477,0.07942973523421588,0.9635244302498663,0.8100037458444538,0.9560975609756097,0.07977207977207977,0.7248030689985884,0.0066272265864933885,61809.0,2726,0.9267896227629715,57587,0.6695761807778101,0.07982844642722443,0.9295621738989532,0.7227225351617852,0.7432432432432432,0.029697624190064796,0.6205562559941379,0.0031896895440683627,48489.0,4549,25000.0,2.0,92799,10.0,30.0
0.9528038640773948,67267,0.7607732841948728,0.07942973523421588,0.9570565355302628,0.8155756894694948,0.9575163398692811,0.07950074616741283,0.7248677248677249,0.0065948986519251285,60603.0,3332,0.9188216560509554,57702,0.6767314302955851,0.07982844642722443,0.9226953883689947,0.7295733742431872,0.7577854671280276,0.029562634989200864,0.6217954934859212,0.0031142576967424216,47506.0,5098,30000.0,2.0,92799,10.0,30.0
0.9395247474959139,67254,0.7713768467332622,0.07942973523421588,0.9468961208610212,0.8244135412277005,0.9725085910652921,0.07678741012074346,0.7247276371512624,0.006271619306242524,58596.0,4329,0.893666239995065,57948,0.6987467537365705,0.07982844642722443,0.9058264307228916,0.746495532316052,0.7870722433460076,0.027942764578833695,0.6244463841205186,0.002834082263817498,44158.0,6895,35000.0,2.0,92799,10.0,30.0
0.9304305690156445,67205,0.778348904621817,0.07942973523421588,0.9419315662378377,0.8289202603361895,0.9940828402366864,0.06837606837606838,0.7241996142199808,0.0054634209420360135,57155.0,5025,0.8753005168890492,58253,0.7171629004622895,0.07982844642722443,0.8941540641266517,0.7604314271995878,0.8205128205128205,0.02591792656587473,0.6277330574682917,0.002521578896324314,41655.0,8299,40000.0,2.0,92799,10.0,30.0
0.9298129082253958,67192,0.7787152878802573,0.07942973523421588,0.9418384637108161,0.8290022006836166,0.9939271255060729,0.06661239994573327,0.7240595265035183,0.0053233332255735516,57048.0,5072,0.8744807522157072,58313,0.7185745536051035,0.07982844642722443,0.8938440955295492,0.7615205349509901,0.8181818181818182,0.02551295896328294,0.6283796161596569,0.0024892509617560534,41573.0,8370,1000000000.0,2.0,92799,10.0,30.0
0.983479892564112,26730,0.2928803112102501,0.07942973523421588,0.9848072562358277,0.30973451327433627,0.8115942028985508,0.09116809116809117,0.2880418970032005,0.00892250994083988,25832.0,449,0.9675586452083929,30481,0.33947564090130283,0.07982844642722443,0.968805160627748,0.36489794006394116,0.6805555555555556,0.03968682505399568,0.32846259119171545,0.004655222577829503,28437.0,1022,0.0,2.0,92799,10.0,40.0
0.986413459087433,38697,0.42274162437095225,0.07942973523421588,0.9878165995583842,0.4506133820293112,0.8658064516129033,0.0910324243657577,0.41699802799599134,0.008351383096800611,37631.0,533,0.9706855680991386,41358,0.4591321027166241,0.07982844642722443,0.9717449950305268,0.49487650923399423,0.6821345707656613,0.03968682505399568,0.4456729059580383,0.004644446599640082,38860.0,1249,500.0,2.0,92799,10.0,40.0
0.9871052575767216,46543,0.5080981476093492,0.07942973523421588,0.9886855886726579,0.5431591515662312,0.8811096433289299,0.09048975715642382,0.5015463528701818,0.00815741548939105,45327.0,608,0.9707511064548545,45403,0.5040032758973696,0.07982844642722443,0.9720091363558008,0.5434764787858205,0.6821345707656613,0.03968682505399568,0.4892617377342428,0.004644446599640082,42667.0,1368,1000.0,2.0,92799,10.0,40.0
0.9866953341786574,53693,0.586396405133676,0.07942973523421588,0.9885762206485278,0.628131291848106,0.8837209302325582,0.08764075430742098,0.5785945969245359,0.007877240056466126,52245.0,724,0.9699418228829993,48016,0.5334540242890549,0.07982844642722443,0.9712035491880011,0.5754470611656967,0.6813953488372093,0.039551835853131746,0.5174193687431977,0.004633670621450662,45040.0,1488,2000.0,2.0,92799,10.0,40.0
0.9856117434040351,60966,0.6665589068847725,0.07942973523421588,0.9875270084462777,0.7151285292878213,0.8845618915159944,0.08628408628408628,0.6569682862961885,0.007747928318193084,59186.0,890,0.9685894399300368,53162,0.591450338904514,0.07982844642722443,0.9700638344706142,0.6384279373704489,0.6714975845410628,0.037526997840172785,0.5728725525059537,0.00446125497041994,49714.0,1724,5000.0,2.0,92799,10.0,40.0
0.9845276746462026,63377,0.693682043987543,0.07942973523421588,0.9865107065371191,0.7445568197780588,0.8834269662921348,0.085334418667752,0.6829491697108805,0.007672496470867143,61385.0,996,0.9636836864813877,55168,0.616892423409735,0.07982844642722443,0.965345054945055,0.6660537995807521,0.6616541353383458,0.035637149028077755,0.5944891647539305,0.004299615297578638,51010.0,2079,8000.0,2.0,92799,10.0,40.0
0.9836355594869527,64496,0.7065701139020895,0.07942973523421588,0.9856018518518519,0.7585335018963337,0.8834269662921348,0.085334418667752,0.6950074893048417,0.007672496470867143,62350.0,1073,0.9582886973082352,56356,0.6337245013416093,0.07982844642722443,0.9600403874456652,0.6843109929617875,0.6556122448979592,0.03469222462203024,0.6072910268429617,0.0042241834502526965,51450.0,2453,10000.0,2.0,92799,10.0,40.0
0.9761085150951412,66636,0.735643703057145,0.07942973523421588,0.9782199635517758,0.7900571241279206,0.9122023809523809,0.0831637498304165,0.7180680826302007,0.007241457343290337,63374.0,1631,0.943903675953343,57698,0.6587032187846852,0.07982844642722443,0.9459855456595821,0.7113513133702615,0.7087087087087087,0.03185745140388769,0.6217523895731635,0.003588400737076908,50840.0,3429,15000.0,2.0,92799,10.0,40.0
