arm,edge,bin_lower_s,bin_upper_s,n
legacy,off,-1110,-1080,112
legacy,off,-1080,-1050,118
legacy,off,-1050,-1020,157
legacy,off,-1020,-990,128
legacy,off,-990,-960,178
legacy,off,-960,-930,172
legacy,off,-930,-900,220
legacy,off,-900,-870,232
legacy,off,-870,-840,308
legacy,off,-840,-810,300
legacy,off,-810,-780,368
legacy,off,-780,-750,410
legacy,off,-750,-720,452
legacy,off,-720,-690,427
legacy,off,-690,-660,507
legacy,off,-660,-630,507
legacy,off,-630,-600,557
legacy,off,-600,-570,552
legacy,off,-570,-540,571
legacy,off,-540,-510,564
legacy,off,-510,-480,492
legacy,off,-480,-450,485
legacy,off,-450,-420,451
legacy,off,-420,-390,435
legacy,off,-390,-360,421
legacy,off,-360,-330,415
legacy,off,-330,-300,392
legacy,off,-300,-270,380
legacy,off,-270,-240,374
legacy,off,-240,-210,407
legacy,off,-210,-180,401
legacy,off,-180,-150,369
legacy,off,-150,-120,367
legacy,off,-120,-90,353
legacy,off,-90,-60,342
legacy,off,-60,-30,343
legacy,off,-30,0,1710
legacy,off,0,30,6792
legacy,off,30,60,5890
legacy,off,60,90,2125
legacy,off,90,120,784
legacy,off,120,150,497
legacy,off,150,180,351
legacy,off,180,210,283
legacy,off,210,240,239
legacy,off,240,270,170
legacy,off,270,300,118
legacy,off,300,330,91
legacy,off,330,360,88
legacy,off,360,390,57
legacy,off,390,420,53
legacy,off,420,450,44
legacy,off,450,480,40
legacy,off,480,510,28
legacy,off,510,540,16
legacy,off,540,570,19
legacy,off,570,600,27
legacy,off,600,630,15
legacy,off,630,660,13
legacy,off,660,690,9
legacy,off,690,720,9
legacy,off,720,750,7
legacy,off,750,780,8
legacy,off,780,810,4
legacy,off,810,840,9
legacy,off,840,870,7
legacy,off,870,900,3
legacy,off,900,930,9
legacy,off,930,960,11
legacy,off,960,990,7
legacy,off,990,1020,7
legacy,off,1020,1050,9
legacy,off,1050,1080,12
legacy,off,1080,1110,7
legacy,off,1110,1140,4
legacy,off,1140,1170,10
legacy,off,1170,1200,8
legacy,off,1200,1230,2
legacy,off,1230,1260,7
legacy,off,1260,1290,4
legacy,off,1290,1320,8
legacy,off,1320,1350,1
legacy,off,1350,1380,1
legacy,off,1380,1410,2
legacy,off,1410,1440,4
legacy,off,1440,1470,9
legacy,off,1470,1500,0
legacy,off,1500,1530,7
legacy,off,1530,1560,0
legacy,off,1560,1590,4
legacy,off,1590,1620,1
legacy,off,1620,1650,0
legacy,off,1650,1680,2
legacy,off,1680,1710,0
legacy,off,1710,1740,1
legacy,off,1740,1770,1
legacy,off,1770,1800,933
legacy,land,-1800,-1770,948
legacy,land,-1770,-1740,5
legacy,land,-1740,-1710,1
legacy,land,-1710,-1680,0
legacy,land,-1680,-1650,3
legacy,land,-1650,-1620,2
legacy,land,-1620,-1590,2
legacy,land,-1590,-1560,4
legacy,land,-1560,-1530,2
legacy,land,-1530,-1500,1
legacy,land,-1500,-1470,1
legacy,land,-1470,-1440,0
legacy,land,-1440,-1410,3
legacy,land,-1410,-1380,4
legacy,land,-1380,-1350,3
legacy,land,-1350,-1320,3
legacy,land,-1320,-1290,4
legacy,land,-1290,-1260,5
legacy,land,-1260,-1230,8
legacy,land,-1230,-1200,9
legacy,land,-1200,-1170,8
legacy,land,-1170,-1140,13
legacy,land,-1140,-1110,8
legacy,land,-1110,-1080,15
legacy,land,-1080,-1050,11
legacy,land,-1050,-1020,7
legacy,land,-1020,-990,13
legacy,land,-990,-960,11
legacy,land,-960,-930,19
legacy,land,-930,-900,22
legacy,land,-900,-870,16
legacy,land,-870,-840,31
legacy,land,-840,-810,13
legacy,land,-810,-780,17
legacy,land,-780,-750,15
legacy,land,-750,-720,28
legacy,land,-720,-690,18
legacy,land,-690,-660,23
legacy,land,-660,-630,25
legacy,land,-630,-600,21
legacy,land,-600,-570,21
legacy,land,-570,-540,30
legacy,land,-540,-510,31
legacy,land,-510,-480,38
legacy,land,-480,-450,22
legacy,land,-450,-420,51
legacy,land,-420,-390,59
legacy,land,-390,-360,63
legacy,land,-360,-330,73
legacy,land,-330,-300,84
legacy,land,-300,-270,60
legacy,land,-270,-240,77
legacy,land,-240,-210,64
legacy,land,-210,-180,67
legacy,land,-180,-150,50
legacy,land,-150,-120,85
legacy,land,-120,-90,71
legacy,land,-90,-60,94
legacy,land,-60,-30,110
legacy,land,-30,0,235
legacy,land,0,30,156
legacy,land,30,60,394
legacy,land,60,90,165
legacy,land,90,120,370
legacy,land,120,150,172
legacy,land,150,180,390
legacy,land,180,210,228
legacy,land,210,240,892
legacy,land,240,270,2492
legacy,land,270,300,3864
legacy,land,300,330,3466
legacy,land,330,360,2470
legacy,land,360,390,1200
legacy,land,390,420,1121
legacy,land,420,450,1010
legacy,land,450,480,1208
legacy,land,480,510,1253
legacy,land,510,540,1483
legacy,land,540,570,1393
legacy,land,570,600,1391
legacy,land,600,630,1109
legacy,land,630,660,1044
legacy,land,660,690,803
legacy,land,690,720,675
legacy,land,720,750,512
legacy,land,750,780,462
legacy,land,780,810,376
legacy,land,810,840,301
legacy,land,840,870,284
legacy,land,870,900,204
legacy,land,900,930,224
legacy,land,930,960,182
legacy,land,960,990,147
legacy,land,990,1020,129
legacy,land,1020,1050,111
legacy,land,1050,1080,108
legacy,land,1080,1110,100
legacy,land,1110,1140,93
legacy,land,1140,1170,59
legacy,land,1170,1200,41
legacy,land,1200,1230,42
legacy,land,1230,1260,41
legacy,land,1260,1290,37
legacy,land,1290,1320,33
legacy,land,1320,1350,19
legacy,land,1350,1380,31
legacy,land,1380,1410,31
legacy,land,1410,1440,20
legacy,land,1440,1470,20
legacy,land,1470,1500,15
legacy,land,1500,1530,8
legacy,land,1530,1560,17
legacy,land,1560,1590,7
legacy,land,1590,1620,10
legacy,land,1620,1650,11
legacy,land,1650,1680,9
legacy,land,1680,1710,9
legacy,land,1710,1740,5
legacy,land,1740,1770,15
legacy,land,1770,1800,210
ground_anchored,off,-1800,-1770,61
ground_anchored,off,-1770,-1740,1
ground_anchored,off,-1740,-1710,0
ground_anchored,off,-1710,-1680,1
ground_anchored,off,-1680,-1650,1
ground_anchored,off,-1650,-1620,3
ground_anchored,off,-1620,-1590,0
ground_anchored,off,-1590,-1560,3
ground_anchored,off,-1560,-1530,1
ground_anchored,off,-1530,-1500,0
ground_anchored,off,-1500,-1470,2
ground_anchored,off,-1470,-1440,1
ground_anchored,off,-1440,-1410,4
ground_anchored,off,-1410,-1380,5
ground_anchored,off,-1380,-1350,5
ground_anchored,off,-1350,-1320,4
ground_anchored,off,-1320,-1290,7
ground_anchored,off,-1290,-1260,7
ground_anchored,off,-1260,-1230,11
ground_anchored,off,-1230,-1200,7
ground_anchored,off,-1200,-1170,9
ground_anchored,off,-1170,-1140,4
ground_anchored,off,-1140,-1110,12
ground_anchored,off,-1110,-1080,11
ground_anchored,off,-1080,-1050,10
ground_anchored,off,-1050,-1020,9
ground_anchored,off,-1020,-990,14
ground_anchored,off,-990,-960,18
ground_anchored,off,-960,-930,20
ground_anchored,off,-930,-900,16
ground_anchored,off,-900,-870,27
ground_anchored,off,-870,-840,32
ground_anchored,off,-840,-810,41
ground_anchored,off,-810,-780,28
ground_anchored,off,-780,-750,44
ground_anchored,off,-750,-720,51
ground_anchored,off,-720,-690,49
ground_anchored,off,-690,-660,67
ground_anchored,off,-660,-630,54
ground_anchored,off,-630,-600,58
ground_anchored,off,-600,-570,69
ground_anchored,off,-570,-540,66
ground_anchored,off,-540,-510,64
ground_anchored,off,-510,-480,71
ground_anchored,off,-480,-450,63
ground_anchored,off,-450,-420,48
ground_anchored,off,-420,-390,61
ground_anchored,off,-390,-360,59
ground_anchored,off,-360,-330,52
ground_anchored,off,-330,-300,66
ground_anchored,off,-300,-270,78
ground_anchored,off,-270,-240,97
ground_anchored,off,-240,-210,79
ground_anchored,off,-210,-180,79
ground_anchored,off,-180,-150,82
ground_anchored,off,-150,-120,86
ground_anchored,off,-120,-90,93
ground_anchored,off,-90,-60,157
ground_anchored,off,-60,-30,636
ground_anchored,off,-30,0,7718
ground_anchored,off,0,30,12119
ground_anchored,off,30,60,7355
ground_anchored,off,60,90,1879
ground_anchored,off,90,120,652
ground_anchored,off,120,150,431
ground_anchored,off,150,180,295
ground_anchored,off,180,210,245
ground_anchored,off,210,240,222
ground_anchored,off,240,270,152
ground_anchored,off,270,300,108
ground_anchored,off,300,330,98
ground_anchored,off,330,360,74
ground_anchored,off,360,390,60
ground_anchored,off,390,420,43
ground_anchored,off,420,450,38
ground_anchored,off,450,480,32
ground_anchored,off,480,510,23
ground_anchored,off,510,540,12
ground_anchored,off,540,570,17
ground_anchored,off,570,600,21
ground_anchored,off,600,630,9
ground_anchored,off,630,660,10
ground_anchored,off,660,690,10
ground_anchored,off,690,720,10
ground_anchored,off,720,750,2
ground_anchored,off,750,780,4
ground_anchored,off,780,810,4
ground_anchored,off,810,840,8
ground_anchored,off,840,870,9
ground_anchored,off,870,900,5
ground_anchored,off,900,930,7
ground_anchored,off,930,960,8
ground_anchored,off,960,990,6
ground_anchored,off,990,1020,11
ground_anchored,off,1020,1050,8
ground_anchored,off,1050,1080,6
ground_anchored,off,1080,1110,9
ground_anchored,off,1110,1140,4
ground_anchored,off,1140,1170,10
ground_anchored,off,1170,1200,2
ground_anchored,off,1200,1230,3
ground_anchored,off,1230,1260,3
ground_anchored,off,1260,1290,8
ground_anchored,off,1290,1320,3
ground_anchored,off,1320,1350,1
ground_anchored,off,1350,1380,0
ground_anchored,off,1380,1410,1
ground_anchored,off,1410,1440,6
ground_anchored,off,1440,1470,8
ground_anchored,off,1470,1500,0
ground_anchored,off,1500,1530,6
ground_anchored,off,1530,1560,2
ground_anchored,off,1560,1590,2
ground_anchored,off,1590,1620,0
ground_anchored,off,1620,1650,0
ground_anchored,off,1650,1680,0
ground_anchored,off,1680,1710,1
ground_anchored,off,1710,1740,1
ground_anchored,off,1740,1770,3
ground_anchored,off,1770,1800,911
ground_anchored,land,-1800,-1770,923
ground_anchored,land,-1770,-1740,6
ground_anchored,land,-1740,-1710,2
ground_anchored,land,-1710,-1680,0
ground_anchored,land,-1680,-1650,3
ground_anchored,land,-1650,-1620,2
ground_anchored,land,-1620,-1590,2
ground_anchored,land,-1590,-1560,4
ground_anchored,land,-1560,-1530,1
ground_anchored,land,-1530,-1500,1
ground_anchored,land,-1500,-1470,2
ground_anchored,land,-1470,-1440,0
ground_anchored,land,-1440,-1410,3
ground_anchored,land,-1410,-1380,3
ground_anchored,land,-1380,-1350,3
ground_anchored,land,-1350,-1320,3
ground_anchored,land,-1320,-1290,4
ground_anchored,land,-1290,-1260,3
ground_anchored,land,-1260,-1230,8
ground_anchored,land,-1230,-1200,9
ground_anchored,land,-1200,-1170,8
ground_anchored,land,-1170,-1140,14
ground_anchored,land,-1140,-1110,7
ground_anchored,land,-1110,-1080,14
ground_anchored,land,-1080,-1050,11
ground_anchored,land,-1050,-1020,6
ground_anchored,land,-1020,-990,12
ground_anchored,land,-990,-960,11
ground_anchored,land,-960,-930,18
ground_anchored,land,-930,-900,23
ground_anchored,land,-900,-870,15
ground_anchored,land,-870,-840,30
ground_anchored,land,-840,-810,9
ground_anchored,land,-810,-780,15
ground_anchored,land,-780,-750,15
ground_anchored,land,-750,-720,28
ground_anchored,land,-720,-690,18
ground_anchored,land,-690,-660,22
ground_anchored,land,-660,-630,25
ground_anchored,land,-630,-600,18
ground_anchored,land,-600,-570,21
ground_anchored,land,-570,-540,31
ground_anchored,land,-540,-510,30
ground_anchored,land,-510,-480,37
ground_anchored,land,-480,-450,24
ground_anchored,land,-450,-420,50
ground_anchored,land,-420,-390,60
ground_anchored,land,-390,-360,63
ground_anchored,land,-360,-330,77
ground_anchored,land,-330,-300,84
ground_anchored,land,-300,-270,64
ground_anchored,land,-270,-240,78
ground_anchored,land,-240,-210,66
ground_anchored,land,-210,-180,65
ground_anchored,land,-180,-150,51
ground_anchored,land,-150,-120,88
ground_anchored,land,-120,-90,75
ground_anchored,land,-90,-60,94
ground_anchored,land,-60,-30,110
ground_anchored,land,-30,0,234
ground_anchored,land,0,30,150
ground_anchored,land,30,60,382
ground_anchored,land,60,90,163
ground_anchored,land,90,120,359
ground_anchored,land,120,150,166
ground_anchored,land,150,180,380
ground_anchored,land,180,210,224
ground_anchored,land,210,240,877
ground_anchored,land,240,270,2486
ground_anchored,land,270,300,3823
ground_anchored,land,300,330,3455
ground_anchored,land,330,360,2489
ground_anchored,land,360,390,1243
ground_anchored,land,390,420,1150
ground_anchored,land,420,450,1030
ground_anchored,land,450,480,1190
ground_anchored,land,480,510,1211
ground_anchored,land,510,540,1403
ground_anchored,land,540,570,1327
ground_anchored,land,570,600,1338
ground_anchored,land,600,630,1060
ground_anchored,land,630,660,961
ground_anchored,land,660,690,753
ground_anchored,land,690,720,630
ground_anchored,land,720,750,475
ground_anchored,land,750,780,417
ground_anchored,land,780,810,337
ground_anchored,land,810,840,282
ground_anchored,land,840,870,257
ground_anchored,land,870,900,193
ground_anchored,land,900,930,211
ground_anchored,land,930,960,166
ground_anchored,land,960,990,130
ground_anchored,land,990,1020,111
ground_anchored,land,1020,1050,95
ground_anchored,land,1050,1080,92
ground_anchored,land,1080,1110,90
ground_anchored,land,1110,1140,79
ground_anchored,land,1140,1170,52
ground_anchored,land,1170,1200,35
ground_anchored,land,1200,1230,38
ground_anchored,land,1230,1260,41
ground_anchored,land,1260,1290,28
ground_anchored,land,1290,1320,26
ground_anchored,land,1320,1350,17
ground_anchored,land,1350,1380,20
ground_anchored,land,1380,1410,25
ground_anchored,land,1410,1440,17
ground_anchored,land,1440,1470,17
ground_anchored,land,1470,1500,11
ground_anchored,land,1500,1530,10
ground_anchored,land,1530,1560,14
ground_anchored,land,1560,1590,7
ground_anchored,land,1590,1620,10
ground_anchored,land,1620,1650,8
ground_anchored,land,1650,1680,13
ground_anchored,land,1680,1710,13
ground_anchored,land,1710,1740,7
ground_anchored,land,1740,1770,14
ground_anchored,land,1770,1800,1088
