arm,edge,bin_lower_s,bin_upper_s,n
legacy,land,1770,1800,108
ground_anchored,off,-1800,-1770,23
ground_anchored,off,-1770,-1740,1
ground_anchored,off,-1740,-1710,1
ground_anchored,off,-1710,-1680,0
ground_anchored,off,-1680,-1650,0
ground_anchored,off,-1650,-1620,0
ground_anchored,off,-1620,-1590,0
ground_anchored,off,-1590,-1560,3
ground_anchored,off,-1560,-1530,2
ground_anchored,off,-1530,-1500,2
ground_anchored,off,-1500,-1470,1
ground_anchored,off,-1470,-1440,2
ground_anchored,off,-1440,-1410,0
ground_anchored,off,-1410,-1380,0
ground_anchored,off,-1380,-1350,1
ground_anchored,off,-1350,-1320,0
ground_anchored,off,-1320,-1290,0
ground_anchored,off,-1290,-1260,2
ground_anchored,off,-1260,-1230,0
ground_anchored,off,-1230,-1200,3
ground_anchored,off,-1200,-1170,3
ground_anchored,off,-1170,-1140,4
ground_anchored,off,-1140,-1110,4
ground_anchored,off,-1110,-1080,3
ground_anchored,off,-1080,-1050,5
ground_anchored,off,-1050,-1020,8
ground_anchored,off,-1020,-990,10
ground_anchored,off,-990,-960,9
ground_anchored,off,-960,-930,10
ground_anchored,off,-930,-900,14
ground_anchored,off,-900,-870,10
ground_anchored,off,-870,-840,12
ground_anchored,off,-840,-810,16
ground_anchored,off,-810,-780,12
ground_anchored,off,-780,-750,31
ground_anchored,off,-750,-720,28
ground_anchored,off,-720,-690,21
ground_anchored,off,-690,-660,14
ground_anchored,off,-660,-630,28
ground_anchored,off,-630,-600,31
ground_anchored,off,-600,-570,33
ground_anchored,off,-570,-540,29
ground_anchored,off,-540,-510,34
ground_anchored,off,-510,-480,28
ground_anchored,off,-480,-450,25
ground_anchored,off,-450,-420,30
ground_anchored,off,-420,-390,22
ground_anchored,off,-390,-360,36
ground_anchored,off,-360,-330,32
ground_anchored,off,-330,-300,30
ground_anchored,off,-300,-270,30
ground_anchored,off,-270,-240,36
ground_anchored,off,-240,-210,38
ground_anchored,off,-210,-180,39
ground_anchored,off,-180,-150,32
ground_anchored,off,-150,-120,42
ground_anchored,off,-120,-90,40
ground_anchored,off,-90,-60,81
ground_anchored,off,-60,-30,340
ground_anchored,off,-30,0,4016
ground_anchored,off,0,30,6751
ground_anchored,off,30,60,5232
ground_anchored,off,60,90,1705
ground_anchored,off,90,120,655
