airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run,period
EGPF,346,307,305,308,arrivals,0.8815028901734104,0.8901734104046243,legacy,2025
EGPF,344,324,322,323,departures,0.936046511627907,0.938953488372093,legacy,2025
LTBJ,341,3,0,0,arrivals,0.0,0.0,legacy,2025
LGRP,340,318,318,319,departures,0.9352941176470588,0.9382352941176471,legacy,2025
LMML,326,322,322,325,departures,0.9877300613496932,0.9969325153374233,legacy,2025
LMML,326,320,319,322,arrivals,0.9785276073619632,0.9877300613496932,legacy,2025
LATI,323,2,0,0,arrivals,0.0,0.0,legacy,2025
GCTS,323,0,0,0,arrivals,0.0,0.0,legacy,2025
GCTS,321,2,0,0,departures,0.0,0.0,legacy,2025
GCXO,320,1,0,0,arrivals,0.0,0.0,legacy,2025
GCXO,319,65,65,65,departures,0.20376175548589343,0.20376175548589343,legacy,2025
LATI,316,3,0,0,departures,0.0,0.0,legacy,2025
LICJ,314,120,117,117,arrivals,0.37261146496815284,0.37261146496815284,legacy,2025
LICJ,310,139,139,140,departures,0.4483870967741935,0.45161290322580644,legacy,2025
EBCI,304,304,304,304,departures,1.0,1.0,legacy,2025
EBCI,303,300,299,299,arrivals,0.9867986798679867,0.9867986798679867,legacy,2025
BIKF,297,291,291,292,departures,0.9797979797979798,0.9831649831649831,legacy,2025
BIKF,296,100,98,99,arrivals,0.3310810810810811,0.3344594594594595,legacy,2025
ELLX,294,291,291,291,departures,0.9897959183673469,0.9897959183673469,legacy,2025
ELLX,294,284,284,287,arrivals,0.9659863945578231,0.9761904761904762,legacy,2025
LFBO,293,290,290,290,departures,0.9897610921501706,0.9897610921501706,legacy,2025
LFBO,290,289,287,287,arrivals,0.9896551724137931,0.9896551724137931,legacy,2025
LGTS,281,219,219,222,arrivals,0.7793594306049823,0.7900355871886121,legacy,2025
LTBS,280,5,0,0,arrivals,0.0,0.0,legacy,2025
LGTS,279,116,116,118,departures,0.4157706093189964,0.4229390681003584,legacy,2025
GMMX,279,4,0,0,arrivals,0.0,0.0,legacy,2025
GMMX,278,1,1,1,departures,0.0035971223021582736,0.0035971223021582736,legacy,2025
EVRA,278,228,227,227,arrivals,0.8165467625899281,0.8165467625899281,legacy,2025
LEZL,276,275,274,276,arrivals,0.9927536231884058,1.0,legacy,2025
LEZL,275,274,274,274,departures,0.9963636363636363,0.9963636363636363,legacy,2025
LTBS,273,1,0,0,departures,0.0,0.0,legacy,2025
EVRA,273,270,269,270,departures,0.9853479853479854,0.989010989010989,legacy,2025
LBSF,272,1,0,0,departures,0.0,0.0,legacy,2025
GCRR,269,0,0,0,departures,0.0,0.0,legacy,2025
GCRR,269,0,0,0,arrivals,0.0,0.0,legacy,2025
EGNX,267,264,264,265,departures,0.9887640449438202,0.9925093632958801,legacy,2025
LBSF,267,4,0,0,arrivals,0.0,0.0,legacy,2025
EDDP,261,245,244,245,arrivals,0.9348659003831418,0.9386973180076629,legacy,2025
EPKT,259,241,240,240,departures,0.9266409266409267,0.9266409266409267,legacy,2025
HEGN,258,0,0,0,arrivals,0.0,0.0,legacy,2025
HEGN,257,0,0,0,departures,0.0,0.0,legacy,2025
UGTB,257,1,0,0,departures,0.0,0.0,legacy,2025
LFRS,257,251,248,248,arrivals,0.9649805447470817,0.9649805447470817,legacy,2025
UGTB,257,29,26,27,arrivals,0.10116731517509728,0.10505836575875487,legacy,2025
EPKT,257,237,236,236,arrivals,0.9182879377431906,0.9182879377431906,legacy,2025
LFRS,256,184,184,184,departures,0.71875,0.71875,legacy,2025
EDDP,256,251,251,253,departures,0.98046875,0.98828125,legacy,2025
EGNX,255,240,239,239,arrivals,0.9372549019607843,0.9372549019607843,legacy,2025
LIEO,252,28,25,25,arrivals,0.0992063492063492,0.0992063492063492,legacy,2025
EPGD,248,6,6,6,departures,0.024193548387096774,0.024193548387096774,legacy,2025
LGKR,247,4,0,0,arrivals,0.0,0.0,legacy,2025
EGAA,246,239,214,214,arrivals,0.8699186991869918,0.8699186991869918,legacy,2025
LGKR,244,0,0,0,departures,0.0,0.0,legacy,2025
HECA,244,4,4,4,departures,0.01639344262295082,0.01639344262295082,legacy,2025
EPGD,244,1,0,0,arrivals,0.0,0.0,legacy,2025
EGAA,239,148,148,149,departures,0.6192468619246861,0.6234309623430963,legacy,2025
ENZV,236,71,69,77,departures,0.2923728813559322,0.326271186440678,legacy,2025
ENZV,236,64,61,61,arrivals,0.2584745762711864,0.2584745762711864,legacy,2025
LEBB,235,1,0,0,arrivals,0.0,0.0,legacy,2025
LEBB,234,1,0,0,departures,0.0,0.0,legacy,2025
LTFE,232,179,174,178,arrivals,0.75,0.7672413793103449,legacy,2025
HECA,231,39,4,4,arrivals,0.017316017316017316,0.017316017316017316,legacy,2025
LFPB,230,221,220,231,departures,0.9565217391304348,1.0043478260869565,legacy,2025
LIBD,229,1,0,0,arrivals,0.0,0.0,legacy,2025
LIBD,228,2,0,0,departures,0.0,0.0,legacy,2025
LIEO,228,15,9,9,departures,0.039473684210526314,0.039473684210526314,legacy,2025
LIRP,228,148,145,145,arrivals,0.6359649122807017,0.6359649122807017,legacy,2025
UUWW,227,7,4,4,arrivals,0.01762114537444934,0.01762114537444934,legacy,2025
LEMH,226,191,191,191,arrivals,0.8451327433628318,0.8451327433628318,legacy,2025
LFBD,225,222,222,224,departures,0.9866666666666667,0.9955555555555555,legacy,2025
LFPB,225,218,215,221,arrivals,0.9555555555555556,0.9822222222222222,legacy,2025
LEMH,222,174,174,174,departures,0.7837837837837838,0.7837837837837838,legacy,2025
LTFE,220,6,3,3,departures,0.013636363636363636,0.013636363636363636,legacy,2025
LIRP,220,42,41,41,departures,0.18636363636363637,0.18636363636363637,legacy,2025
ENVA,219,208,208,230,arrivals,0.9497716894977168,1.0502283105022832,legacy,2025
LFBD,219,215,214,216,arrivals,0.9771689497716894,0.9863013698630136,legacy,2025
LUKK,217,2,0,0,departures,0.0,0.0,legacy,2025
ENVA,217,210,199,202,departures,0.9170506912442397,0.9308755760368663,legacy,2025
LUKK,217,3,0,0,arrivals,0.0,0.0,legacy,2025
LDSP,216,3,0,0,departures,0.0,0.0,legacy,2025
ESGG,216,214,214,214,departures,0.9907407407407407,0.9907407407407407,legacy,2025
UUWW,216,1,1,1,departures,0.004629629629629629,0.004629629629629629,legacy,2025
LDZA,215,3,0,0,departures,0.0,0.0,legacy,2025
LDSP,215,5,0,0,arrivals,0.0,0.0,legacy,2025
LDZA,215,207,206,213,arrivals,0.958139534883721,0.9906976744186047,legacy,2025
ESGG,214,208,208,210,arrivals,0.9719626168224299,0.9813084112149533,legacy,2025
UUEE,214,1,1,3,arrivals,0.004672897196261682,0.014018691588785047,legacy,2025
EDDV,213,210,209,210,departures,0.9812206572769953,0.9859154929577465,legacy,2025
GCFV,212,0,0,0,departures,0.0,0.0,legacy,2025
UUEE,212,2,2,2,departures,0.009433962264150943,0.009433962264150943,legacy,2025
EGNT,211,199,199,199,departures,0.943127962085308,0.943127962085308,legacy,2025
GCFV,211,2,0,0,arrivals,0.0,0.0,legacy,2025
EGNT,211,184,184,184,arrivals,0.8720379146919431,0.8720379146919431,legacy,2025
EDDV,209,202,202,203,arrivals,0.9665071770334929,0.9712918660287081,legacy,2025
EGGP,208,204,203,203,departures,0.9759615384615384,0.9759615384615384,legacy,2025
EGGP,206,194,193,195,arrivals,0.9368932038834952,0.9466019417475728,legacy,2025
LIRQ,202,1,1,1,departures,0.0049504950495049506,0.0049504950495049506,legacy,2025
EDDN,201,195,194,196,departures,0.9651741293532339,0.9751243781094527,legacy,2025
EDDN,199,192,191,196,arrivals,0.9597989949748744,0.9849246231155779,legacy,2025
LGSA,199,18,16,16,arrivals,0.08040201005025126,0.08040201005025126,legacy,2025
EGLC,198,198,198,198,departures,1.0,1.0,legacy,2025
LIRQ,198,33,31,31,arrivals,0.15656565656565657,0.15656565656565657,legacy,2025
LGSA,196,14,14,14,departures,0.07142857142857142,0.07142857142857142,legacy,2025
LIEE,195,1,0,0,arrivals,0.0,0.0,legacy,2025
EPWR,194,189,189,190,arrivals,0.9742268041237113,0.979381443298969,legacy,2025
EPWR,193,190,190,190,departures,0.9844559585492227,0.9844559585492227,legacy,2025
EGNM,193,173,173,176,arrivals,0.8963730569948186,0.9119170984455959,legacy,2025
UDYZ,192,1,0,0,departures,0.0,0.0,legacy,2025
UDYZ,192,1,0,0,arrivals,0.0,0.0,legacy,2025
LIEE,191,1,0,0,departures,0.0,0.0,legacy,2025
EHEH,191,191,189,189,departures,0.9895287958115183,0.9895287958115183,legacy,2025
EGNM,190,185,184,184,departures,0.968421052631579,0.968421052631579,legacy,2025
EHEH,190,187,186,187,arrivals,0.9789473684210527,0.9842105263157894,legacy,2025
EYVI,189,116,115,118,arrivals,0.6084656084656085,0.6243386243386243,legacy,2025
EGLC,189,189,189,189,arrivals,1.0,1.0,legacy,2025
EYVI,186,175,175,177,departures,0.9408602150537635,0.9516129032258065,legacy,2025
DAAG,186,5,4,4,departures,0.021505376344086023,0.021505376344086023,legacy,2025
DTTA,186,0,0,0,arrivals,0.0,0.0,legacy,2025
DTTA,185,2,0,0,departures,0.0,0.0,legacy,2025
DAAG,184,93,92,93,arrivals,0.5,0.5054347826086957,legacy,2025
LFOB,181,172,172,172,departures,0.9502762430939227,0.9502762430939227,legacy,2025
LFOB,181,177,144,144,arrivals,0.7955801104972375,0.7955801104972375,legacy,2025
LDDU,180,4,0,0,arrivals,0.0,0.0,legacy,2025
LGKO,178,168,168,169,departures,0.9438202247191011,0.949438202247191,legacy,2025
LDDU,177,1,0,0,departures,0.0,0.0,legacy,2025
LGKO,177,166,166,169,arrivals,0.9378531073446328,0.9548022598870056,legacy,2025
EETN,162,142,142,142,arrivals,0.8765432098765432,0.8765432098765432,legacy,2025
EPPO,161,156,156,156,departures,0.968944099378882,0.968944099378882,legacy,2025
HESH,161,0,0,0,arrivals,0.0,0.0,legacy,2025
UMKK,160,1,0,0,departures,0.0,0.0,legacy,2025
EETN,159,149,149,150,departures,0.9371069182389937,0.9433962264150944,legacy,2025
LPMA,159,153,153,153,departures,0.9622641509433962,0.9622641509433962,legacy,2025
HESH,159,0,0,0,departures,0.0,0.0,legacy,2025
UMKK,159,0,0,0,arrivals,0.0,0.0,legacy,2025
LPMA,158,14,14,18,arrivals,0.08860759493670886,0.11392405063291139,legacy,2025
LIMF,157,153,151,152,departures,0.9617834394904459,0.9681528662420382,legacy,2025
LIMF,157,155,153,157,arrivals,0.9745222929936306,1.0,legacy,2025
LIRA,156,153,49,49,arrivals,0.3141025641025641,0.3141025641025641,legacy,2025
LIRA,154,152,152,155,departures,0.987012987012987,1.0064935064935066,legacy,2025
EPPO,154,148,148,148,arrivals,0.961038961038961,0.961038961038961,legacy,2025
EKBI,154,150,149,150,arrivals,0.9675324675324676,0.974025974025974,legacy,2025
LPPD,153,42,42,42,departures,0.27450980392156865,0.27450980392156865,legacy,2025
EKBI,152,146,146,147,departures,0.9605263157894737,0.9671052631578947,legacy,2025
LPPD,151,92,91,93,arrivals,0.6026490066225165,0.6158940397350994,legacy,2025
ULLI,148,1,0,0,arrivals,0.0,0.0,legacy,2025
OLBA,144,8,5,5,departures,0.034722222222222224,0.034722222222222224,legacy,2025
LIPX,144,120,119,119,departures,0.8263888888888888,0.8263888888888888,legacy,2025
OLBA,144,17,16,17,arrivals,0.1111111111111111,0.11805555555555555,legacy,2025
ENTC,143,7,0,0,arrivals,0.0,0.0,legacy,2025
ULLI,142,0,0,0,departures,0.0,0.0,legacy,2025
LIPX,142,138,138,143,arrivals,0.971830985915493,1.0070422535211268,legacy,2025
LGSR,139,3,0,0,departures,0.0,0.0,legacy,2025
LGSR,139,2,0,0,arrivals,0.0,0.0,legacy,2025
ENTC,138,5,0,0,departures,0.0,0.0,legacy,2025
LTCG,138,84,84,84,arrivals,0.6086956521739131,0.6086956521739131,legacy,2025
EGPD,137,124,124,124,departures,0.9051094890510949,0.9051094890510949,legacy,2025
EGPD,136,123,123,123,arrivals,0.9044117647058824,0.9044117647058824,legacy,2025
ENBO,134,99,98,127,departures,0.7313432835820896,0.9477611940298507,legacy,2025
EBLG,134,133,132,138,departures,0.9850746268656716,1.0298507462686568,legacy,2025
LTDB,133,3,0,0,departures,0.0,0.0,legacy,2025
LTCG,133,97,97,97,departures,0.7293233082706767,0.7293233082706767,legacy,2025
ENBO,133,115,110,129,arrivals,0.8270676691729323,0.9699248120300752,legacy,2025
LRCL,130,0,0,0,departures,0.0,0.0,legacy,2025
LIBR,130,2,0,0,departures,0.0,0.0,legacy,2025
LRCL,129,0,0,0,arrivals,0.0,0.0,legacy,2025
LTDB,129,3,0,0,arrivals,0.0,0.0,legacy,2025
LGZA,126,126,123,125,departures,0.9761904761904762,0.9920634920634921,legacy,2025
EBLG,126,97,97,102,arrivals,0.7698412698412699,0.8095238095238095,legacy,2025
LGZA,126,119,118,120,arrivals,0.9365079365079365,0.9523809523809523,legacy,2025
LIBR,125,0,0,0,arrivals,0.0,0.0,legacy,2025
EGAC,123,120,120,121,departures,0.975609756097561,0.983739837398374,legacy,2025
EGAC,123,116,116,140,arrivals,0.943089430894309,1.1382113821138211,legacy,2025
BKPR,120,0,0,0,departures,0.0,0.0,legacy,2025
BKPR,120,2,0,0,arrivals,0.0,0.0,legacy,2025
EICK,120,119,119,119,arrivals,0.9916666666666667,0.9916666666666667,legacy,2025
EICK,119,118,118,118,departures,0.9915966386554622,0.9915966386554622,legacy,2025
LDZD,118,10,3,3,arrivals,0.025423728813559324,0.025423728813559324,legacy,2025
OJAI,116,1,0,1,departures,0.0,0.008620689655172414,legacy,2025
OJAI,116,0,0,0,arrivals,0.0,0.0,legacy,2025
LDZD,114,1,0,0,departures,0.0,0.0,legacy,2025
LICA,112,1,0,0,arrivals,0.0,0.0,legacy,2025
EGLF,110,110,109,119,departures,0.990909090909091,1.0818181818181818,legacy,2025
LICA,108,0,0,0,departures,0.0,0.0,legacy,2025
EGJJ,108,106,96,96,arrivals,0.8888888888888888,0.8888888888888888,legacy,2025
EGLF,108,107,104,107,arrivals,0.9629629629629629,0.9907407407407407,legacy,2025
LCPH,107,98,97,97,arrivals,0.9065420560747663,0.9065420560747663,legacy,2025
LWSK,106,0,0,0,departures,0.0,0.0,legacy,2025
OKKK,106,103,103,103,departures,0.9716981132075472,0.9716981132075472,legacy,2025
LEST,106,82,79,79,arrivals,0.7452830188679245,0.7452830188679245,legacy,2025
LCPH,105,23,23,23,departures,0.21904761904761905,0.21904761904761905,legacy,2025
LGMK,105,12,9,9,departures,0.08571428571428572,0.08571428571428572,legacy,2025
LEST,105,15,15,15,departures,0.14285714285714285,0.14285714285714285,legacy,2025
LZIB,105,101,101,101,departures,0.9619047619047619,0.9619047619047619,legacy,2025
LEGE,105,29,27,27,arrivals,0.2571428571428571,0.2571428571428571,legacy,2025
LWSK,105,0,0,0,arrivals,0.0,0.0,legacy,2025
LZIB,105,103,103,103,arrivals,0.9809523809523809,0.9809523809523809,legacy,2025
LEGE,104,79,79,80,departures,0.7596153846153846,0.7692307692307693,legacy,2025
LGMK,104,49,47,50,arrivals,0.4519230769230769,0.4807692307692308,legacy,2025
EDJA,104,102,102,102,arrivals,0.9807692307692307,0.9807692307692307,legacy,2025
EDJA,102,101,101,101,departures,0.9901960784313726,0.9901960784313726,legacy,2025
OKKK,102,41,41,42,arrivals,0.4019607843137255,0.4117647058823529,legacy,2025
EGJJ,101,97,95,101,departures,0.9405940594059405,1.0,legacy,2025
EHRD,100,100,99,101,arrivals,0.99,1.01,legacy,2025
EHRD,99,98,96,101,departures,0.9696969696969697,1.02020202020202,legacy,2025
LBBG,97,82,82,82,arrivals,0.845360824742268,0.845360824742268,legacy,2025
LOWS,96,94,94,97,departures,0.9791666666666666,1.0104166666666667,legacy,2025
LOWS,95,92,90,90,arrivals,0.9473684210526315,0.9473684210526315,legacy,2025
DTTJ,94,1,0,0,arrivals,0.0,0.0,legacy,2025
LJLJ,94,86,85,86,arrivals,0.9042553191489362,0.9148936170212766,legacy,2025
LBBG,93,23,23,23,departures,0.24731182795698925,0.24731182795698925,legacy,2025
LQSA,93,0,0,0,departures,0.0,0.0,legacy,2025
LQSA,93,0,0,0,arrivals,0.0,0.0,legacy,2025
GMAD,92,0,0,0,departures,0.0,0.0,legacy,2025
EGKB,92,91,81,84,departures,0.8804347826086957,0.9130434782608695,legacy,2025
