accuracy,angle_deg,answered,block_correct,block_flights,correct,ratio,recall_of_recoverable,side,window_min,wrong
0.1970893970893971,90,7215,1465,7768,1422,0.2454686690833765,0.9706484641638226,departure,10,5793
0.43605546995377503,1,649,1467,7773,283,0.773224043715847,0.1929107021131561,departure,15,366
0.4494283201407212,2,1137,1467,7773,511,0.8162939297124601,0.3483299250170416,departure,15,626
0.42857142857142855,3,1659,1467,7773,711,0.75,0.48466257668711654,departure,15,948
0.4180444024563061,4,2117,1467,7773,885,0.7183441558441559,0.6032719836400818,departure,15,1232
0.40337122696981575,5,2551,1467,7773,1029,0.676084099868594,0.7014314928425358,departure,15,1522
0.35438491469619876,7,3341,1467,7773,1184,0.5489105238757533,0.8070892978868439,departure,15,2157
0.31713244228432563,10,4115,1467,7773,1305,0.46441281138790036,0.8895705521472392,departure,15,2810
0.27222441722639273,15,5062,1467,7773,1378,0.3740499457111835,0.9393319700068167,departure,15,3684
0.2337943676053991,20,6001,1467,7773,1403,0.3051326663766855,0.956373551465576,departure,15,4598
0.2184014869888476,25,6456,1467,7773,1410,0.2794292508917955,0.9611451942740287,departure,15,5046
0.2103068215668752,30,6714,1467,7773,1412,0.26631459826480575,0.9625085207907293,departure,15,5302
0.2050764349581771,40,6934,1467,7773,1422,0.25798258345428154,0.9693251533742331,departure,15,5512
0.20042164441321153,50,7115,1467,7773,1426,0.2506591668131482,0.9720518064076347,departure,15,5689
0.1982281284606866,60,7224,1467,7773,1432,0.2472375690607735,0.9761417859577369,departure,15,5792
0.1940922578904775,90,7414,1467,7773,1439,0.240836820083682,0.9809134287661895,departure,15,5975
0.42945544554455445,1,808,1467,7774,347,0.7527114967462039,0.2365371506475801,departure,20,461
0.4354727398205659,2,1449,1467,7774,631,0.7713936430317848,0.43012951601908656,departure,20,818
0.416952474277315,3,2041,1467,7774,851,0.7151260504201681,0.580095432856169,departure,20,1190
0.40046565774155995,4,2577,1467,7774,1032,0.6679611650485436,0.7034764826175869,departure,20,1545
0.372909150541161,5,3049,1467,7774,1137,0.5946652719665272,0.7750511247443763,departure,20,1912
0.32691814216063636,7,3897,1467,7774,1274,0.4857033930613801,0.8684389911383776,departure,20,2623
0.2843363388551059,10,4769,1467,7774,1356,0.39730442426018164,0.9243353783231084,departure,20,3413
0.23381836427496236,15,5979,1467,7774,1398,0.3051735428945645,0.9529652351738241,departure,20,4581
0.21767241379310345,20,6496,1467,7774,1414,0.27823691460055094,0.9638718473074301,departure,20,5082
0.2096797993212336,25,6777,1467,7774,1421,0.26530993278566095,0.9686434901158828,departure,20,5356
0.2058738425925926,30,6912,1467,7774,1423,0.2592457642557843,0.9700068166325835,departure,20,5489
0.20053288458841678,40,7131,1467,7774,1430,0.25083318716014735,0.9747784594410361,departure,20,5701
0.1970050831158126,50,7279,1467,7774,1434,0.24533789563729683,0.9775051124744376,departure,20,5845
0.19605173587474473,60,7345,1467,7774,1440,0.2438611346316681,0.9815950920245399,departure,20,5905
0.19351814651131646,90,7467,1467,7774,1445,0.23995350381932912,0.9850034083162917,departure,20,6022
0.4269449715370019,1,1054,1468,7776,450,0.7450331125827815,0.3065395095367847,departure,30,604
0.4197002141327623,2,1868,1468,7776,784,0.7232472324723247,0.5340599455040872,departure,30,1084
0.3840030326004549,3,2638,1468,7776,1013,0.6233846153846154,0.6900544959128065,departure,30,1625
0.3415357248739994,4,3373,1468,7776,1152,0.5186852769022963,0.784741144414169,departure,30,2221
0.31732243229432805,5,3914,1468,7776,1242,0.4648203592814371,0.8460490463215259,departure,30,2672
0.27804271200497616,7,4823,1468,7776,1341,0.38512349224583575,0.9134877384196185,departure,30,3482
0.23469903894790087,10,5931,1468,7776,1392,0.3066754791804362,0.9482288828337875,departure,30,4539
0.21598535692495424,15,6556,1468,7776,1416,0.2754863813229572,0.9645776566757494,departure,30,5140
0.20795686388807927,20,6862,1468,7776,1427,0.262557497700092,0.9720708446866485,departure,30,5435
0.20309615111489845,25,7041,1468,7776,1430,0.2548565318125111,0.9741144414168937,departure,30,5611
0.2007017543859649,30,7125,1468,7776,1430,0.2510974539069359,0.9741144414168937,departure,30,5695
0.1983402489626556,40,7230,1468,7776,1434,0.2474120082815735,0.9768392370572208,departure,30,5796
0.19532735669654985,50,7362,1468,7776,1438,0.24274139095205943,0.9795640326975477,departure,30,5924
0.19442574390736503,60,7427,1468,7776,1444,0.24135049306368042,0.9836512261580381,departure,30,5983
0.19247640568921973,90,7523,1468,7776,1448,0.23835390946502058,0.9863760217983651,departure,30,6075
