month,adep_accuracy,adep_coverage,adep_overall,ades_accuracy,ades_coverage,ades_overall,max_endpoint_agl_ft,max_endpoint_dist_nm,n_ground_truth,days,cleaned
2024-06,0.9700875308696096,0.7374325154365887,0.7153740880828457,0.9266632824645452,0.6792961131046671,0.6294787659349778,15000.0,1000000000.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.9567985642252799,0.7565383247664307,0.7238547829179194,0.9113629307668426,0.6941885149624457,0.6326576795008567,20000.0,1000000000.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2024-06,0.8719567294038675,0.8347719264216209,0.7278849987607625,0.7938455403429483,0.8106768391900775,0.6435521934503604,1000000000.0,1000000000.0,92799,"2024-06-05,2024-06-06,2024-06-07",False
2025-06,0.9885345482156416,0.27692501787291307,0.2737499474326086,0.9726573525261079,0.2979940283443374,0.28984608267799317,0.0,1.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9892862486907078,0.35130787669792674,0.34754405147398965,0.9723846755277561,0.3361684679759452,0.3268850666554523,500.0,1.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.989838107098381,0.4221161529080281,0.41782665377013334,0.9721781839659299,0.338208082762101,0.3287985197022583,1000.0,1.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9897232817472851,0.43274527944825264,0.42829807813617055,0.9721385308277682,0.338481433197359,0.329050843180958,2000.0,1.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.989636425416242,0.43317633205769795,0.42868707683249924,0.9720043404123392,0.33911224189410827,0.3296185710080323,5000.0,1.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9895441643822324,0.4333760881450019,0.42884477900668655,0.9719469903393609,0.3395432945035536,0.33001808318264014,8000.0,1.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9894981931071282,0.43348122292779345,0.4289288868329198,0.971881090110434,0.33986921233020734,0.33031246057445646,10000.0,1.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9894507093488542,0.43352327684091,0.4289499137894781,0.9715237713263197,0.34077337146221454,0.3310694310105555,15000.0,1.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9894290216995999,0.4336284116237016,0.4290445350939905,0.9713653000338326,0.3418247192901299,0.3320366710122377,20000.0,1.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9887116267826928,0.43494259640859584,0.43003280205223093,0.970580432155175,0.3566487236637369,0.3461562723411413,1000000000.0,1.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9887544179072507,0.2944930400773792,0.29118129441944574,0.9731406240307673,0.33897556667647927,0.329870894486732,0.0,2.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9899571858977747,0.3978089911266243,0.39381386938054586,0.9743902719882085,0.45650574035914043,0.4448147525127213,500.0,2.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9909294741133307,0.5157912443752891,0.5111127465410656,0.9736582964057114,0.46976323646915347,0.4573888725345893,1000.0,2.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9908941467649286,0.5692102275116699,0.5640270827200471,0.9732525920629246,0.4704991799486942,0.457914546448547,2000.0,2.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
