month,airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,apt_type,latitude_deg,longitude_deg,in_bbox,in_set,in_scope
2024-06,LGIR,373,2,0,0,departures,0.0,0.0,large_airport,35.339699,25.1803,True,True,True
2024-06,LYBE,373,250,248,248,departures,0.6648793565683646,0.6648793565683646,large_airport,44.818401,20.309099,True,True,True
2024-06,LGIR,373,6,0,0,arrivals,0.0,0.0,large_airport,35.339699,25.1803,True,True,True
2024-06,EDDP,373,191,185,189,arrivals,0.4959785522788204,0.5067024128686327,large_airport,51.420657,12.232705,True,True,True
2024-06,LTAC,368,7,0,0,arrivals,0.0,0.0,large_airport,40.128101,32.995098,True,True,True
2024-06,LEVC,365,1,0,0,arrivals,0.0,0.0,large_airport,39.489162,-0.480961,True,True,True
2024-06,LYBE,364,218,213,215,arrivals,0.5851648351648352,0.5906593406593407,large_airport,44.818401,20.309099,True,True,True
2024-06,LEVC,359,0,0,0,departures,0.0,0.0,large_airport,39.489162,-0.480961,True,True,True
2024-06,EDDP,358,240,237,238,departures,0.6620111731843575,0.664804469273743,large_airport,51.420657,12.232705,True,True,True
2024-06,GMMN,354,1,0,0,departures,0.0,0.0,large_airport,33.3675,-7.58997,True,True,True
2024-06,LFBO,354,274,273,276,arrivals,0.7711864406779662,0.7796610169491526,large_airport,43.629101,1.36382,True,True,True
2024-06,LPFR,353,267,263,272,arrivals,0.7450424929178471,0.7705382436260623,large_airport,37.015909,-7.970939,True,True,True
2024-06,LPFR,350,271,271,273,departures,0.7742857142857142,0.78,large_airport,37.015909,-7.970939,True,True,True
2024-06,LFBO,350,286,286,288,departures,0.8171428571428572,0.8228571428571428,large_airport,43.629101,1.36382,True,True,True
2024-06,GMMN,348,1,0,0,arrivals,0.0,0.0,large_airport,33.3675,-7.58997,True,True,True
2024-06,EGPF,340,244,244,248,arrivals,0.7176470588235294,0.7294117647058823,large_airport,55.871899,-4.43306,True,True,True
2024-06,UBBB,337,0,0,0,departures,0.0,0.0,large_airport,40.47278,50.050931,False,True,False
2024-06,LFSB,336,246,242,244,arrivals,0.7202380952380952,0.7261904761904762,large_airport,47.60068,7.521117,True,True,True
2024-06,EGPF,334,0,0,0,departures,0.0,0.0,large_airport,55.871899,-4.43306,True,True,True
2024-06,UBBB,334,5,0,0,arrivals,0.0,0.0,large_airport,40.47278,50.050931,False,True,False
2024-06,LFSB,330,267,263,263,departures,0.796969696969697,0.796969696969697,large_airport,47.60068,7.521117,True,True,True
2024-06,ELLX,328,247,237,244,arrivals,0.7225609756097561,0.7439024390243902,large_airport,49.626845,6.212134,True,True,True
2024-06,ELLX,327,275,273,277,departures,0.8348623853211009,0.8470948012232415,large_airport,49.626845,6.212134,True,True,True
2024-06,GCXO,327,0,0,0,departures,0.0,0.0,large_airport,28.482752,-16.341707,True,True,True
2024-06,GCXO,327,1,0,0,arrivals,0.0,0.0,large_airport,28.482752,-16.341707,True,True,True
2024-06,EPKK,325,236,236,236,departures,0.7261538461538461,0.7261538461538461,large_airport,50.077702,19.7848,True,True,True
2024-06,LTBJ,323,1,0,0,departures,0.0,0.0,large_airport,38.2924,27.157,True,True,True
2024-06,LATI,323,0,0,0,departures,0.0,0.0,large_airport,41.4147,19.7206,True,True,True
2024-06,EPKK,322,196,196,198,arrivals,0.6086956521739131,0.6149068322981367,large_airport,50.077702,19.7848,True,True,True
2024-06,LTBJ,320,1,0,0,arrivals,0.0,0.0,large_airport,38.2924,27.157,True,True,True
2024-06,LATI,319,1,0,0,arrivals,0.0,0.0,large_airport,41.4147,19.7206,True,True,True
2024-06,LICJ,312,24,23,23,arrivals,0.07371794871794872,0.07371794871794872,large_airport,38.175999,13.091,True,True,True
2024-06,LMML,311,218,216,216,departures,0.6945337620578779,0.6945337620578779,large_airport,35.845932,14.491546,True,True,True
