adep_accuracy,adep_coverage,adep_overall,ades_accuracy,ades_coverage,ades_overall,max_endpoint_agl_ft,max_endpoint_dist_nm,n_ground_truth
0.9937492765366361,0.53320577706456,0.5298728552030614,0.9886885354980371,0.46380076533761266,0.45855449944451304,1000000000.0,3.0,32404
0.9967373572593801,0.24592642883594618,0.245124058758178,0.9957415870378064,0.29712381187507714,0.29585853598321193,0.0,5.0,32404
0.9970279557908424,0.3322737933588446,0.3312862609554376,0.9960031974420464,0.4246697938526108,0.422972472534255,500.0,5.0,32404
0.9970190641247834,0.44516109122330577,0.44383409455622763,0.9955626200410623,0.46596099247006545,0.46389334650043207,1000.0,5.0,32404
0.9967530585029281,0.5322491050487594,0.5305209233427972,0.9947491248541424,0.47605233921738055,0.4735526478212566,2000.0,5.0,32404
0.994506092254134,0.5673373657573139,0.5642204666090606,0.9923314860162392,0.47889149487717564,0.4752191087520059,5000.0,5.0,32404
0.9887446819968765,0.5730465374645105,0.5665967164547586,0.9801919667420677,0.5047833600790026,0.49478459449450685,1000000000.0,5.0,32404
0.9967373572593801,0.24592642883594618,0.245124058758178,0.9953285580815945,0.2972781138131095,0.2958893963708184,0.0,10.0,32404
0.9970279557908424,0.3322737933588446,0.3312862609554376,0.9956420685647879,0.42488581656585606,0.42303419330946795,500.0,10.0,32404
0.9970190641247834,0.44516109122330577,0.44383409455622763,0.9951684426500761,0.46626959634613013,0.46401678805085794,1000.0,10.0,32404
0.9965812956310117,0.5325885693124306,0.530767806443649,0.994031746031746,0.4860511048018763,0.4831502283668683,2000.0,10.0,32404
0.9940154338810436,0.5878595235156153,0.5843414393284779,0.9875291804890035,0.5023453894580916,0.4960807307739785,5000.0,10.0,32404
0.9754241954051754,0.6165596839896309,0.6014072336748549,0.9577336594800614,0.5424947537341069,0.5195654857425009,1000000000.0,10.0,32404
0.9963622679377823,0.24601900999876558,0.245124058758178,0.9928593604470661,0.29820392544130353,0.2960745586964572,0.0,20.0,32404
0.996565168956554,0.33242809529687695,0.3312862609554376,0.9935521263493443,0.42596593013208245,0.42321935563510676,500.0,20.0,32404
0.9964664310954063,0.4454079743241575,0.44383409455622763,0.992740232312566,0.4675965930132083,0.46420195037649675,1000.0,20.0,32404
0.9958888245512449,0.5329588939637082,0.530767806443649,0.991517913659957,0.4875324034069868,0.48339711146772,2000.0,20.0,32404
0.9928234677841802,0.5891247994074805,0.5848969263053944,0.9832985386221295,0.5173743982224417,0.5087334896926305,5000.0,20.0,32404
0.9478346456692913,0.6584372299716085,0.6240896185656092,0.9085193011389991,0.5987841007283051,0.5440069127268239,1000000000.0,20.0,32404
0.9956134853991728,0.24623503271201086,0.24515491914578447,0.9901991127617868,0.2991297370694976,0.2961980002468831,0.0,40.0,32404
0.995825990167888,0.33270583878533516,0.3313171213430441,0.9916148619343647,0.42692260214788297,0.42334279718553264,500.0,40.0,32404
0.9958457384199958,0.4457165782002222,0.4438649549438341,0.9906505135633394,0.46870756696704113,0.4643253919269226,1000.0,40.0,32404
0.9952551787987501,0.5333292186149858,0.5307986668312554,0.9889548093915678,0.4889519812368843,0.48355141340575236,2000.0,40.0,32404
0.9918384430260542,0.5898654487100358,0.5850512282434267,0.9797104888467014,0.5201826934946303,0.5096284409332181,5000.0,40.0,32404
0.9042206361793991,0.7004690778916183,0.6333785952351562,0.8394180874722016,0.6660906060980126,0.5591285026539934,1000000000.0,40.0,32404
0.9954887218045113,0.24626589309961733,0.24515491914578447,0.9884654994850669,0.29965436365880754,0.2961980002468831,0.0,1000000000.0,32404
0.9957336301242812,0.33273669917294163,0.3313171213430441,0.99039780521262,0.42744722873719293,0.42334279718553264,500.0,1000000000.0,32404
0.9956389311920255,0.4458091593630416,0.4438649549438341,0.9892176199868508,0.4693864954943834,0.4643253919269226,1000.0,1000000000.0,32404
0.9949673164805923,0.5334835205530182,0.5307986668312554,0.9873345935727789,0.4897543513146525,0.48355141340575236,2000.0,1000000000.0,32404
0.9915271966527197,0.5900506110356746,0.5850512282434267,0.9776238678742675,0.5213245278360696,0.5096593013208246,5000.0,1000000000.0,32404
