month,side,truth,predicted,n,apart_nm,t_scheduled,p_scheduled,t_type,p_type,sched_to_unsched,sched_penalty_nm,variant
2024-06,adep,ENSK,ENBO,21,80.06151693595844,yes,yes,medium_airport,large_airport,False,15,default
2024-06,ades,EGWU,EGLL,18,5.17896360872294,no,yes,medium_airport,large_airport,False,15,default
2024-06,adep,ENSH,ENBO,17,58.89155736069951,yes,yes,medium_airport,large_airport,False,15,default
2024-06,ades,ENSH,ENBO,17,58.89155736069951,yes,yes,medium_airport,large_airport,False,15,default
2024-06,ades,LIEE,LIET,17,49.51232728055796,yes,no,large_airport,medium_airport,True,15,default
2024-06,adep,LLBG,OLBA,17,112.72129451337824,yes,yes,large_airport,large_airport,False,15,default
2024-06,ades,LIRN,LIRI,16,32.41553384522536,yes,yes,large_airport,medium_airport,False,15,default
2024-06,ades,UUWW,OOA,15,10807.282931871372,yes,,large_airport,,,15,default
2024-06,adep,ENTC,ENBO,15,176.1682756223235,yes,yes,large_airport,large_airport,False,15,default
2024-06,ades,LRTR,LRCS,15,44.97721014742316,yes,no,large_airport,medium_airport,True,15,default
2024-06,ades,ENTC,ENDU,14,38.51636317243669,yes,yes,large_airport,medium_airport,False,15,default
2024-06,ades,EPGD,EPCE,14,24.59486572903267,yes,no,large_airport,medium_airport,True,15,default
2024-06,adep,EDHI,EDDH,14,7.8887598316450465,no,yes,medium_airport,large_airport,False,15,default
2024-06,ades,LEBB,LESO,12,49.0286958909764,yes,yes,large_airport,medium_airport,False,15,default
2024-06,adep,LRTR,LRAR,12,22.202251827568045,yes,yes,large_airport,medium_airport,False,15,default
2025-06,ades,GCLP,GCXO,82,60.39520172918539,yes,yes,large_airport,large_airport,False,15,default
2025-06,ades,LEBB,LEVT,70,26.40773447366533,yes,yes,large_airport,medium_airport,False,15,default
2025-06,ades,OOA,BIKF,63,10807.282931871372,,yes,,large_airport,False,15,default
2025-06,adep,EGKB,EGLC,59,10.511711079981486,no,yes,medium_airport,medium_airport,False,15,default
2025-06,adep,OOA,LPPD,55,10807.282931871372,,yes,,large_airport,False,15,default
2025-06,adep,LFMD,LFMN,49,13.130286069826292,no,yes,medium_airport,large_airport,False,15,default
2025-06,ades,EGKB,EGLC,42,10.511711079981486,no,yes,medium_airport,medium_airport,False,15,default
2025-06,ades,OJAI,OJAM,42,15.016284258904031,yes,yes,large_airport,large_airport,False,15,default
2025-06,ades,LFMD,LFMN,42,13.130286069826292,no,yes,medium_airport,large_airport,False,15,default
2025-06,ades,OOA,GMMN,38,10807.282931871372,,yes,,large_airport,False,15,default
2025-06,ades,EGLF,EGLL,37,16.66285404213838,no,yes,medium_airport,large_airport,False,15,default
2025-06,adep,OOA,GMMN,35,10807.282931871372,,yes,,large_airport,False,15,default
2025-06,ades,LEMD,GCXO,35,956.7070666777936,yes,yes,large_airport,large_airport,False,15,default
2025-06,ades,ENTC,ENSR,31,42.88421169047339,yes,yes,large_airport,medium_airport,False,15,default
2025-06,adep,OOA,UGTB,30,10807.282931871372,,yes,,large_airport,False,15,default
2025-06,ades,OOA,UGTB,28,10807.282931871372,,yes,,large_airport,False,15,default
2025-06,ades,LUKK,LRIA,26,55.69053830230624,yes,yes,large_airport,large_airport,False,15,default
2025-06,adep,EGWU,EGLL,26,5.17896360872294,no,yes,medium_airport,large_airport,False,15,default
2025-06,ades,LRCL,LRTM,26,35.542839886097056,yes,yes,large_airport,medium_airport,False,15,default
2025-06,ades,GCFV,GCXO,23,130.79582657757143,yes,yes,large_airport,large_airport,False,15,default
2025-06,adep,ENTC,OOA,23,10807.282931871372,yes,,large_airport,,,15,default
2025-06,ades,HECA,HE42,23,31.30256002694784,yes,no,large_airport,medium_airport,True,15,default
2025-06,ades,LRIA,LRSV,22,59.82451357706422,yes,yes,large_airport,large_airport,False,15,default
2025-06,ades,GCRR,GCXO,22,146.7468798537367,yes,yes,large_airport,large_airport,False,15,default
2025-06,adep,GCLP,GCXO,19,60.39520172918539,yes,yes,large_airport,large_airport,False,15,default
2025-06,ades,LEBB,LEPP,19,63.992911972273625,yes,yes,large_airport,medium_airport,False,15,default
2025-06,ades,LEBB,LESO,18,49.0286958909764,yes,yes,large_airport,medium_airport,False,15,default
2025-06,ades,LTFM,LTBU,18,37.630969871154505,yes,yes,large_airport,medium_airport,False,15,default
2025-06,adep,OOA,BIKF,18,10807.282931871372,,yes,,large_airport,False,15,default
2025-06,adep,ENLK,ENBO,18,55.75594807637389,yes,yes,medium_airport,large_airport,False,15,default
2025-06,ades,ENLK,ENBO,18,55.75594807637389,yes,yes,medium_airport,large_airport,False,15,default
2025-06,ades,ENSK,ENBO,18,80.06151693595844,yes,yes,medium_airport,large_airport,False,15,default
2025-06,ades,ESNU,ESNO,17,41.48744532643274,yes,yes,large_airport,medium_airport,False,15,default
2025-06,ades,HECA,HESX,17,26.02038643054826,yes,yes,large_airport,large_airport,False,15,default
2025-06,adep,ENSK,ENBO,17,80.06151693595844,yes,yes,medium_airport,large_airport,False,15,default
2025-06,adep,EBKT,LFQQ,17,15.687370897055334,no,yes,medium_airport,large_airport,False,15,default
2025-06,ades,EGWU,EGLL,16,5.17896360872294,no,yes,medium_airport,large_airport,False,15,default
2025-06,ades,LIRN,LIRI,16,32.41553384522536,yes,yes,large_airport,medium_airport,False,15,default
2025-06,ades,ENSH,ENBO,15,58.89155736069951,yes,yes,medium_airport,large_airport,False,15,default
2025-06,ades,LEXJ,LEBB,15,40.40926913102228,yes,yes,medium_airport,large_airport,False,15,default
