month,airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,sched_penalty_nm,variant,apt_type,latitude_deg,longitude_deg,in_bbox,in_set,in_scope
2024-06,EPWA,806,701,696,702,arrivals,0.8635235732009926,0.8709677419354839,15,default,large_airport,52.165699,20.9671,True,True,True
2024-06,LEMG,775,702,694,704,arrivals,0.895483870967742,0.9083870967741936,15,default,large_airport,36.6749,-4.49911,True,True,True
2024-06,LEMG,769,709,706,710,departures,0.918075422626788,0.9232769830949284,15,default,large_airport,36.6749,-4.49911,True,True,True
2024-06,EDDL,758,694,689,701,departures,0.908970976253298,0.924802110817942,15,default,large_airport,51.289501,6.76678,True,True,True
2024-06,EDDL,752,647,636,645,arrivals,0.8457446808510638,0.8577127659574468,15,default,large_airport,51.289501,6.76678,True,True,True
2024-06,LFMN,732,627,594,667,arrivals,0.8114754098360656,0.9112021857923496,15,default,large_airport,43.658401,7.21587,True,True,True
2024-06,LSGG,710,590,564,593,arrivals,0.7943661971830986,0.8352112676056338,15,default,large_airport,46.238098,6.10895,True,True,True
2024-06,LFMN,708,622,605,637,departures,0.8545197740112994,0.8997175141242938,15,default,large_airport,43.658401,7.21587,True,True,True
2024-06,LSGG,702,638,631,643,departures,0.8988603988603988,0.915954415954416,15,default,large_airport,46.238098,6.10895,True,True,True
2024-06,EFHK,661,573,569,573,arrivals,0.8608169440242057,0.8668683812405447,15,default,large_airport,60.318363,24.963341,True,True,True
2024-06,EFHK,654,607,605,608,departures,0.9250764525993884,0.9296636085626911,15,default,large_airport,60.318363,24.963341,True,True,True
2024-06,LKPR,629,579,575,578,departures,0.9141494435612084,0.918918918918919,15,default,large_airport,50.100874,14.259911,True,True,True
2024-06,LKPR,610,527,518,524,arrivals,0.8491803278688524,0.8590163934426229,15,default,large_airport,50.100874,14.259911,True,True,True
2024-06,EGGW,591,523,516,525,departures,0.8730964467005076,0.8883248730964467,15,default,large_airport,51.874699,-0.368333,True,True,True
2024-06,EGPH,590,497,486,494,arrivals,0.823728813559322,0.8372881355932204,15,default,large_airport,55.950145,-3.372288,True,True,True
2024-06,EGPH,588,522,519,521,departures,0.8826530612244898,0.8860544217687075,15,default,large_airport,55.950145,-3.372288,True,True,True
2024-06,EGGW,586,489,468,492,arrivals,0.7986348122866894,0.8395904436860068,15,default,large_airport,51.874699,-0.368333,True,True,True
2024-06,EDDK,563,475,472,475,departures,0.8383658969804618,0.8436944937833037,15,default,large_airport,50.865898,7.14274,True,True,True
2024-06,EDDH,559,509,502,518,arrivals,0.8980322003577818,0.9266547406082288,15,default,large_airport,53.630402,9.98823,True,True,True
2024-06,EDDH,554,523,521,536,departures,0.94043321299639,0.967509025270758,15,default,large_airport,53.630402,9.98823,True,True,True
2024-06,EDDK,552,436,429,440,arrivals,0.7771739130434783,0.7971014492753623,15,default,large_airport,50.865898,7.14274,True,True,True
2024-06,LHBP,547,502,500,502,departures,0.9140767824497258,0.9177330895795248,15,default,large_airport,47.43018,19.262393,True,True,True
2024-06,LHBP,546,457,452,460,arrivals,0.8278388278388278,0.8424908424908425,15,default,large_airport,47.43018,19.262393,True,True,True
2024-06,LROP,527,450,449,449,departures,0.8519924098671727,0.8519924098671727,15,default,large_airport,44.571792,26.103285,True,True,True
2024-06,LROP,526,412,410,411,arrivals,0.779467680608365,0.7813688212927756,15,default,large_airport,44.571792,26.103285,True,True,True
2024-06,LEAL,525,484,482,485,arrivals,0.918095238095238,0.923809523809524,15,default,large_airport,38.2822,-0.558156,True,True,True
2024-06,LEAL,523,486,486,488,departures,0.9292543021032504,0.9330783938814532,15,default,large_airport,38.2822,-0.558156,True,True,True
2024-06,LIML,514,445,429,434,departures,0.8346303501945526,0.8443579766536965,15,default,large_airport,45.445099,9.27674,True,True,True
2024-06,GCLP,510,4,0,0,arrivals,0.0,0.0,15,default,large_airport,27.9319,-15.3866,True,True,True
2024-06,GCLP,507,0,0,0,departures,0.0,0.0,15,default,large_airport,27.9319,-15.3866,True,True,True
2024-06,LPPR,503,439,431,434,arrivals,0.856858846918489,0.8628230616302187,15,default,large_airport,41.2481002808,-8.68138980865,True,True,True
2024-06,LPPR,498,460,460,462,departures,0.923694779116466,0.927710843373494,15,default,large_airport,41.2481002808,-8.68138980865,True,True,True
2024-06,LIML,497,403,376,406,arrivals,0.7565392354124748,0.8169014084507042,15,default,large_airport,45.445099,9.27674,True,True,True
2024-06,LIME,492,449,447,447,arrivals,0.9085365853658536,0.9085365853658536,15,default,large_airport,45.669362,9.708851,True,True,True
2024-06,LIME,487,457,456,456,departures,0.9363449691991786,0.9363449691991786,15,default,large_airport,45.669362,9.708851,True,True,True
2024-06,LLBG,483,394,375,379,departures,0.7763975155279503,0.7846790890269151,15,default,large_airport,32.011398,34.8867,True,True,True
