month,adep_accuracy,adep_coverage,adep_gt_ooa_share,adep_inarea_accuracy,adep_inarea_coverage,adep_ooa_precision,adep_ooa_recall,adep_overall,adep_pred_ooa_share,ades_accuracy,ades_coverage,ades_gt_ooa_share,ades_inarea_accuracy,ades_inarea_coverage,ades_ooa_precision,ades_ooa_recall,ades_overall,ades_pred_ooa_share,airport_set,cleaned,days,ladder,max_fl,method,n_ground_truth,radius_nm,sched_penalty_nm,variant
2024-06,0.9805290501213212,0.723897886830677,0.0794297352342158,0.981871063021791,0.7767710820808166,0.9224806201550388,0.0968660968660968,0.7098029073589155,0.0083406071186111,0.9566448327274556,0.6432504660610567,0.0798284464272244,0.9588100300361108,0.6940075652000797,0.6876513317191283,0.0383369330453563,0.6153622345068374,0.0044504789922305,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M7_abstain,92799,30.0,20,default
2024-06,0.980894472511587,0.7230789124882812,0.0794297352342158,0.9822425394526416,0.7758814440230369,0.9224806201550388,0.0968660968660968,0.7092641084494445,0.0083406071186111,0.9587561319803776,0.6414293257470447,0.0798284464272244,0.9609266592209024,0.6920401447459334,0.6876513317191283,0.0383369330453563,0.6149742992920182,0.0044504789922305,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M7_abstain,92799,30.0,30,default
2024-06,0.9777675536888348,0.7260746344249399,0.0794297352342158,0.9790715144230768,0.7791356463922836,0.9224806201550388,0.0968660968660968,0.7099322190971885,0.0083406071186111,0.951233342784236,0.6461168762594425,0.0798284464272244,0.9533656995985016,0.6971109367497745,0.6876513317191283,0.0383369330453563,0.6146079160335779,0.0044504789922305,large_medium,False,"2024-06-05,2024-06-06,2024-06-07",,40.0,M7_abstain,92799,30.0,5,default
2025-06,0.9759955131800336,0.7498212708692544,0.0829723705790823,0.9785241424670068,0.8018320645693846,0.9390537289494788,0.1483781044095286,0.7318221960553429,0.0131103074141048,0.9415051854773762,0.6396715589385592,0.0837293410151814,0.9449846765509816,0.6926404442812557,0.6060606060606061,0.0301356102461074,0.6022540897430506,0.0041633373985449,large_medium,False,"2025-06-05,2025-06-06,2025-06-07",,40.0,M7_abstain,95116,30.0,0,default
2025-06,0.9828205704019762,0.7490643004331553,0.0829723705790823,0.985444396736797,0.8010409978904889,0.9390537289494788,0.1483781044095286,0.736195803019471,0.0131103074141048,0.9521863775661517,0.6381050506749653,0.0837293410151814,0.9557592666400956,0.6909307875894988,0.6060606060606061,0.0301356102461074,0.6075949367088608,0.0041633373985449,large_medium,False,"2025-06-05,2025-06-06,2025-06-07",,40.0,M7_abstain,95116,30.0,10,default
2025-06,0.9744577436846978,0.6359392741494596,0.0829723705790823,0.975296181084122,0.6928826928368339,0.0,0.0,0.6196959502081669,0.0,0.955480904633447,0.6196749232516086,0.0837293410151814,0.9565845124250504,0.6755209289517166,0.0,0.0,0.5920875562471088,0.0,large_medium,False,"2025-06-05,2025-06-06,2025-06-07",,40.0,M0_current,95116,30.0,15,default
2025-06,0.8696723544416652,0.8490474788679087,0.0829723705790823,0.9012434395411208,0.8934352930386132,0.0,0.0,0.7383931199798142,0.0,0.7824268309584105,0.8344652844947222,0.0837293410151814,0.8268690499966713,0.8617702404993575,0.0,0.0,0.652908028092014,0.0,large_medium,False,"2025-06-05,2025-06-06,2025-06-07",,40.0,M1_traffic,95116,30.0,15,default
2025-06,0.9543302498361134,0.2886790865890071,0.0829723705790823,0.9609799031832184,0.3126203797120058,0.0,0.0,0.2754951848269481,0.0,0.9274216412033393,0.3337503679717398,0.0837293410151814,0.9434101323421028,0.3580755461722049,0.0,0.0,0.3095273140165692,0.0,large_medium,False,"2025-06-05,2025-06-06,2025-06-07",,40.0,M2_on_ground,95116,30.0,15,default
2025-06,0.9689735589801772,0.6672063585516632,0.0829723705790823,0.9704568768247456,0.7264629001192332,0.0,0.0,0.6465053198200092,0.0,0.955267537445156,0.6254152823920266,0.0837293410151814,0.9566988787501264,0.6815448870938131,0.0,0.0,0.5974389166911981,0.0,large_medium,False,"2025-06-05,2025-06-06,2025-06-07",,40.0,M3_vert_rate,95116,30.0,15,default
2025-06,0.7817324295765573,0.815866941418899,0.0829723705790823,0.8088209804941136,0.8598894799596442,0.0,0.0,0.6377896463265907,0.0,0.7340816220969327,0.8130283022835275,0.0837293410151814,0.7922184852840616,0.8222071782632642,0.0,0.0,0.5968291349510072,0.0,large_medium,False,"2025-06-05,2025-06-06,2025-06-07",,40.0,M5_min_alt,95116,30.0,15,default
