bias_s,coverage_pct,gt_airport,gt_subminute,mad_s,milestone,n_detected,n_truth,p90_abs_s,period,rung,within_10s,within_10s_pct,within_120s,within_120s_pct,within_300s,within_300s_pct,within_30s,within_30s_pct,within_60s,within_60s_pct
610.0,1.63,EDDS,False,610.0,AOBT,6,369,945.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,EGGD,True,,AOBT,0,194,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30.0,93.02,EGNT,False,30.0,ATOT,200,215,55.0,2026,V07_shipped,38,17.67,200,93.02,200,93.02,109,50.7,198,92.09
,0.0,ENVA,False,,AIBT,0,192,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-1.5499999523162842,95.31,LEIB,True,4.0,ATOT,488,512,12.022222995758057,2026,V07_shipped,411,80.27,487,95.12,487,95.12,486,94.92,487,95.12
-5.0,96.95,LSZH,True,5.0,ALDT,1146,1182,9.0,2026,V07_shipped,1096,92.72,1141,96.53,1143,96.7,1139,96.36,1141,96.53
,0.0,EGNT,False,,AIBT,0,212,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
770.0,2.47,EDDP,False,770.0,AOBT,6,243,1205.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6.4000020027160645,98.4,LFLL,False,10.0,ALDT,368,374,28.900002002716064,2026,V07_shipped,206,55.08,367,98.13,367,98.13,334,89.3,367,98.13
3.2999980449676514,98.36,LSZH,True,3.5499980449676514,ATOT,1139,1158,7.0,2026,V07_shipped,1120,96.72,1134,97.93,1134,97.93,1134,97.93,1134,97.93
25.0,96.36,LOWW,False,25.0,ATOT,1031,1070,50.0,2026,V07_shipped,269,25.14,1025,95.79,1025,95.79,604,56.45,1023,95.61
545.0,1.18,LEIB,False,545.0,AOBT,6,509,13285.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,0.0,ENVA,False,,AOBT,0,199,,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
515.0,0.68,ESSA,False,515.0,AOBT,6,885,770.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20.0,93.58,EGCC,False,20.0,ALDT,918,981,45.0,2026,V07_shipped,331,33.74,917,93.48,917,93.48,642,65.44,911,92.86
10.0,97.21,EBBR,False,10.666666984558105,ALDT,800,823,37.333333015441895,2026,V07_shipped,397,48.24,798,96.96,798,96.96,656,79.71,798,96.96
-490.0,0.61,EGCC,False,455.0,AIBT,6,980,710.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
765.0,1.66,LKPR,False,865.0,AOBT,11,661,3045.0,2026,V07_shipped,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
